종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"054540","삼영엠텍","KOSDAQ","우량기업부","5530","60","1.10","5490","5560","5430","117376","644116980","75330882130","13622221"
"065570","삼영이엔씨","KOSDAQ","벤처기업부","9470","60","0.64","9200","9470","9000","217031","2015706650","90889290940","9597602"
"005680","삼영전자","KOSPI",,"12950","50","0.39","12900","12950","12750","60924","782900550","259000000000","20000000"
"003720","삼영화학","KOSPI",,"2785","10","0.36","2775","2835","2725","127505","355085850","94690000000","34000000"
"023000","삼원강재","KOSPI",,"3645","10","0.28","3625","3670","3625","84538","307596065","145800000000","40000000"
"004380","삼익THK","KOSPI",,"14050","350","2.55","13700","14150","13600","109321","1523060900","295050000000","21000000"
"002450","삼익악기","KOSPI",,"1970","65","3.41","1970","2075","1930","8632251","17222985175","178345902550","90530915"
"032280","삼일","KOSDAQ","중견기업부","3585","5","0.14","3580","3635","3530","213810","767609130","58125720150","16213590"
"002290","삼일기업공사","KOSDAQ","중견기업부","6750","-190","-2.74","6940","7030","6670","1416106","9717529830","83700000000","12400000"
"004440","삼일씨엔에스","KOSPI",,"14900","-250","-1.65","15150","15200","14750","75279","1121726950","189706010300","12731947"
"000520","삼일제약","KOSPI",,"9400","60","0.64","9340","9410","9250","50638","473224660","126062102800","13410862"
"009770","삼정펄프","KOSPI",,"36200","1600","4.62","34600","39000","34600","30853","1134801700","90498950200","2499971"
"037460","삼지전자","KOSDAQ","우량기업부","14400","50","0.35","14450","14450","14200","106189","1518609350","234986716800","16318522"
"032750","삼진","KOSDAQ","우량기업부","12300","200","1.65","12200","12400","12050","37364","457938000","73800000000","6000000"
"054090","삼진엘앤디","KOSDAQ","중견기업부","3680","-25","-0.67","3745","3745","3670","250597","924578295","91849973760","24959232"
"005500","삼진제약","KOSPI",,"26800","750","2.88","26450","27100","26100","102213","2721204400","372520000000","13900000"
"000250","삼천당제약","KOSDAQ","우량기업부","53400","300","0.56","52800","53800","52400","145516","7724442500","1215813389400","22768041"
"004690","삼천리","KOSPI",,"94300","0","0.00","94600","94700","92700","13705","1283614600","382388857500","4055025"
