종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2680","0","0.00","2655","2725","2650","140803","377493925","120070729480","44802511"
"095570","AJ네트웍스","KOSPI",,"3690","-55","-1.47","3800","3800","3610","103221","377445980","172774268550","46822295"
"006840","AK홀딩스","KOSPI",,"22000","300","1.38","21700","22000","21300","37801","820447150","291446342000","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","8570","650","8.21","8100","8920","8010","636965","5456593380","174778473970","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","26000","900","3.59","25150","26000","25150","211324","5426472050","376485902000","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","7450","180","2.48","7800","7920","7350","119350","911076550","111860289800","15014804"
"027410","BGF","KOSPI",,"4590","105","2.34","4505","4600","4455","82122","374493070","439340070690","95716791"
"282330","BGF리테일","KOSPI",,"162000","-5000","-2.99","162000","164000","160500","41530","6726443500","2799992772000","17283906"
"138930","BNK금융지주","KOSPI",,"5170","90","1.77","5090","5200","5060","1683211","8644352460","1685085221820","325935246"
"001460","BYC","KOSPI",,"209000","2000","0.97","207000","210000","206000","401","83422000","130544535000","624615"
"001465","BYC우","KOSPI",,"117500","1000","0.86","115000","117500","114500","282","32577000","25307737500","215385"
"001040","CJ","KOSPI",,"92000","100","0.11","90300","92000","89600","71829","6532188000","2684283816000","29176998"
"079160","CJ CGV","KOSPI",,"23950","800","3.46","23650","24000","23500","298212","7098556500","506813446350","21161313"
"035760","CJ ENM","KOSDAQ","우량기업부","120800","-200","-0.17","119800","120800","118600","86647","10394487900","2649041803200","21929154"
"00104K","CJ4우(전환)","KOSPI",,"64000","600","0.95","63400","64000","62700","6297","399560900","270496768000","4226512"
"000120","CJ대한통운","KOSPI",,"163500","2500","1.55","159000","163500","158500","51806","8399968500","3729818244000","22812344"
"011150","CJ씨푸드","KOSPI",,"3955","20","0.51","3945","3990","3940","932898","3693856545","142106207215","35930773"
"011155","CJ씨푸드1우","KOSPI",,"34200","350","1.03","34050","34450","33850","3059","104291250","6840000000","200000"
"001045","CJ우","KOSPI",,"41750","50","0.12","41650","42300","41650","5784","242533700","94364310250","2260223"
"097950","CJ제일제당","KOSPI",,"299000","2000","0.67","295000","302000","295000","42750","12806660500","4501201614000","15054186"
"097955","CJ제일제당 우","KOSPI",,"125000","500","0.40","124000","125000","123000","3603","447261000","165929125000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","19350","650","3.48","19000","19350","18850","111175","2121089650","229715189100","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4185","110","2.70","4080","4215","4080","2048478","8507973615","581264041140","138892244"
"023460","CNH","KOSDAQ","벤처기업부","1530","0","0.00","1530","1545","1500","206504","312782590","56916000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","2370","10","0.42","2340","2400","2320","45952","108733445","44639305500","18835150"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","4170","0","0.00","0","0","0","0","0","154590427650","37072045"
"000590","CS홀딩스","KOSPI",,"49900","200","0.40","49700","50000","49500","542","26942600","57608651800","1154482"
"012030","DB","KOSPI",,"750","1","0.13","749","762","746","598929","450112181","150880449750","201173933"
"322780","DB금융스팩7호","KOSDAQ","SPAC(소속부없음)","2040","0","0.00","0","0","0","0","0","9282000000","4550000"
"016610","DB금융투자","KOSPI",,"3435","40","1.18","3410","3450","3385","129060","442577025","145803346215","42446389"
"005830","DB손해보험","KOSPI",,"44100","700","1.61","43700","44650","43600","477272","21036337950","3122280000000","70800000"
"000990","DB하이텍","KOSPI",,"30700","2100","7.34","29050","30700","29000","1688404","50934889500","1363036651600","44398588"
"000995","DB하이텍1우","KOSPI",,"47800","1550","3.35","47300","48550","47000","2931","139828150","5368704800","112316"
"139130","DGB금융지주","KOSPI",,"5420","160","3.04","5310","5420","5290","1185328","6377541990","916770414860","169145833"
"001530","DI동일","KOSPI",,"65000","500","0.78","66300","66300","64500","5319","347041600","160264585000","2465609"
"068790","DMS","KOSDAQ","우량기업부","5450","150","2.83","5300","5560","5290","435285","2377242420","125690554150","23062487"
"004840","DRB동일","KOSPI",,"7580","430","6.01","7200","7970","7150","1133909","8599816250","151069400000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","3010","120","4.15","2965","3010","2900","167695","498642175","54840342830","18219383"
