종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","1951","-31","-1.56","1993","2005","1945","371274","729124496","99666136542","51084642"
"095570","AJ네트웍스","KOSPI",,"4635","-80","-1.70","4685","4690","4565","91792","422842980","209746537965","45252759"
"006840","AK홀딩스","KOSPI",,"10970","-30","-0.27","11050","11260","10930","3692","40748930","145325744170","13247561"
"054620","APS","KOSDAQ","중견기업부","5610","-90","-1.58","5700","5820","5600","45345","258643810","111606579810","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","15450","-230","-1.47","15750","15830","15420","84320","1312243070","236097954450","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","12930","-130","-1.00","13250","13280","12750","244711","3165666300","195014190720","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","426","-32","-6.99","459","483","426","792680","356358196","85536228594","200789269"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3555","-20","-0.56","3575","3575","3545","51459","183183190","340273192005","95716791"
"282330","BGF리테일","KOSPI",,"106800","-1400","-1.29","108900","108900","106100","24089","2573176900","1845921160800","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","2900","-80","-2.68","2995","3015","2900","112168","330297410","182024007100","62766899"
"138930","BNK금융지주","KOSPI",,"10920","360","3.41","10600","10970","10520","1669408","17919011215","3499169058840","320436727"
"001460","BYC","KOSPI",,"29900","-300","-0.99","30650","30650","29900","383","11489100","186759885000","6246150"
"001465","BYC우","KOSPI",,"13000","-60","-0.46","13040","13040","12600","270","3476090","28000050000","2153850"
"013720","CBI","KOSDAQ","중견기업부","952","88","10.19","871","1115","865","7241523","7347616359","42485985472","44628136"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2490","55","2.26","2435","2505","2425","136215","335580725","191466513180","76894182"
"001040","CJ","KOSPI",,"94900","-1100","-1.15","97100","97300","94500","45305","4315656200","2768897110200","29176998"
"079160","CJ CGV","KOSPI",,"5520","-50","-0.90","5620","5650","5500","195935","1087816880","914002008480","165580074"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","63800","-900","-1.39","65500","65500","63500","39933","2562343100","1399080025200","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","11510","140","1.23","11730","11950","11170","316901","3656154640","104884898020","9112502"
"00104K","CJ4우(전환)","KOSPI",,"76900","-400","-0.52","77300","77300","76100","4094","313378700","325018772800","4226512"
"000120","CJ대한통운","KOSPI",,"82000","100","0.12","82700","83500","81800","41669","3439014400","1870612208000","22812344"
"011150","CJ씨푸드","KOSPI",,"2835","-70","-2.41","2915","2930","2830","132694","379993660","101863741455","35930773"
"011155","CJ씨푸드1우","KOSPI",,"16200","180","1.12","16430","16430","16200","43","704160","3240000000","200000"
"001045","CJ우","KOSPI",,"56500","-200","-0.35","56700","57000","55400","773","43613500","127702599500","2260223"
"097950","CJ제일제당","KOSPI",,"263500","0","0.00","265500","266000","261000","34442","9092465000","3966778011000","15054186"
"097955","CJ제일제당 우","KOSPI",,"130000","-800","-0.61","130800","131500","129000","2636","341723200","172566290000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","17920","-420","-2.29","18400","18460","17790","41427","748724980","212738821120","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","1883","-23","-1.21","1910","1926","1878","451038","851989214","261534095452","138892244"
"023460","CNH","KOSDAQ","투자주의환기종목(소속부없음)","109","0","0.00","0","0","0","0","0","4054800000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","761","1","0.13","752","775","740","7405","5592791","56398612546","74111186"
"000480","CR홀딩스","KOSPI",,"5770","-30","-0.52","5760","5830","5730","14922","86008410","270558127300","46890490"
"065770","CS","KOSDAQ","벤처기업부","953","-38","-3.83","991","991","947","54891","52580846","18498806890","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1036","-23","-2.17","1090","1090","980","205557","208294425","63452079516","61247181"
"000590","CS홀딩스","KOSPI",,"69400","-400","-0.57","69700","69800","66000","1074","73770700","80121050800","1154482"
"012030","DB","KOSPI",,"1400","-35","-2.44","1434","1449","1395","267369","378669504","281643506200","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2275","0","0.00","0","0","0","0","0","12091625000","5315000"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2045","-20","-0.97","2065","2065","2040","16781","34573075","11942800000","5840000"
"016610","DB금융투자","KOSPI",,"5230","70","1.36","5160","5240","5140","37305","193917820","221994614470","42446389"
"005830","DB손해보험","KOSPI",,"109300","100","0.09","110600","111000","108500","145148","15912683300","7738440000000","70800000"
"000990","DB하이텍","KOSPI",,"30250","-1150","-3.66","31350","31700","30150","218442","6695096400","1343057287000","44398588"
"139130","DGB금융지주","KOSPI",,"8970","100","1.13","8950","9030","8810","813266","7281537010","1517238122010","169145833"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1012","-36","-3.44","1040","1048","1001","55192","56743602","25561327748","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","2375","-50","-2.06","2405","2425","2360","17170","40830325","36848452750","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","815","-13","-1.57","828","873","809","383943","318647306","25086697560","30781224"
"001530","DI동일","KOSPI",,"42500","0","0.00","0","0","0","0","0","1071666060000","25215672"
