종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3200","130","4.23","3040","3200","3015","348905","1096916160","148068841600","46271513"
"095570","AJ네트웍스","KOSPI",,"5480","130","2.43","5410","5490","5370","33942","184593780","256586176600","46822295"
"006840","AK홀딩스","KOSPI",,"20750","-400","-1.89","20700","20800","20250","47523","977290250","274886890750","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","12150","600","5.19","11500","12200","11250","86031","1016206200","247789785150","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","22600","250","1.12","22300","22700","22100","87773","1971951250","345360114600","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","13800","850","6.56","13000","13900","13000","328080","4434292700","208135795200","15082304"
"027410","BGF","KOSPI",,"5050","10","0.20","5040","5060","4995","88537","445797890","483369794550","95716791"
"282330","BGF리테일","KOSPI",,"163000","-6500","-3.83","166000","166500","159000","89785","14650751500","2817276678000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"7600","-280","-3.55","7780","7780","7560","2149943","16426528840","2477107869600","325935246"
"001460","BYC","KOSPI",,"459000","4500","0.99","454500","459500","454500","189","86410000","286698285000","624615"
"001465","BYC우","KOSPI",,"178000","-500","-0.28","176500","178500","176000","250","44119500","38338530000","215385"
"013720","CBI","KOSDAQ","중견기업부","2635","5","0.19","2650","2650","2525","322723","836614460","147130737420","55837092"
"001040","CJ","KOSPI",,"84100","0","0.00","84000","84900","83300","32212","2712009300","2453785531800","29176998"
"079160","CJ CGV","KOSPI",,"26200","350","1.35","25800","26300","25400","343867","8944775150","1069206699200","40809416"
"035760","CJ ENM","KOSDAQ","우량기업부","129700","-300","-0.23","129300","130400","128600","45337","5872492500","2844211273800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","37850","600","1.61","36900","37850","36800","4487","167948500","222318485200","5873672"
"00104K","CJ4우(전환)","KOSPI",,"74200","400","0.54","74100","74300","73100","3597","266109100","313607190400","4226512"
"000120","CJ대한통운","KOSPI",,"131000","7000","5.65","124500","133000","124000","136465","17688488500","2988417064000","22812344"
"011150","CJ씨푸드","KOSPI",,"4090","425","11.60","3685","4165","3685","7492894","30083828760","146956861570","35930773"
"011155","CJ씨푸드1우","KOSPI",,"38900","1400","3.73","37000","38900","37000","5609","215332600","7780000000","200000"
"001045","CJ우","KOSPI",,"49350","350","0.71","49400","49400","49000","885","43624500","111542005050","2260223"
"097950","CJ제일제당","KOSPI",,"374500","-4000","-1.06","378000","379500","373500","21915","8235987000","5637792657000","15054186"
"097955","CJ제일제당 우","KOSPI",,"165000","2000","1.23","162500","165500","162500","1952","320630000","219026445000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","40900","3150","8.34","38000","40900","37750","246601","9819029050","485547867400","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","3280","55","1.71","3205","3295","3205","383774","1252272920","455566560320","138892244"
"023460","CNH","KOSDAQ","벤처기업부","2200","15","0.69","2185","2225","2180","15683","34513485","81840000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","2500","-30","-1.19","2530","2545","2415","313427","776038225","48527825000","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","2085","10","0.48","2080","2125","2015","157429","328876835","81723541155","39195943"
"000590","CS홀딩스","KOSPI",,"69500","200","0.29","68600","69600","67500","3818","262356200","80236499000","1154482"
"012030","DB","KOSPI",,"863","6","0.70","850","865","850","224138","192901967","173613104179","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2110","15","0.72","2095","2110","2095","29226","61410705","12322400000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2105","-5","-0.24","2115","2115","2105","363","764185","12735250000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2135","15","0.71","2135","2140","2125","2196","4692180","10333400000","4840000"
"016610","DB금융투자","KOSPI",,"6230","-20","-0.32","6170","6260","6150","23029","143321810","264441003470","42446389"
"005830","DB손해보험","KOSPI",,"58700","-3100","-5.02","62600","62700","58200","363251","21595346000","4155960000000","70800000"
"000990","DB하이텍","KOSPI",,"69900","500","0.72","69000","70200","68500","603907","41897061700","3103461301200","44398588"
"000995","DB하이텍1우","KOSPI",,"95800","-300","-0.31","95400","97100","95400","173","16630500","10759872800","112316"
"139130","DGB금융지주","KOSPI",,"9070","-410","-4.32","9210","9220","9020","1084498","9838408620","1534152705310","169145833"
