종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2245","55","2.51","2195","2255","2185","216498","481638565","100581637195","44802511"
"095570","AJ네트웍스","KOSPI",,"3135","5","0.16","3180","3180","3110","53909","168451015","146787894825","46822295"
"006840","AK홀딩스","KOSPI",,"17050","550","3.33","16650","17100","16600","23294","391867850","225870915050","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","8550","-100","-1.16","8650","8660","8490","237124","2027848290","174370589550","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","22450","50","0.22","22400","22750","22050","120638","2706926900","325081096150","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","7010","-30","-0.43","7000","7140","6970","26289","184487480","105253776040","15014804"
"027410","BGF","KOSPI",,"4120","20","0.49","4155","4190","4085","166275","683608120","394353178920","95716791"
"282330","BGF리테일","KOSPI",,"125000","-2500","-1.96","126000","127000","123500","42326","5297225500","2160488250000","17283906"
"138930","BNK금융지주","KOSPI",,"5140","60","1.18","5080","5160","5070","1186841","6086492090","1675307164440","325935246"
"001460","BYC","KOSPI",,"242500","-1500","-0.61","244000","244000","239000","325","78723000","151469137500","624615"
"001465","BYC우","KOSPI",,"134000","2500","1.90","132000","135500","130000","919","122506000","28861590000","215385"
"001040","CJ","KOSPI",,"82200","1200","1.48","81100","82300","81100","65991","5400030600","2398349235600","29176998"
"079160","CJ CGV","KOSPI",,"23050","1050","4.77","22800","23200","22300","982877","22480670750","809055000000","35100000"
"035760","CJ ENM","KOSDAQ","우량기업부","124400","5700","4.80","121300","124600","121100","165973","20488099000","2727986757600","21929154"
"00104K","CJ4우(전환)","KOSPI",,"57500","1100","1.95","56500","57500","56300","12475","707117800","243024440000","4226512"
"000120","CJ대한통운","KOSPI",,"156500","5000","3.30","154000","162000","153500","154707","24463724000","3570131836000","22812344"
"011150","CJ씨푸드","KOSPI",,"5440","-460","-7.80","5950","6080","5360","10285784","57783148570","195463405120","35930773"
"011155","CJ씨푸드1우","KOSPI",,"52400","-4800","-8.39","56000","57200","50900","60373","3205249400","10480000000","200000"
"001045","CJ우","KOSPI",,"46300","300","0.65","46000","46600","45400","7247","333478500","104648324900","2260223"
"097950","CJ제일제당","KOSPI",,"403500","-3500","-0.86","403500","409500","398500","59447","23943913000","6074364051000","15054186"
"097955","CJ제일제당 우","KOSPI",,"163500","-1000","-0.61","163000","165500","162000","7898","1289063000","217035295500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","15900","350","2.25","15700","16350","15600","117400","1879828900","188758217400","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4465","-25","-0.56","4475","4550","4455","1908385","8571364895","620153869460","138892244"
"023460","CNH","KOSDAQ","벤처기업부","1525","5","0.33","1530","1530","1515","49607","75431260","56730000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","2800","85","3.13","2700","2800","2670","186700","514078290","52738420000","18835150"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","4170","0","0.00","0","0","0","0","0","154590427650","37072045"
"000590","CS홀딩스","KOSPI",,"56600","800","1.43","55800","56900","55800","2865","161235300","65343681200","1154482"
"012030","DB","KOSPI",,"703","-6","-0.85","711","711","699","178030","125270514","141425274899","201173933"
"322780","DB금융스팩7호","KOSDAQ","SPAC(소속부없음)","2020","0","0.00","2030","2040","2000","24284","48844165","9191000000","4550000"
"016610","DB금융투자","KOSPI",,"3670","20","0.55","3670","3695","3640","121734","445698840","155778247630","42446389"
"005830","DB손해보험","KOSPI",,"45100","1450","3.32","43700","45100","43700","170612","7629179750","3193080000000","70800000"
"000990","DB하이텍","KOSPI",,"34850","-700","-1.97","35650","35700","34400","933166","32556350950","1547290791800","44398588"
"000995","DB하이텍1우","KOSPI",,"68500","1800","2.70","67200","68900","67200","2170","147697300","7693646000","112316"
"139130","DGB금융지주","KOSPI",,"5390","100","1.89","5260","5390","5260","655231","3511086700","911696039870","169145833"
"001530","DI동일","KOSPI",,"87400","-300","-0.34","87700","88700","86600","11209","977500900","215494226600","2465609"
"068790","DMS","KOSDAQ","우량기업부","8230","-70","-0.84","8400","8540","8040","834587","6888442950","189804268010","23062487"
"004840","DRB동일","KOSPI",,"8650","120","1.41","8500","9800","8400","1218965","11019356820","172394500000","19930000"
