종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2105","-5","-0.24","2140","2140","2105","131159","277322205","94309285655","44802511"
"095570","AJ네트웍스","KOSPI",,"4460","-70","-1.55","4560","4560","4445","208335","934171210","208827435700","46822295"
"006840","AK홀딩스","KOSPI",,"21900","950","4.53","21050","22250","20950","95026","2061227650","290121585900","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","7800","-130","-1.64","7990","7990","7730","113894","892591240","159074923800","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","23450","-200","-0.85","23950","24000","23350","168362","3973196150","339561323150","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","7050","-30","-0.42","7090","7110","7010","16966","119542080","105854368200","15014804"
"027410","BGF","KOSPI",,"4635","-45","-0.96","4640","4705","4595","178849","830587025","443647326285","95716791"
"282330","BGF리테일","KOSPI",,"126000","500","0.40","126500","126500","125000","24477","3081328500","2177772156000","17283906"
"138930","BNK금융지주","KOSPI",,"5720","90","1.60","5690","5750","5660","4614160","26361995300","1864349607120","325935246"
"001460","BYC","KOSPI",,"294500","1000","0.34","293500","298000","288000","1405","409560500","183949117500","624615"
"001465","BYC우","KOSPI",,"140000","-500","-0.36","140000","140500","139000","273","38233500","30153900000","215385"
"001040","CJ","KOSPI",,"79600","500","0.63","79900","79900","79100","71806","5697434700","2322489040800","29176998"
"079160","CJ CGV","KOSPI",,"22950","50","0.22","22900","23200","22700","381589","8759596350","805545000000","35100000"
"035760","CJ ENM","KOSDAQ","우량기업부","133300","100","0.08","134600","134600","132800","120432","16041190300","2923156228200","21929154"
"00104K","CJ4우(전환)","KOSPI",,"61200","400","0.66","60600","61400","60400","22309","1351966800","258662534400","4226512"
"000120","CJ대한통운","KOSPI",,"164500","-1500","-0.90","166000","166000","164000","49589","8163733000","3752630588000","22812344"
"011150","CJ씨푸드","KOSPI",,"5250","-20","-0.38","5320","5420","5220","2304291","12242106780","188636558250","35930773"
"011155","CJ씨푸드1우","KOSPI",,"45600","-50","-0.11","45300","45700","45300","1201","54661950","9120000000","200000"
"001045","CJ우","KOSPI",,"50500","0","0.00","50500","50700","50000","3978","199661200","114141261500","2260223"
"097950","CJ제일제당","KOSPI",,"362500","1000","0.28","365000","365000","361000","46676","16894175500","5457142425000","15054186"
"097955","CJ제일제당 우","KOSPI",,"161500","0","0.00","162000","162500","160500","5349","862469000","214380429500","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","19150","0","0.00","19050","19300","18950","82902","1586738550","227340871900","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4755","-5","-0.11","4760","4775","4670","1963434","9293055155","660432620220","138892244"
"023460","CNH","KOSDAQ","벤처기업부","1880","15","0.80","1865","1895","1845","55205","103436035","69936000000","37200000"
"065770","CS","KOSDAQ","벤처기업부","2470","0","0.00","2470","2530","2460","27101","67209025","46522820500","18835150"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","2405","0","0.00","2450","2450","2380","100355","240497620","89158268225","37072045"
"000590","CS홀딩스","KOSPI",,"56500","700","1.25","55900","56600","55300","1611","90277600","65228233000","1154482"
"012030","DB","KOSPI",,"723","-12","-1.63","735","740","718","915149","663836512","145448753559","201173933"
"322780","DB금융스팩7호","KOSDAQ","SPAC(소속부없음)","1995","-5","-0.25","2020","2020","1940","20013","39921330","9077250000","4550000"
"016610","DB금융투자","KOSPI",,"4730","90","1.94","4640","4740","4625","166181","781371710","200771419970","42446389"
"005830","DB손해보험","KOSPI",,"44150","150","0.34","44450","44650","44000","205166","9073005450","3125820000000","70800000"
"000990","DB하이텍","KOSPI",,"35800","350","0.99","35750","36350","35600","507254","18211220350","1589469450400","44398588"
"000995","DB하이텍1우","KOSPI",,"116500","1000","0.87","115000","117000","114500","2254","260561000","13084814000","112316"
"139130","DGB금융지주","KOSPI",,"7420","120","1.64","7370","7480","7340","584815","4329246250","1255062080860","169145833"
"001530","DI동일","KOSPI",,"87200","-800","-0.91","86300","88100","86300","11920","1035149200","215001104800","2465609"
"068790","DMS","KOSDAQ","우량기업부","8700","80","0.93","8600","8770","8600","167637","1457172040","200643636900","23062487"
"004840","DRB동일","KOSPI",,"6860","20","0.29","6870","6910","6800","26551","181987380","136719800000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","4905","-55","-1.11","4960","5130","4900","1174770","5878590465","89366073615","18219383"
"155660","DSR","KOSPI",,"5640","80","1.44","5570","5660","5470","90326","501784470","90240000000","16000000"
"069730","DSR제강","KOSPI",,"4780","140","3.02","4605","4840","4595","197034","938332245","68832000000","14400000"
"017940","E1","KOSPI",,"45900","50","0.11","45700","46150","45500","8584","392841850","314874000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","11050","100","0.91","10850","11100","10700","540142","5902962600","474205490200","42914524"
"037370","EG","KOSDAQ","중견기업부","9370","130","1.41","9240","9850","9240","247155","2359754670","70275000000","7500000"
"079190","EMW","KOSDAQ","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"007700","F&F","KOSPI",,"87400","2200","2.58","85400","87800","85400","97161","8460763300","1345960000000","15400000"
"130500","GH신소재","KOSDAQ","중견기업부","10850","-650","-5.65","10900","11300","10600","3149800","34390629250","119350000000","11000000"
"114090","GKL","KOSPI",,"15950","750","4.93","15250","16000","15200","699198","10983945650","986597936500","61855670"
"900290","GRT","KOSDAQ","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"078930","GS","KOSPI",,"36700","1650","4.71","35500","36900","35450","520788","18959118800","3409994372600","92915378"
"083450","GST","KOSDAQ","우량기업부","16950","50","0.30","17050","17200","16850","118263","2009694800","157935777750","9317745"
"006360","GS건설","KOSPI",,"31800","100","0.32","31750","32050","31200","399045","12607820650","2547110167200","80097804"
"001250","GS글로벌","KOSPI",,"1925","15","0.79","1920","1945","1920","311239","600894330","158877495700","82533764"
"007070","GS리테일","KOSPI",,"33900","150","0.44","33950","34050","33800","233164","7900307300","2610300000000","77000000"
"078935","GS우","KOSPI",,"31250","200","0.64","31150","31300","31000","5719","178513450","55775812500","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","137800","800","0.58","137200","138900","137200","14727","2033967900","904312500000","6562500"
"045890","GV","KOSDAQ","투자주의환기종목(소속부없음)","586","3","0.51","586","594","577","1278298","745770297","40933267312","69851992"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2035","-30","-1.45","2070","2070","2025","361950","738939420","160745516910","78990426"
"012630","HDC","KOSPI",,"10450","-50","-0.48","10500","10600","10400","221130","2318862900","624300984450","59741721"
"039570","HDC아이콘트롤스","KOSPI",,"9490","-40","-0.42","9590","9590","9480","24180","229906040","156205400000","16460000"
"089470","HDC현대EP","KOSPI",,"6400","100","1.59","6310","6490","6220","157800","1004423770","204160000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"20100","50","0.25","20150","20350","19950","758802","15296829950","1324737333000","65907330"
"011200","HMM","KOSPI",,"13400","50","0.37","13300","13550","13050","4802583","64144888050","4378132728200","326726323"
"036640","HRS","KOSDAQ","중견기업부","4010","-5","-0.12","4000","4050","3945","172932","688848490","65582748000","16354800"
"082740","HSD엔진","KOSPI",,"6900","90","1.32","6730","6980","6570","1499830","10102601570","227335279800","32947142"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","2115","0","0.00","2115","2115","2065","3296","6847450","6598800000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2095","0","0.00","2095","2095","2095","10","20950","10831150000","5170000"
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)","2070","-25","-1.19","2075","2075","2070","450","932500","8963100000","4330000"
"003560","IHQ","KOSPI",,"1600","35","2.24","1565","1625","1560","2032232","3257115540","233977196800","146235748"
"095340","ISC","KOSDAQ","우량기업부","19400","-350","-1.77","19800","20050","19350","179060","3503932200","274364655200","14142508"
"099520","ITX-AI","KOSDAQ","벤처기업부","2540","100","4.10","2455","2575","2450","123201","311804535","74426274820","29301683"
"175330","JB금융지주","KOSPI",,"5630","160","2.93","5520","5680","5520","516278","2881718880","1109013693220","196982894"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","5440","10","0.18","5460","5560","5340","238000","1299679620","190430012480","35005517"
"234080","JW생명과학","KOSPI",,"19350","200","1.04","19300","19400","19100","70449","1356607200","306398619900","15834554"
"067290","JW신약","KOSDAQ","중견기업부","5820","-10","-0.17","5830","5890","5720","262585","1519323400","242502906120","41667166"
"001060","JW중외제약","KOSPI",,"33450","-400","-1.18","33550","33750","33150","77712","2599607650","699775806300","20920054"
"001067","JW중외제약2우B","KOSPI",,"58600","-100","-0.17","59800","59800","58400","323","19073200","5295916400","90374"
"001065","JW중외제약우","KOSPI",,"43700","-300","-0.68","44000","44000","43600","2030","88788050","7532175700","172361"
"096760","JW홀딩스","KOSPI",,"5790","80","1.40","5770","5820","5710","299749","1729938220","384757977450","66452155"
"035900","JYP Ent.","KOSDAQ","우량기업부","39350","1400","3.69","38000","39700","37050","996278","38316394100","1396826310200","35497492"
"024840","KBI메탈","KOSDAQ","우량기업부","1780","5","0.28","1785","1795","1740","272846","482309015","58652509440","32950848"
"105560","KB금융","KOSPI",,"45900","550","1.21","45750","46700","45650","2394959","110094719700","19085583528000","415807920"
"024120","KB오토시스","KOSDAQ","우량기업부","6300","-100","-1.56","6350","6370","6270","12558","79202600","72450000000","11500000"
"002380","KCC","KOSPI",,"169500","1500","0.89","169500","170500","167500","40834","6907167500","1506256834500","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","7640","90","1.19","7670","7670","7560","23144","176718670","163496000000","21400000"
"036670","KCI","KOSDAQ","우량기업부","10300","50","0.49","10250","10300","10200","44956","461918050","116081000000","11270000"
"009070","KCTC","KOSPI",,"3945","55","1.41","3890","3970","3825","845067","3306706690","118350000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"5020","0","0.00","5020","5050","4980","111068","557333835","112623599600","22434980"
"112190","KC산업","KONEX","일반기업부","2175","50","2.35","2190","2190","2000","111","241825","15497425275","7125253"
"119650","KC코트렐","KOSPI",,"10700","-100","-0.93","10700","10950","10600","503254","5395158400","139100000000","13000000"
"044180","KD","KOSDAQ","투자주의환기종목(소속부없음)","1400","20","1.45","1380","1410","1375","146596","203364285","21938924000","15670660"
"092220","KEC","KOSPI",,"2790","40","1.45","2720","2810","2665","14001053","38290782585","325612362600","116706940"
"151860","KG ETS","KOSDAQ","우량기업부","5150","-30","-0.58","5100","5280","4990","5102533","26172854940","185400000000","36000000"
"016380","KG동부제철","KOSPI",,"11350","2600","29.71","8950","11350","8900","6219710","67211916520","1135100980950","100008897"
"016385","KG동부제철우","KOSPI",,"148000","22000","17.46","128000","155000","128000","13441","1980074000","7900980000","53385"
"046440","KG모빌리언스","KOSDAQ","우량기업부","10850","50","0.46","10850","11150","10800","801793","8793860000","421257412800","38825568"
"035600","KG이니시스","KOSDAQ","우량기업부","19700","-250","-1.25","19950","19950","19500","183426","3601902650","549717349800","27904434"
"001390","KG케미칼","KOSPI",,"20850","800","3.99","20000","21000","19850","444106","9135713100","271325887200","13013232"
"060720","KH바텍","KOSDAQ","중견기업부","18500","-50","-0.27","18500","18800","18350","163068","3013251500","437967205500","23673903"
"001940","KISCO홀딩스","KOSPI",,"14000","0","0.00","14000","14200","13900","15011","209838600","258669320000","18476380"
"122450","KMH","KOSDAQ","중견기업부","21500","-3000","-12.24","23300","23500","21000","2156467","47141488650","487361613000","22667982"
"052900","KMH하이텍","KOSDAQ","중견기업부","1735","-5","-0.29","1735","1760","1720","820450","1425994240","81346340765","46885499"
"058400","KNN","KOSDAQ","우량기업부","2255","-150","-6.24","2380","2405","2250","8714036","20296719110","298629018600","132429720"
"114450","KPX생명과학","KOSDAQ","중견기업부","16550","250","1.53","16300","16550","15750","1390114","22358895800","248250000000","15000000"
"025000","KPX케미칼","KOSPI",,"53500","500","0.94","53300","53700","52700","17774","945672500","258940000000","4840000"
"092230","KPX홀딩스","KOSPI",,"63500","-300","-0.47","64400","64600","63000","26865","1706978600","268265021000","4224646"
"000040","KR모터스","KOSPI",,"1310","-70","-5.07","1355","1375","1300","4014400","5346167770","120075933580","91661018"
"044450","KSS해운","KOSPI",,"10450","50","0.48","10450","10450","10300","115514","1201081150","242292446000","23185880"
"030200","KT","KOSPI",,"24250","0","0.00","24250","24300","24100","778045","18837636100","6331961344000","261111808"
"033780","KT&G","KOSPI",,"83400","900","1.09","83800","84400","83400","569951","47718856200","11450194249800","137292497"
"030210","KTB투자증권","KOSPI",,"3220","140","4.55","3080","3230","3080","430892","1370111625","194211376240","60314092"
"036030","KTH","KOSDAQ","중견기업부","5580","-590","-9.56","5900","5910","5510","1310599","7432622640","199289822760","35715022"
"058850","KTcs","KOSPI",,"2325","80","3.56","2245","2325","2240","1334723","3049585425","99242625000","42685000"
"058860","KTis","KOSPI",,"2585","15","0.58","2575","2585","2545","99584","255628875","89963170000","34802000"
"060370","KT서브마린","KOSDAQ","중견기업부","5940","170","2.95","5810","6120","5790","746960","4473300490","130086000000","21900000"
"093050","LF","KOSPI",,"14850","150","1.02","14650","15100","14650","150900","2248809650","434214000000","29240000"
"003550","LG","KOSPI",,"72600","2000","2.83","71700","72900","71700","466949","33879848300","12527647710600","172557131"
"034220","LG디스플레이","KOSPI",,"15800","550","3.61","15500","15850","15300","2028154","31590967550","5653488060000","357815700"
"001120","LG상사","KOSPI",,"19350","250","1.31","19200","19500","18800","252584","4871795900","750006000000","38760000"
"051900","LG생활건강","KOSPI",,"1538000","24000","1.59","1534000","1538000","1515000","19516","29822605000","24020786986000","15618197"
"051905","LG생활건강우","KOSPI",,"700000","5000","0.72","696000","700000","694000","6803","4739577000","1469787900000","2099697"
"003555","LG우","KOSPI",,"54900","100","0.18","55000","55500","54600","22671","1242899600","181975767300","3314677"
"032640","LG유플러스","KOSPI",,"11850","-100","-0.84","12000","12000","11750","2346995","27821506100","5173844627850","436611361"
"011070","LG이노텍","KOSPI",,"155000","0","0.00","156500","157500","154000","193287","30025018000","3668401585000","23667107"
"066570","LG전자","KOSPI",,"86000","500","0.58","86100","86500","85500","693134","59495242600","14073712004000","163647814"
"066575","LG전자우","KOSPI",,"32850","0","0.00","33050","33150","32600","117651","3855137600","564559837200","17185992"
"108670","LG하우시스","KOSPI",,"73100","-2400","-3.18","76300","76500","72100","125121","9169449500","655536677000","8967670"
"108675","LG하우시스우","KOSPI",,"30600","50","0.16","30850","30850","30100","11637","353513950","31589298000","1032330"
"037560","LG헬로비전","KOSPI",,"3925","75","1.95","3920","3925","3870","256414","999880990","303978945125","77446865"
"051910","LG화학","KOSPI",,"809000","9000","1.13","808000","816000","794000","404022","324593461000","57109205487000","70592343"
"051915","LG화학우","KOSPI",,"365000","8500","2.38","358500","365000","357500","38809","14008050000","2806412000000","7688800"
"079550","LIG넥스원","KOSPI",,"29900","-400","-1.32","30300","30300","29900","77997","2341525100","657800000000","22000000"
"006260","LS","KOSPI",,"67900","4700","7.44","64200","68600","64100","656579","43964232600","2186380000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"55600","500","0.91","54900","56700","54900","153827","8605345800","1668000000000","30000000"
"000680","LS네트웍스","KOSPI",,"2240","-5","-0.22","2240","2260","2210","70606","157701795","176518755840","78803016"
"229640","LS전선아시아","KOSPI",,"7780","100","1.30","7670","7810","7650","163251","1267858260","238261558620","30624879"
"023150","MH에탄올","KOSPI",,"8760","-10","-0.11","8650","8880","8650","93199","816129350","64635887760","7378526"
"065150","MP그룹","KOSDAQ","투자주의환기종목(소속부없음)","1315","0","0.00","0","0","0","0","0","106263055205","80808407"
"219550","MP한강","KOSDAQ","중견기업부","1555","85","5.78","1470","1565","1470","5210984","7980668625","100448333445","64596999"
"035420","NAVER","KOSPI",,"285500","8000","2.88","282000","286000","280000","709278","201529768500","46897199272500","164263395"
"160550","NEW","KOSDAQ","중견기업부","4080","10","0.25","4030","4090","4030","66486","270051580","113856912480","27906106"
"053290","NE능률","KOSDAQ","벤처기업부","2920","-50","-1.68","2970","2995","2910","87257","257014810","48256816440","16526307"
"181710","NHN","KOSPI",,"72600","-400","-0.55","73000","73500","72000","83650","6082450800","1420420815000","19565025"
"104200","NHN벅스","KOSDAQ","중견기업부","5540","-20","-0.36","5560","5570","5430","40707","223515450","82144627000","14827550"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부","66700","0","0.00","66700","66700","65900","85259","5653303100","1532191913100","22971393"
"005940","NH투자증권","KOSPI",,"11250","500","4.65","10900","11300","10850","1476918","16383937050","3165849978750","281408887"
"005945","NH투자증권우","KOSPI",,"9020","120","1.35","8930","9070","8920","104736","945929610","170216131360","18870968"
"338100","NH프라임리츠","KOSPI",,"4355","5","0.11","4385","4385","4345","80278","349459900","81264300000","18660000"
"034310","NICE","KOSPI",,"19500","100","0.52","19500","19600","19250","42046","817606550","738704850000","37882300"
