컬럼_1,컬럼_2,컬럼_3,컬럼_4,컬럼_5,컬럼_6,컬럼_7,컬럼_8,컬럼_9,컬럼_10,컬럼_11,컬럼_12
제주은행,B+,A,A,B+,-,-,-,-,-,,
제주항공,B,C,B+,B+,-,-,-,-,15,,
조광페인트,C,C,C,C,-,-,-,-,-,,
조광피혁,C,D,D,B,-,-,-,-,-,,
조비,D,D,D,D,-,-,-,-,-,,
조선선재,D,D,D,C,-,-,-,-,-,,
조일알미늄,C,C,C,B,-,-,-,-,-,,
조흥,C,C,C,C,-,-,-,-,-,,
종근당,B+,B+,A,B,B+,-,-,-,15,,
종근당바이오,B+,B,A,B,-,-,-,-,-,,
종근당홀딩스,B+,B+,A,B,-,-,-,-,24,,
주성코퍼레이션,D,D,D,C,-,-,-,-,-,,
주연테크,D,D,D,D,-,-,-,-,-,,
지누스,B+,B,B+,A,B+,-,-,-,20,,
지엠비코리아,D,D,C,D,-,-,-,-,-,,
지역난방공사,A+,A,A+,A+,-,-,-,-,44,,
진도,D,D,D,C,-,-,-,-,-,,
진양산업,D,D,D,D,-,-,-,-,-,,
진양폴리우레탄,D,D,D,C,-,-,-,-,-,,
진양홀딩스,D,D,D,D,-,-,-,-,-,,
진양화학,D,D,D,C,-,-,-,-,-,,
진에어,B+,B,B+,A,-,-,-,-,-,,
진원생명과학,D,D,D,D,-,-,-,-,20,,
진흥기업,C,D,C,B,-,-,-,-,-,,
참엔지니어링,C,D,C,B,-,-,-,-,-,,
천일고속,D,D,D,D,-,-,-,-,-,,
청호ICT,D,D,D,D,-,-,-,-,-,,
체시스,D,D,D,C,-,-,-,-,-,,
카카오,A,A,A,A,A,-,24,AA,65,,
카카오뱅크,-,-,-,-,B+,-,-,BB,9,,
카카오페이,-,-,-,-,B+,-,-,-,-,,
카프로,C,C,D,C,-,-,-,-,13,,
케이비아이동국실업,D,D,D,D,-,-,-,-,-,,
케이씨,C,D,B,C,-,-,-,-,21,,
케이씨씨,A,B+,A,A,A,-,33,-,38,,
케이씨씨글라스,B+,B+,A,B+,-,-,-,-,33,,
케이씨텍,C,D,C,B,-,-,-,-,-,,
케이씨티시,D,D,C,D,-,-,-,-,-,,
케이카,-,-,-,-,B,-,-,-,-,,
케이티,A,A,B+,A,A,-,47,-,55,,
케이티스카이라이프,A,B,A+,A,-,-,-,-,19,,
케이티앤지,A,A,A+,A,A+,-,30,AA,75,,
코리아써키트,D,C,D,D,-,-,-,-,-,,
코리안리,B+,C,B+,B+,-,-,-,-,18,,
코스맥스,B,B+,A,C,A,-,-,-,39,,
코스맥스비티아이,B+,B+,A,B,-,-,-,-,-,,
코스모신소재,D,C,C,D,-,-,-,-,10,,
코스모화학,D,C,D,D,-,-,-,-,12,,
코아스,C,D,D,B+,-,-,-,-,-,,
코오롱,C,C,A,C,-,-,-,-,11,,
코오롱ENP,B,C,B,B+,-,-,-,-,-,,
코오롱글로벌,C,D,C,B+,-,-,-,-,-,,
코오롱인더,B+,B,A,A,B+,-,-,-,48,,
코웨이,B+,A,A,B,A,-,31,A,62,,
콘텐트리중앙,D,D,C,D,-,-,-,-,-,,
콜마홀딩스,B+,B+,B+,B+,-,-,-,-,15,,
콤텍시스템,D,D,D,D,-,-,-,-,-,,
쿠쿠홀딩스,C,D,D,B,-,-,-,-,6,,
쿠쿠홈시스,C,D,D,B,B,-,-,-,14,,
크라운제과,C,C,B,C,-,-,-,-,-,,
크라운해태홀딩스,C,C,B,C,-,-,-,-,-,,
크래프톤,-,-,-,-,B,-,-,BB,17,,
키다리스튜디오,D,D,D,C,-,-,-,-,-,,
키움증권,B,B,C,B,B,-,-,-,28,,
태경비케이,D,C,C,D,-,-,-,-,-,,
태경산업,C,C,C,C,-,-,-,-,-,,
태경케미컬,D,D,C,D,-,-,-,-,-,,
태광산업,D,D,C,C,B,-,-,-,16,,
태림포장,C,C,B+,C,-,-,-,-,9,,
태양금속공업,D,D,D,D,-,-,-,-,-,,
태영건설,B+,B+,B,B+,-,-,-,-,22,,
태원물산,D,D,D,D,-,-,-,-,-,,
테이팩스,B+,B,A,B,-,-,-,-,-,,
텔코웨어,D,D,D,C,-,-,-,-,-,,
토니모리,C,D,D,B+,-,-,-,-,-,,
티비에이치글로벌,D,D,D,C,-,-,-,-,-,,
티에이치엔,D,D,C,D,-,-,-,-,-,,
티와이홀딩스,B+,B+,B,B+,-,-,-,-,-,,
티웨이항공,C,D,C,B,-,-,-,-,-,,
티웨이홀딩스,D,D,C,D,-,-,-,-,-,,
티케이지휴켐스,B,B,B+,B,B+,-,-,-,27,,
파라다이스,-,-,-,-,-,-,13,-,6,,
파미셀,D,D,D,D,-,-,-,-,20,,
팜스코,B,B,A,C,-,-,-,-,-,,
팜젠사이언스,D,D,D,D,-,-,-,-,-,,
팬오션,B,A,B+,C,B+,-,21,B,21,,
퍼스텍,D,D,D,C,-,-,-,-,-,,
퍼시스,D,D,C,D,-,-,-,-,-,,
페이퍼코리아,D,C,D,D,-,-,-,-,-,,
평화산업,C,D,C,B,-,-,-,-,-,,
평화홀딩스,C,D,D,B+,-,-,-,-,-,,
포스코DX,-,-,-,-,-,-,-,-,46,,
포스코스틸리온,A,B+,A+,B+,-,-,-,-,-,,
포스코인터내셔널,A,B+,A+,A,A,-,28,-,40,,
포스코퓨처엠,B+,B+,A,B,A+,-,15,A,57,,
풀무원,A,B+,A+,A,-,-,-,-,74,,
풍산,B,C,B+,B+,B+,-,-,-,19,,
풍산홀딩스,B,C,B+,B+,-,-,-,-,10,,
플레이그램,D,D,D,D,-,-,-,-,-,,
하나금융지주,A,A+,A+,A,A,-,37,AA,87,,
하나제약,C,D,C,B,-,-,-,-,-,,
하나투어,B+,B+,B+,B+,A,-,-,-,20,,
하이브,C,D,D,B,B,-,-,BBB,10,,
하이스틸,C,D,C,B,-,-,-,-,-,,
하이트론씨스템즈,D,D,D,D,-,-,-,-,-,,
하이트진로,B,B,B+,B,A,-,-,-,17,,
하이트진로홀딩스,B,B,B+,B,-,-,-,-,-,,
한국가스공사,B+,B+,A,B+,A+,-,32,-,78,,
한국공항,C,C,B+,C,-,-,-,-,-,,
한국금융지주,B,D,B+,B+,B,-,14,B,6,,
한국내화,C,C,B+,D,-,-,-,-,-,,
한국단자공업,D,D,C,C,-,-,-,-,10,,
한국무브넥스,D,D,C,C,-,-,-,-,-,,
한국석유공업,B,D,B,B+,-,-,-,-,-,,
한국수출포장공업,D,C,D,D,-,-,-,-,-,,
한국쉘석유,C,C,C,B,-,-,-,-,19,,
한국앤컴퍼니,B,C,B,B+,B+,-,-,-,42,,
한국자산신탁,C,C,D,B,-,-,-,-,-,,
한국전력공사,B,B,B,B+,B+,-,38,BB,73,,
한국전자홀딩스,D,C,D,D,-,-,-,-,-,,
한국제지,D,D,C,D,-,-,-,-,-,,
한국종합기술,C,D,C,B,-,-,-,-,-,,
한국주강,D,D,D,D,-,-,-,-,-,,
한국주철관공업,D,C,C,D,-,-,-,-,-,,
한국철강,C,C,D,B,-,-,-,-,18,,
한국카본,C,B+,A,D,-,-,-,-,10,,
한국콜마,B+,B+,B+,B+,B+,-,-,-,27,,
한국타이어앤테크놀로지,B,B,A,C,A,-,41,BB,77,,
한국토지신탁,C,D,C,C,-,-,-,-,6,,
한국특강,D,C,C,D,-,-,-,-,-,,
한국항공우주,C,B,A,D,B+,-,15,BB,15,,
한국화장품,C,D,C,C,-,-,-,-,-,,
한국화장품제조,D,D,C,C,-,-,-,-,-,,
한농화성,D,D,D,D,-,-,-,-,-,,
한독,B+,B,A,B+,-,-,-,-,29,,
한미글로벌,B+,B+,A,B+,-,-,-,-,-,,
한미반도체,C,D,D,B,-,-,-,-,11,,
한미사이언스,B+,B,A+,B,B+,-,22,-,9,,
한미약품,B+,B,A+,B,A,-,26,BB,42,,
한샘,A,B+,A,A,A+,-,13,-,33,,
한섬,B+,A,A,B,B+,-,-,-,24,,
한성기업,D,D,D,D,-,-,-,-,-,,
한세실업,C,C,B+,C,B,-,-,-,25,,
한세엠케이,C,C,B,C,-,-,-,-,-,,
한세예스24홀딩스,B+,C,B+,B+,-,-,-,-,23,,
한솔로지스틱스,B+,C,A,B+,-,-,-,-,-,,
한솔제지,B+,B+,A,B+,-,-,-,-,-,,
한솔케미칼,B,C,B+,B+,A,-,-,-,33,,
한솔테크닉스,B+,B,A,B+,-,-,-,-,16,,
한솔피엔에스,B,C,B,B+,-,-,-,-,-,,
한솔홀딩스,A,B+,A,A,-,-,-,-,28,,
한솔홈데코,B,C,B,B+,-,-,-,-,-,,
한신공영,D,D,C,D,-,-,-,-,12,,
한신기계공업,D,D,D,D,-,-,-,-,-,,
한양증권,D,D,D,C,-,-,-,-,-,,
한온시스템,B,B+,A,C,B+,-,31,BBB,59,,
한올바이오파마,C,D,C,C,B,-,-,-,18,,
한익스프레스,D,D,C,D,-,-,-,-,-,,
한일시멘트,C,B+,A,D,A,-,-,-,-,,
한일철강,D,D,D,D,-,-,-,-,-,,
한일현대시멘트,B+,B+,B+,B,-,-,-,-,-,,
한일홀딩스,C,B+,A,D,-,-,-,-,11,,
한전KPS,A,B+,A,A,B+,-,28,-,52,,
한전기술,B+,B,B+,B+,A,-,-,-,41,,
한전산업,C,C,B,C,-,-,-,-,-,,
한진,B+,B+,A,B+,-,-,-,-,41,,
한진중공업홀딩스,C,D,D,B+,-,-,-,-,-,,
한진칼,A,A,A,A,B+,-,-,-,12,,
한창,D,D,D,D,-,-,-,-,-,,
한창제지,C,C,C,B,-,-,-,-,-,,
한화,A,A,A+,A,A,-,18,-,48,,
한화생명,A,A,A+,B+,A,-,25,-,36,,
한화손해보험,A,A,A,A,-,-,-,-,40,,
한화솔루션,B,A,A,C,A+,-,23,BBB,54,,
한화시스템,A,B+,A+,A,A+,-,-,-,49,,
한화에어로스페이스,B+,B+,A,B,A,-,25,-,22,,
한화엔진,B+,B,A,B+,-,-,-,-,-,,
한화오션,B+,B,B+,B+,B+,-,-,-,34,,
한화투자증권,B+,B+,A,B+,-,-,-,-,34,,
해성디에스,B+,B+,A,B+,-,-,-,-,-,,
해태제과식품,C,D,B,C,-,-,-,-,-,,
핸즈코퍼레이션,C,C,B,D,-,-,-,-,-,,
현대건설,A,A,A,B+,B+,-,36,BBB,75,,
현대글로비스,A,A,A+,A,A+,-,34,BB,70,,
현대로템,A,A,A+,A,A,-,-,-,43,,
현대리바트,A,A,A,A,-,-,-,-,11,,
현대모비스,A,A,A+,B+,A+,-,38,B,80,,
현대백화점,A,A,A,A,A,-,13,-,20,,
현대비앤지스틸,C,B+,B+,D,-,-,-,-,-,,
현대약품,D,D,C,D,-,-,-,-,-,,
현대엘리베이터,B,C,B,B,B,-,-,-,26,,
현대오토에버,B+,B+,A,B+,-,-,-,-,42,,
현대위아,A,A,A,B+,A+,-,25,-,48,,
현대자동차,B+,A,B+,B,A,-,35,B,77,,
현대제철,A,A,A,B+,A,-,35,B,77,,
현대지에프홀딩스,A,A,A,A,A,-,-,-,22,,
현대차증권,A,B+,A+,B+,-,-,-,-,17,,
현대코퍼레이션,B,C,B,B,-,-,-,-,19,,
현대코퍼레이션홀딩스,B,C,B,B+,-,-,-,-,-,,
현대퓨처넷,A,A,A,A,-,-,-,-,-,,
현대해상,B+,A,A,B+,A,-,32,-,33,,
현대홈쇼핑,A,A,A+,A,A,-,-,-,43,,
형지엘리트,D,D,C,D,-,-,-,-,-,,
혜인,D,D,D,D,-,-,-,-,-,,
호전실업,D,D,D,C,-,-,-,-,-,,
호텔신라,A,B+,A,A,B+,-,14,BB,12,,
화승엔터프라이즈,B+,B,B,A,B,-,-,-,-,,
화승인더스트리,C,C,C,B+,-,-,-,-,-,,
화승코퍼레이션,C,C,C,B,-,-,-,-,-,,
화신,C,C,A,C,-,-,-,-,-,,
화인베스틸,D,C,D,D,-,-,-,-,-,,
화천기계,D,D,D,D,-,-,-,-,-,,
화천기공,D,D,D,C,-,-,-,-,-,,
환인제약,B,D,B+,B+,-,-,-,-,21,,
황금에스티,C,D,D,B,-,-,-,-,-,,
효성,B+,A,A+,B,A,-,-,-,41,,
효성 ITX,B+,B,A,B+,-,-,-,-,-,,
효성중공업,A,A,A+,B+,-,-,-,-,40,,
효성티앤씨,A,A,A+,B+,A,-,-,-,41,,
효성화학,A,A,A+,B+,-,-,-,-,44,,
후성,B,B,B+,B,B+,-,-,-,14,,
휠라홀딩스,B+,B,A,B+,A,-,24,-,41,,
휴니드테크놀러지스,D,D,C,C,-,-,-,-,-,,
휴비스,B+,B+,A,B+,-,-,-,-,14,,
휴스틸,D,D,D,C,-,-,-,-,-,,
흥국화재,B+,C,B+,B+,-,-,-,-,-,,
흥아해운,C,C,B,C,-,-,-,-,-,,
