,회사명,종합등급,환경,사회,지배구조,연도
2542,우신시스템,D,D,D,C,2022
2543,우신시스템,C,D,D,B,2023
2544,우신시스템,C,D,D,B,2024
2545,우신시스템,C,D,D,B,2024
2546,우신시스템,C,D,D,B,2024
2547,우신시스템,C,D,D,B,2024
2548,우진,B+,B,B,B+,2020
2549,우진,B,C,C,B+,2021
2550,우진,C,D,C,B,2022
2551,우진,C,D,C,C,2023
2552,우진,C,D,C,C,2024
2553,우진,C,D,C,C,2024
2554,우진,C,D,C,C,2024
2555,우진,C,D,C,C,2024
2556,우진아이엔에스,C,C,C,B+,2020
2557,우진아이엔에스,C,C,C,B+,2021
2558,우진아이엔에스,C,D,D,B,2022
2559,우진아이엔에스,C,C,D,B,2023
2560,우진플라임,B,B,B,B,2020
2561,우진플라임,B,B,C,B,2021
2562,우진플라임,D,D,D,D,2022
2563,우진플라임,C,C,D,C,2023
2564,웅진,B,D,B,B+,2020
2565,웅진,B,D,B+,B+,2021
2566,웅진,C,C,B+,C,2022
2567,웅진,B+,B,A,B,2023
2568,웅진씽크빅,B,D,B,B,2020
2569,웅진씽크빅,B+,B,A,B+,2021
2570,웅진씽크빅,B+,C,B+,B+,2022
2571,웅진씽크빅,B+,B+,A+,B,2023
2572,원림,C,D,B,C,2020
2573,원림,C,D,B,B,2021
2574,원림,D,D,D,C,2022
2575,원림,C,C,D,C,2023
2576,웰바이오텍,B,D,B,B,2020
2577,웰바이오텍,B,D,B,B,2021
2578,웰바이오텍,D,D,D,D,2022
2579,웰바이오텍,D,D,D,D,2023
2580,윌비스,C,D,C,C,2020
2581,윌비스,C,D,D,B+,2021
2582,윌비스,D,D,D,C,2022
2583,윌비스,D,D,C,D,2023
2584,유나이티드,B,B,B+,B,2020
2585,유나이티드,B,C,B,B+,2021
2586,유나이티드,B,C,C,B+,2022
2587,유나이티드,B,C,B,B+,2023
2588,유니드,B,B,B,B,2020
2589,유니드,B+,B,B+,B+,2021
2590,유니드,B,C,B+,B,2022
2591,유니드,B+,B+,B+,B,2023
2592,유니온,C,C,B,C,2020
2593,유니온,B,B,B,B,2021
2594,유니온,C,C,C,B,2022
2595,유니온,C,C,C,B,2023
2596,유니온머티리얼,B,B,B,B,2020
2597,유니온머티리얼,B,B,C,B,2021
2598,유니온머티리얼,D,D,D,C,2022
2599,유니온머티리얼,C,C,D,C,2023
2600,유니켐,B,B,C,B,2020
2601,유니켐,B,C,C,B+,2021
2602,유니켐,D,D,D,D,2022
2603,유니켐,D,C,C,D,2023
2604,유니퀘스트,B,D,C,B+,2020
2605,유니퀘스트,B,B,C,B+,2021
2606,유니퀘스트,D,D,D,D,2022
2607,유니퀘스트,C,D,D,B,2023
2608,유성기업,C,B,C,C,2020
2609,유성기업,C,B,D,C,2021
2610,유성기업,C,C,C,C,2022
2611,유성기업,C,C,C,C,2023
2612,유수홀딩스,B,C,B,B+,2020
2613,유수홀딩스,B+,D,B,A,2021
2614,유수홀딩스,B+,B,B+,B+,2022
2615,유수홀딩스,B+,B+,A,B+,2023
2616,유안타증권,B,D,B+,B,2020
2617,유안타증권,C,D,C,B,2021
2618,유안타증권,C,D,C,B,2022
2619,유안타증권,C,C,D,B,2023
2620,유엔젤,C,B,C,C,2020
2621,유엔젤,C,D,C,B,2021
2622,유엔젤,D,D,D,D,2022
2623,유엔젤,D,D,D,D,2023
2624,유유제약,B,B,C,B,2020
2625,유유제약,B,D,B,B+,2021
2626,유유제약,C,D,B,D,2022
2627,유유제약,D,D,C,D,2023
2628,유진증권,B,C,B+,B,2020
2629,유진증권,C,C,C,B,2021
2630,유진증권,B,C,B+,B,2022
2631,유진증권,B,C,B,B,2023
2632,유한양행,B+,B+,B+,B+,2020
2633,유한양행,B+,B+,A,B+,2021
2634,유한양행,B+,B,A,B+,2022
2635,유한양행,A,B+,A+,A,2023
2636,유화증권,C,D,C,B,2020
2637,유화증권,C,D,C,C,2021
2638,유화증권,D,D,D,C,2022
2639,유화증권,C,D,C,C,2023
2640,율촌화학,B,C,B+,B+,2020
2641,율촌화학,B,B,B,B+,2021
2642,율촌화학,C,C,C,C,2022
2643,율촌화학,D,C,C,D,2023
2644,이건산업,B,C,B,B,2020
2645,이건산업,C,D,C,B+,2021
2646,이건산업,D,D,C,D,2022
2647,이건산업,D,D,C,D,2023
2648,이구산업,B,B,C,B,2020
2649,이구산업,B,B,C,B+,2021
2650,이구산업,C,C,C,C,2022
2651,이구산업,C,C,D,C,2023
2652,이노션,B+,D,A,A,2020
2653,이노션,A,B+,A,A,2021
2654,이노션,B+,B,A,B+,2022
2655,이노션,B+,A,A,B+,2023
2656,이마트,A,A,A+,A,2020
2657,이마트,A,A,A,A,2021
2658,이마트,A,A+,A,B+,2022
2659,이마트,A,A,B+,A,2023
2660,이수페타시스,B,B+,B+,C,2020
2661,이수페타시스,B,B,A,C,2021
2662,이수페타시스,C,B,B+,D,2022
2663,이수페타시스,C,B,B+,C,2023
2664,이수화학,C,B,B,C,2020
2665,이수화학,B,B,B+,B,2021
2666,이수화학,C,B,B+,D,2022
2667,이수화학,C,B,B,D,2023
2668,이스타코,C,D,C,B,2020
2669,이스타코,C,D,C,B,2021
2670,이스타코,D,D,D,C,2022
2671,이스타코,D,D,D,C,2023
2672,이아이디,D,D,C,C,2020
2673,이아이디,D,D,C,C,2021
2674,이아이디,D,D,D,D,2022
2675,이아이디,D,D,D,D,2023
2676,이엔플러스,B,B,C,B,2020
2677,이엔플러스,C,D,B,B,2021
2678,이엔플러스,D,D,C,D,2022
2679,이엔플러스,D,C,D,D,2023
2680,이연제약,C,D,B,B,2020
2681,이연제약,B,D,B,B+,2021
2682,이연제약,C,D,D,B+,2022
2683,이연제약,C,D,D,B+,2023
2684,이월드,C,D,C,B,2020
2685,이월드,C,D,C,B,2021
2686,이월드,D,D,C,D,2022
2687,이월드,D,D,D,D,2023
2688,이화산업,C,C,C,C,2020
2689,이화산업,C,D,C,B,2021
2690,이화산업,D,D,D,D,2022
2691,이화산업,C,C,D,C,2023
2692,인디에프,C,D,B,B,2020
2693,인디에프,C,D,B,B,2021
2694,인디에프,D,D,D,C,2022
2695,인디에프,D,D,D,C,2023
2696,인바이오젠,C,D,B,C,2020
2697,인바이오젠,C,D,C,C,2021
2698,인바이오젠,D,D,D,D,2022
2699,인바이오젠,D,D,D,D,2023
2700,인스코비,C,B,C,C,2020
2701,인스코비,C,D,C,B,2021
2702,인스코비,D,D,D,D,2022
2703,인스코비,D,D,D,D,2023
2704,인지컨트롤스,C,C,B,C,2020
2705,인지컨트롤스,C,D,C,B,2021
2706,인지컨트롤스,D,D,C,D,2022
2707,인지컨트롤스,C,C,C,C,2023
2708,인천도시가스,B,C,B,B+,2020
2709,인천도시가스,C,D,C,B,2021
2710,인천도시가스,C,D,B,B,2022
2711,인천도시가스,B,D,B,B+,2023
2712,인터지스,B+,B,B,B+,2020
2713,인터지스,B,B,C,B+,2021
2714,인터지스,C,C,B,C,2022
2715,인터지스,C,C,C,C,2023
2716,인터지스,C,C,C,C,2024
2717,인팩,C,C,C,B,2020
2718,인팩,C,D,C,B+,2021
2719,인팩,C,D,C,B,2022
2720,인팩,C,C,C,B,2023
2721,인팩,C,C,C,B,2024
2722,일동제약,A,B+,A+,B+,2020
2723,일동제약,A,B+,A,A,2021
2724,일동제약,B,C,A+,B,2022
2725,일동제약,B+,B+,A+,B,2023
2726,일동제약,B+,B+,A+,B,2024
2727,일동홀딩스,B+,B,A,B+,2020
2728,일동홀딩스,A,B+,A,A,2021
2729,일동홀딩스,B+,C,A+,B+,2022
2730,일동홀딩스,A,B+,A+,B+,2023
2731,일동홀딩스,A,B+,A+,B+,2024
2732,일성건설,B,B,B,B,2020
2733,일성건설,B,B,C,B+,2021
2734,일성건설,D,D,D,C,2022
2735,일성건설,D,C,D,D,2023
2736,일성건설,D,C,D,D,2024
2737,일성아이에스,C,D,B,B,2020
2738,일성아이에스,C,D,C,B+,2021
2739,일성아이에스,D,D,D,D,2022
2740,일성아이에스,C,D,C,B,2023
2741,일성아이에스,C,D,C,B,2024
2742,일신방직,B,B,B,B,2020
2743,일신방직,B+,B,B,A,2021
2744,일신방직,D,C,C,D,2022
2745,일신방직,D,C,C,D,2023
2746,일신방직,D,C,C,D,2024
2747,일신석재,C,D,C,B,2020
2748,일신석재,C,D,C,B,2021
2749,일신석재,D,D,D,C,2022
2750,일신석재,D,D,D,C,2023
2751,일신석재,D,D,D,C,2024
2752,일양약품,B,D,B,B+,2020
2753,일양약품,C,D,C,B+,2021
2754,일양약품,C,D,C,B+,2022
2755,일양약품,C,D,C,B+,2023
2756,일양약품,C,D,C,B+,2024
2757,일정실업,C,C,C,C,2020
2758,일정실업,C,C,C,C,2021
2759,일정실업,D,D,D,C,2022
2760,일정실업,D,D,D,C,2023
2761,일정실업,D,D,D,C,2024
2762,일진다이아,C,C,B,B,2020
2763,일진다이아,C,D,C,B,2021
2764,일진다이아,D,D,D,C,2022
2765,일진다이아,D,D,D,C,2023
2766,일진다이아,D,D,D,C,2024
2767,일진디스플,B,B,B,B,2020
2768,일진디스플,B,B,B,B,2021
2769,일진디스플,D,D,D,C,2022
2770,일진디스플,C,C,D,C,2023
2771,일진디스플,C,C,D,C,2024
2772,일진전기,C,C,B,C,2020
2773,일진전기,C,C,C,B,2021
2774,일진전기,D,D,C,D,2022
2775,일진전기,D,C,C,D,2023
2776,일진전기,D,C,C,D,2024
2777,일진하이솔루스,NAN,NAN,NAN,NAN,2022
2778,일진하이솔루스,C,C,B,C,2023
2779,일진하이솔루스,C,C,B,C,2024
2780,일진홀딩스,B,C,B,B,2020
2781,일진홀딩스,C,C,C,B,2021
2782,일진홀딩스,C,D,C,B,2022
2783,일진홀딩스,B,D,C,B+,2023
2784,일진홀딩스,B,D,C,B+,2024
2785,잇츠한불,B,C,B,B,2020
2786,잇츠한불,B+,B+,B,B+,2021
2787,잇츠한불,C,D,C,B,2022
2788,잇츠한불,C,C,C,B,2023
2789,잇츠한불,C,C,C,B,2024
2790,자이에스앤디,B,C,B,B+,2021
2791,자이에스앤디,B,C,B+,B+,2022
2792,자이에스앤디,C,C,B,B,2023
2793,자이에스앤디,C,C,B,B,2024
2794,자화전자,B,B,B+,B,2020
2795,자화전자,C,C,C,B+,2021
2796,자화전자,D,D,C,C,2022
2797,자화전자,D,C,C,D,2023
2798,자화전자,D,C,C,D,2024
2799,전방,C,C,B+,C,2020
2800,전방,C,C,B,B,2021
2801,전방,D,C,C,D,2022
2802,전방,D,C,C,D,2023
2803,전방,D,C,C,D,2024
2804,제이에스코퍼레이션,C,D,C,B+,2020
2805,제이에스코퍼레이션,C,D,C,B+,2021
2806,제이에스코퍼레이션,C,D,D,B,2022
2807,제이에스코퍼레이션,D,D,D,C,2023
2808,제이에스코퍼레이션,D,D,D,C,2024
2809,제이준코스메틱,C,D,C,B,2020
2810,제이준코스메틱,C,D,C,B,2021
2811,제이준코스메틱,D,D,D,C,2022
2812,제이준코스메틱,D,D,D,D,2023
2813,제이준코스메틱,D,D,D,D,2024
2814,제일기획,B+,D,A,B+,2020
2815,제일기획,B+,C,A,B+,2021
2816,제일기획,A,B+,A,A,2022
2817,제일기획,A,A,A+,A,2023
2818,제일기획,A,A,A+,A,2024
2819,제일약품,C,D,B,B,2020
2820,제일약품,C,D,B,B,2021
2821,제일약품,D,D,D,D,2022
2822,제일약품,C,C,B+,D,2023
2823,제일약품,C,C,B+,D,2024
2824,제일연마,C,C,C,B,2020
2825,제일연마,C,C,C,B+,2021
2826,제일연마,C,D,D,B+,2022
2827,제일연마,C,C,D,B,2023
2828,제일연마,C,C,D,B,2024
2829,제일파마홀딩스,B,D,B,B,2020
2830,제일파마홀딩스,B,D,B,B,2021
2831,제일파마홀딩스,D,D,D,D,2022
2832,제일파마홀딩스,C,C,B+,D,2023
2833,제일파마홀딩스,C,C,B+,D,2024
2834,제주은행,B+,C,A,A,2020
2835,제주은행,A,B,A+,A,2021
2836,제주은행,B+,A,A,B+,2022
2837,제주은행,B+,B+,A,B+,2023
2838,제주은행,B+,B+,A,B+,2024
2839,제주항공,B,C,B+,B+,2020
2840,제주항공,B+,B,B+,B+,2021
2841,제주항공,B,C,B+,B+,2022
2842,제주항공,A,A,A+,B+,2023
2843,제주항공,A,A,A+,B+,2024
2844,조광페인트,C,C,B,B,2020
2845,조광페인트,B,B,B+,B,2021
2846,조광페인트,C,C,C,C,2022
2847,조광페인트,C,C,B,C,2023
2848,조광페인트,C,C,B,C,2024
2849,조광피혁,C,D,C,B,2020
2850,조광피혁,C,D,C,B,2021
2851,조광피혁,C,D,D,B,2022
2852,조광피혁,C,D,D,B,2023
2853,조광피혁,C,D,D,B,2024
2854,조비,C,D,B,B,2020
2855,조비,C,D,C,B,2021
2856,조비,D,D,D,D,2022
2857,조비,D,D,D,D,2023
2858,조비,D,D,D,D,2024
2859,조선선재,C,D,C,B+,2020
2860,조선선재,C,D,C,B+,2021
2861,조선선재,D,D,D,C,2022
2862,조선선재,D,D,D,D,2023
2863,조선선재,D,D,D,D,2024
2864,조일알미늄,B,B,C,B,2020
2865,조일알미늄,B,B,C,B+,2021
2866,조일알미늄,C,C,C,B,2022
2867,조일알미늄,C,C,C,B,2023
2868,조일알미늄,C,C,C,B,2024
2869,조흥,B,B,C,B,2020
2870,조흥,C,D,C,B,2021
2871,조흥,C,C,C,C,2022
2872,조흥,C,C,B,C,2023
2873,조흥,C,C,B,C,2024
2874,종근당,B,C,B+,B+,2020
2875,종근당,A,A,A+,B+,2021
2876,종근당,B+,B+,A,B,2022
2877,종근당,B+,A,A,B,2023
2878,종근당,B+,A,A,B,2024
2879,종근당바이오,C,B,C,C,2020
2880,종근당바이오,B+,B+,A,B+,2021
2881,종근당바이오,B+,B,A,B,2022
2882,종근당바이오,B+,A,A,B,2023
2883,종근당바이오,B+,A,A,B,2024
2884,종근당홀딩스,C,C,B+,C,2020
2885,종근당홀딩스,B+,B+,A,B+,2021
2886,종근당홀딩스,B+,B+,A,B,2022
2887,종근당홀딩스,B+,A,A,B+,2023
2888,종근당홀딩스,B+,A,A,B+,2024
2889,주성코퍼레이션,D,C,C,D,2020
2890,주성코퍼레이션,B,B,C,B,2021
2891,주성코퍼레이션,D,D,D,C,2022
2892,주성코퍼레이션,D,C,D,D,2023
2893,주성코퍼레이션,D,C,D,D,2024
2894,주연테크,C,C,B,C,2020
2895,주연테크,C,C,C,C,2021
2896,주연테크,D,D,D,D,2022
2897,주연테크,D,D,D,D,2023
2898,주연테크,D,D,D,D,2024
2899,지누스,C,D,C,B+,2021
2900,지누스,B+,B,B+,A,2022
2901,지누스,A,A,A,A,2023
2902,지누스,A,A,A,A,2024
2903,지엠비코리아,C,C,B,C,2020
2904,지엠비코리아,C,C,C,B,2021
2905,지엠비코리아,D,D,C,D,2022
2906,지엠비코리아,D,D,C,D,2023
2907,지엠비코리아,D,D,C,D,2024
2908,지역난방공사,A,B+,A+,B+,2020
2909,지역난방공사,A,B+,A+,A,2021
2910,지역난방공사,A+,A,A+,A+,2022
2911,지역난방공사,A+,A+,A+,A,2023
2912,지역난방공사,A+,A+,A+,A,2024
2913,진도,B,D,B,B,2020
2914,진도,D,D,D,C,2021
2915,진도,D,D,D,C,2022
2916,진도,D,D,D,D,2023
2917,진도,D,D,D,D,2024
2918,진양산업,D,D,C,C,2020
2919,진양산업,D,D,C,C,2021
2920,진양산업,D,D,D,D,2022
2921,진양산업,C,D,D,B,2023
2922,진양산업,C,D,D,B,2024
2923,진양폴리우레탄,C,D,C,B,2020
2924,진양폴리우레탄,C,D,C,B+,2021
2925,진양폴리우레탄,D,D,D,C,2022
2926,진양폴리우레탄,D,D,D,C,2023
2927,진양폴리우레탄,D,D,D,C,2024
2928,진양홀딩스,C,D,C,C,2020
2929,진양홀딩스,C,D,C,B,2021
2930,진양홀딩스,D,D,D,D,2022
2931,진양홀딩스,C,D,D,B,2023
2932,진양홀딩스,C,D,D,B,2024
2933,진양화학,D,D,C,C,2020
2934,진양화학,C,D,C,B,2021
2935,진양화학,D,D,D,C,2022
2936,진양화학,C,C,D,C,2023
2937,진양화학,C,C,D,C,2024
2938,진에어,B+,C,B+,A,2020
2939,진에어,B+,C,A,A,2021
2940,진에어,B+,B,B+,A,2022
2941,진에어,A,A,A,A,2023
2942,진에어,A,A,A,A,2024
2943,진원생명과학,C,D,C,B,2020
2944,진원생명과학,C,D,C,B+,2021
2945,진원생명과학,D,D,D,D,2022
2946,진원생명과학,D,D,C,D,2023
2947,진원생명과학,D,D,C,D,2024
2948,진흥기업,C,C,B,B,2020
2949,진흥기업,C,C,C,B+,2021
2950,진흥기업,C,D,C,B,2022
2951,진흥기업,C,C,C,B,2023
2952,진흥기업,C,C,C,B,2024
2953,참엔지니어링,B,B,B,B,2020
2954,참엔지니어링,B,D,B,B+,2021
2955,참엔지니어링,C,D,C,B,2022
2956,참엔지니어링,D,D,D,D,2023
2957,참엔지니어링,D,D,D,D,2024
2958,천일고속,B,C,B,B+,2020
2959,천일고속,B,C,C,B+,2021
2960,천일고속,D,D,D,D,2022
2961,천일고속,D,C,D,D,2023
2962,천일고속,D,C,D,D,2024
2963,청호ICT,C,B,C,C,2020
2964,청호ICT,D,D,C,D,2021
2965,청호ICT,D,D,D,D,2022
2966,청호ICT,D,D,D,D,2023
2967,청호ICT,D,D,D,D,2024
2968,체시스,C,C,B,C,2020
2969,체시스,C,D,B,B,2021
2970,체시스,D,D,D,C,2022
2971,체시스,D,C,D,D,2023
2972,체시스,D,C,D,D,2024
2973,카카오,B+,C,A+,A,2020
2974,카카오,A,A,A+,A,2021
2975,카카오,A,A,A,A,2022
2976,카카오,A,A+,A+,B+,2023
2977,카카오,A,A+,A+,B+,2024
2978,카카오뱅크,NAN,NAN,NAN,NAN,2021
2979,카카오뱅크,NAN,NAN,NAN,NAN,2022
2980,카카오뱅크,B+,B+,A,B+,2023
2981,카카오뱅크,B+,B+,A,B+,2024
2982,카카오페이,NAN,NAN,NAN,NAN,2022
2983,카카오페이,A,A,A+,A,2023
2984,카카오페이,A,A,A+,A,2024
2985,카프로,B+,B+,B,B+,2020
2986,카프로,B,B,C,B+,2021
2987,카프로,C,C,D,C,2022
2988,카프로,C,C,C,C,2023
2989,카프로,C,C,C,C,2024
2990,케이비아이동국실업,C,B,B,C,2020
2991,케이비아이동국실업,C,C,C,C,2021
2992,케이비아이동국실업,D,D,D,D,2022
2993,케이비아이동국실업,D,D,D,D,2023
2994,케이비아이동국실업,D,D,D,D,2024
2995,케이씨,B+,B,B,B+,2020
2996,케이씨,B,B,C,B+,2021
2997,케이씨,C,D,B,C,2022
2998,케이씨,C,C,A,D,2023
2999,케이씨,C,C,A,D,2024
3000,케이씨씨,B,B+,A,C,2020
3001,케이씨씨,B+,B+,A+,B,2021
3002,케이씨씨,A,B+,A,A,2022
3003,케이씨씨,A,A,A,B+,2023
3004,케이씨씨,A,A,A,B+,2024
3005,케이씨씨글라스,NAN,NAN,NAN,NAN,2021
3006,케이씨씨글라스,B+,B+,A,B+,2022
3007,케이씨씨글라스,A,A,A+,A,2023
3008,케이씨씨글라스,A,A,A+,A,2024
3009,케이씨텍,B,B,B,B,2020
3010,케이씨텍,B,B,B,B,2021
3011,케이씨텍,C,D,C,B,2022
3012,케이씨텍,B,C,B,B,2023
3013,케이씨텍,B,C,B,B,2024
3014,케이씨티시,B,B,B,B,2020
3015,케이씨티시,B,B,C,B,2021
3016,케이씨티시,D,D,C,D,2022
3017,케이씨티시,D,C,C,D,2023
3018,케이씨티시,D,C,C,D,2024
3019,케이카,NAN,NAN,NAN,NAN,2022
3020,케이카,B,C,B,B,2023
3021,케이카,B,C,B,B,2024
3022,케이탑리츠,D,D,D,D,2023
3023,케이탑리츠,D,D,D,D,2024
3024,케이티,A+,A,A,A+,2020
3025,케이티,A+,A+,B+,A+,2021
3026,케이티,A,A,B+,A,2022
3027,케이티,A,B+,A,A,2023
3028,케이티,A,B+,A,A,2024
3029,케이티스카이라이프,B+,C,B+,B+,2020
3030,케이티스카이라이프,A,B,A,A,2021
3031,케이티스카이라이프,A,B,A+,A,2022
3032,케이티스카이라이프,B+,B+,A,B+,2023
3033,케이티스카이라이프,B+,B+,A,B+,2024
3034,케이티앤지,A,B+,A+,A,2020
3035,케이티앤지,A,A,A+,A,2021
3036,케이티앤지,A,A,A+,A,2022
3037,케이티앤지,A+,A+,A+,A+,2023
3038,케이티앤지,A+,A+,A+,A+,2024
3039,코리아써키트,C,B+,B,C,2020
3040,코리아써키트,B,B+,C,B+,2021
3041,코리아써키트,D,C,D,D,2022
3042,코리아써키트,D,C,C,D,2023
3043,코리아써키트,D,C,C,D,2024
3044,코리안리,B,D,B,B+,2020
3045,코리안리,B+,B,B+,A,2021
3046,코리안리,B+,C,B+,B+,2022
3047,코리안리,A,A,A,A,2023
3048,코리안리,A,A,A,A,2024
3049,코스맥스,B+,B+,B+,B,2020
3050,코스맥스,A,A,A,B+,2021
3051,코스맥스,B,B+,A,C,2022
3052,코스맥스,B,A,A,D,2023
3053,코스맥스,B,A,A,D,2024
3054,코스맥스비티아이,B,B,B,B,2020
3055,코스맥스비티아이,B+,A,A,B+,2021
3056,코스맥스비티아이,B+,B+,A,B,2022
3057,코스맥스비티아이,B,A,A,C,2023
3058,코스맥스비티아이,B,A,A,C,2024
3059,코스모신소재,B+,B+,B,B+,2020
3060,코스모신소재,B,B,C,B,2021
3061,코스모신소재,D,C,C,D,2022
3062,코스모신소재,C,C,C,C,2023
3063,코스모신소재,C,C,C,C,2024
3064,코스모화학,C,B,C,D,2020
3065,코스모화학,B,B,C,B,2021
3066,코스모화학,D,C,D,D,2022
3067,코스모화학,D,C,C,D,2023
3068,코스모화학,D,C,C,D,2024
3069,코아스,B+,B,B,B+,2020
3070,코아스,B,C,C,B+,2021
3071,코아스,C,D,D,B+,2022
3072,코아스,B,C,C,B+,2023
3073,코아스,B,C,C,B+,2024
3074,코오롱,B,C,B+,B,2020
3075,코오롱,B,B,B+,B,2021
3076,코오롱,C,C,A,C,2022
3077,코오롱,B+,B+,A,B,2023
3078,코오롱,B+,B+,A,B,2024
3079,코오롱ENP,B+,B,B+,B+,2020
3080,코오롱ENP,B+,B,B+,B+,2021
3081,코오롱ENP,B,C,B,B+,2022
3082,코오롱ENP,B,C,B,B+,2023
3083,코오롱ENP,B,C,B,B+,2024
3084,코오롱글로벌,B,C,B,B+,2020
3085,코오롱글로벌,B,C,B,B+,2021
3086,코오롱글로벌,C,D,C,B+,2022
3087,코오롱글로벌,C,B,B+,C,2023
3088,코오롱글로벌,C,B,B+,C,2024
3089,코오롱인더,B+,B+,B+,B+,2020
3090,코오롱인더,A,B+,A,A,2021
3091,코오롱인더,B+,B,A,A,2022
3092,코오롱인더,B+,B+,A+,B,2023
3093,코오롱인더,B+,B+,A+,B,2024
3094,코웨이,A,A,A+,B+,2020
3095,코웨이,A,A,A+,B+,2021
3096,코웨이,B+,A,A,B,2022
3097,코웨이,A,A,A+,B+,2023
3098,코웨이,A,A,A+,B+,2024
3099,콘텐트리중앙,B,D,B,B,2020
3100,콘텐트리중앙,C,D,B,C,2021
3101,콘텐트리중앙,D,D,C,D,2022
3102,콘텐트리중앙,D,D,D,D,2023
3103,콘텐트리중앙,D,D,D,D,2024
3104,콜마홀딩스,B,B,B,B,2020
3105,콜마홀딩스,B+,B,B+,A,2021
3106,콜마홀딩스,B+,B+,B+,B+,2022
3107,콜마홀딩스,A,A,A+,A,2023
3108,콜마홀딩스,A,A,A+,A,2024
3109,콤텍시스템,C,D,B,C,2020
3110,콤텍시스템,C,D,B,C,2021
3111,콤텍시스템,D,D,D,D,2022
3112,콤텍시스템,D,D,D,D,2023
3113,콤텍시스템,D,D,D,D,2024
3114,쿠쿠홀딩스,B,D,B,B+,2020
3115,쿠쿠홀딩스,B,D,C,B+,2021
3116,쿠쿠홀딩스,C,D,D,B,2022
3117,쿠쿠홀딩스,D,D,C,D,2023
3118,쿠쿠홀딩스,D,D,C,D,2024
3119,쿠쿠홈시스,C,D,C,C,2020
3120,쿠쿠홈시스,B,D,C,B+,2021
3121,쿠쿠홈시스,C,D,D,B,2022
3122,쿠쿠홈시스,D,D,C,D,2023
3123,쿠쿠홈시스,D,D,C,D,2024
3124,크라운제과,B,D,B+,B,2020
3125,크라운제과,B,C,B+,B+,2021
3126,크라운제과,C,C,B,C,2022
3127,크라운제과,C,C,B,C,2023
3128,크라운제과,C,C,B,C,2024
3129,크라운해태홀딩스,B,D,B+,B,2020
3130,크라운해태홀딩스,B,C,B+,B,2021
3131,크라운해태홀딩스,C,C,B,C,2022
3132,크라운해태홀딩스,D,C,C,D,2023
3133,크라운해태홀딩스,D,C,C,D,2024
3134,크래프톤,NAN,NAN,NAN,NAN,2021
3135,크래프톤,NAN,NAN,NAN,NAN,2022
3136,크래프톤,B+,C,A,A,2023
3137,크래프톤,B+,C,A,A,2024
3138,키다리스튜디오,B,B,B,B,2020
3139,키다리스튜디오,B,D,B,B,2021
3140,키다리스튜디오,D,D,D,C,2022
3141,키다리스튜디오,D,D,D,D,2023
3142,키다리스튜디오,D,D,D,D,2024
3143,키움증권,B,D,B+,B+,2020
3144,키움증권,B,C,A,B,2021
3145,키움증권,B,B,C,B,2022
3146,키움증권,B+,B,A,B,2023
3147,키움증권,B+,B,A,B,2024
3148,태경비케이,C,C,B,B,2020
3149,태경비케이,C,C,B,B,2021
3150,태경비케이,D,C,C,D,2022
3151,태경비케이,C,C,C,C,2023
3152,태경비케이,C,C,C,C,2024
3153,태경산업,B,B,B,B,2020
3154,태경산업,B,C,B,B+,2021
3155,태경산업,C,C,C,C,2022
3156,태경산업,C,C,C,C,2023
3157,태경산업,C,C,C,C,2024
3158,태경케미컬,D,D,C,C,2020
3159,태경케미컬,C,D,B,B,2021
3160,태경케미컬,D,D,C,D,2022
3161,태경케미컬,D,D,D,D,2023
3162,태경케미컬,D,D,D,D,2024
3163,태광산업,C,B,B+,D,2020
3164,태광산업,B+,B,A,B+,2021
3165,태광산업,D,D,C,C,2022
3166,태광산업,C,C,C,C,2023
3167,태광산업,C,C,C,C,2024
3168,태림포장,C,B,C,C,2020
3169,태림포장,C,B,C,C,2021
3170,태림포장,C,C,B+,C,2022
3171,태림포장,B,A,A,D,2023
3172,태림포장,B,A,A,D,2024
3173,태양금속공업,B,B+,B,B,2020
3174,태양금속공업,B,B,C,B,2021
3175,태양금속공업,D,D,D,D,2022
3176,태양금속공업,D,C,C,D,2023
3177,태양금속공업,D,C,C,D,2024
3178,태영건설,B,B,B,B+,2020
3179,태영건설,B+,A,B,B+,2021
3180,태영건설,B+,B+,B,B+,2022
3181,태영건설,A,A,A,B+,2023
3182,태영건설,A,A,A,B+,2024
3183,태원물산,B,B,C,B,2020
3184,태원물산,C,C,C,B,2021
3185,태원물산,D,D,D,D,2022
3186,태원물산,D,D,D,D,2023
3187,태원물산,D,D,D,D,2024
3188,테이팩스,B+,B+,B+,B,2020
3189,테이팩스,B+,B+,B+,B+,2021
3190,테이팩스,B+,B,A,B,2022
3191,테이팩스,A,A,A,B+,2023
3192,테이팩스,A,A,A,B+,2024
3193,텔코웨어,B,D,B,B,2020
3194,텔코웨어,C,D,C,B,2021
3195,텔코웨어,D,D,D,C,2022
3196,텔코웨어,C,D,D,B,2023
3197,텔코웨어,C,D,D,B,2024
3198,토니모리,C,D,C,B+,2020
3199,토니모리,C,D,C,B+,2021
3200,토니모리,C,D,D,B+,2022
3201,토니모리,C,D,D,B,2023
3202,토니모리,C,D,D,B,2024
3203,티비에이치글로벌,B,C,B,B+,2020
3204,티비에이치글로벌,B,D,B+,B+,2021
3205,티비에이치글로벌,D,D,D,C,2022
3206,티비에이치글로벌,D,D,D,C,2023
3207,티비에이치글로벌,D,D,D,C,2024
