종목명,변동성,회사명,종합등급_수치
대원제약,0.1730908470640934,대원제약,2.2
대원화성,0.2296400734281134,대원화성,1.0
대창,0.1907318369195892,대창,0.4
대창단조,0.3301591820812627,대창단조,1.4
대한방직,0.2453130623117424,대한방직,1.0
대한유화,0.3644149773756887,대한유화,2.2
대한제강,0.3008437902056365,대한제강,1.2
대한제당,0.2834830762025094,대한제당,1.0
대한제분,0.1162030903934883,대한제분,0.8
대한항공,0.1360347747232724,대한항공,3.8
대한해운,0.229141275511235,대한해운,1.2
대한화섬,0.119359351007429,대한화섬,1.8
대현,0.142830694387078,대현,1.2
대호에이엘,0.3282880506531991,대호에이엘,1.0
더블유게임즈,0.1738481126337052,더블유게임즈,1.8
더존비즈온,0.2267514904106524,더존비즈온,1.2
덴티움,0.2594003467171587,덴티움,0.6
도화엔지니어링,0.132698637163749,도화엔지니어링,2.0
동남합성,0.1451192838958122,동남합성,0.6
동방아그로,0.0671846440805823,동방아그로,0.8
동부건설,0.1280746139178411,동부건설,1.8
동서,0.2008539787271865,동서,0.6
동성제약,0.0874623877801889,동성제약,0.8
동아쏘시오홀딩스,0.1166592798417839,동아쏘시오홀딩스,4.0
동아에스티,0.1334164532424113,동아에스티,3.8
동아지질,0.1386633414113354,동아지질,0.4
동양,0.1198655855889961,동양,0.6
동양고속,0.0974872080790082,동양고속,1.0
동양생명,0.1749116282665476,동양생명,2.4
동양철관,0.1509994522121922,동양철관,0.6
동양피스톤,0.1529623689578555,동양피스톤,1.4
동원F&B,0.2146607602202481,동원F&B,2.2
동원금속,0.2765111117293371,동원금속,1.0
동원산업,0.2245696804161674,동원산업,2.0
동원수산,0.1058364430696195,동원수산,0.4
동원시스템즈,0.2057960414298157,동원시스템즈,1.8
동일고무벨트,0.2460639117389608,동일고무벨트,3.0
동일산업,0.2270634435462159,동일산업,1.4
동일제강,0.2229256770201278,동일제강,0.6
동화약품,0.3156761613310116,동화약품,1.4
두산,0.366100165706664,두산,3.8
두산밥캣,0.1988388162667088,두산밥캣,3.4
두올,0.2476955051127348,두올,1.0
디씨엠,0.2164285810022407,디씨엠,1.0
디아이,0.3686401052620816,디아이,0.8
디아이씨,0.3729028299524933,디아이씨,0.6
디와이,0.1646967173221819,디와이,1.2
디와이파워,0.1458289479351596,디와이파워,1.2
락앤락,0.1496051577769594,락앤락,1.6
롯데관광개발,0.2182943739535767,롯데관광개발,0.6
롯데손해보험,0.1419346374475616,롯데손해보험,3.2
롯데쇼핑,0.1306930048156368,롯데쇼핑,4.0
롯데정밀화학,0.140856689093703,롯데정밀화학,4.2
롯데지주,0.1482957623874452,롯데지주,3.8
롯데케미칼,0.1831880981228746,롯데케미칼,3.6
롯데하이마트,0.1446687288567197,롯데하이마트,4.0
만호제강,0.1748663691406822,만호제강,0.8
메리츠금융지주,0.2184788965335792,메리츠금융지주,3.0
명문제약,0.1853177406794228,명문제약,0.8
모나리자,0.1752323080817038,모나리자,2.2
모나미,0.2223063005505714,모나미,0.4
모토닉,0.162524106010679,모토닉,1.6
무림P&P,0.1766795520669473,무림P&P,3.4
무림페이퍼,0.1011019821733805,무림페이퍼,3.0
무학,0.161104869435903,무학,1.0
문배철강,0.1968432370613471,문배철강,0.4
미래에셋생명,0.1504717888453222,미래에셋생명,2.8
미원상사,0.1691289227520081,미원상사,1.0
미원에스씨,0.1495150505087105,미원에스씨,1.2
미원홀딩스,0.1935373842955589,미원홀딩스,1.0
미원화학,0.082316523926163,미원화학,1.0
방림,0.2770541026153896,방림,1.0
백광산업,0.2880353956579757,백광산업,0.6
백산,0.2213763357576092,백산,0.6
벽산,0.2795860298179718,벽산,1.4
보락,0.1144869117098519,보락,0.4
보해양조,0.0989956501827245,보해양조,0.6
부광약품,0.3122534739620531,부광약품,1.8
부국증권,0.0852798719559423,부국증권,1.2
부국철강,0.1570316681692894,부국철강,0.2
부산산업,0.1311875371742935,부산산업,0.4
비상교육,0.2082406266819642,비상교육,2.0
빙그레,0.1744493937464602,빙그레,4.0
사조대림,0.2263108196023557,사조대림,2.2
사조동아원,0.2244541472872466,사조동아원,1.4
사조산업,0.2510895119709818,사조산업,1.6
사조씨푸드,0.2122125140951891,사조씨푸드,1.6
사조오양,0.1179340294638642,사조오양,1.2
삼성SDI,0.1860916175855809,삼성SDI,4.2
삼성공조,0.324825198100536,삼성공조,0.8
삼성물산,0.1286041431522606,삼성물산,4.2
