종목명,변동성
AJ네트웍스,0.1840329594636561
AK홀딩스,0.18039621221011043
BGF,0.1290444390171819
BGF리테일,0.14428276983955812
BNK금융지주,0.11680620314874167
BYC,0.27222330418251955
CJ,0.1638730962698485
CJ CGV,0.19396184172979208
CJ대한통운,0.14969909329032052
CJ씨푸드,0.22918684471004344
CJ제일제당,0.1510916108250582
CS홀딩스,0.1063154282672782
DB,0.23192775081561817
DB금융투자,0.12871116464116075
DB손해보험,0.10314626749378224
DB하이텍,0.2123045153524759
DGB금융지주,0.13095493823416118
DRB동일,0.20965360452460044
DSR,0.16498798716908358
DSR제강,0.16583519749022543
E1,0.13741205932488323
GKL,0.16125653972202988
GS,0.11465084600925932
GS건설,0.17246499825459993
GS글로벌,0.24127118849524945
GS리테일,0.10570935743220336
HDC,0.1691132321045993
HDC현대EP,0.14103710107244335
HDC현대산업개발,0.2566125634520499
JB금융지주,0.14836138152642483
JW생명과학,0.09136263413262893
JW중외제약,0.26242556678520906
JW홀딩스,0.1321742750668431
KB금융,0.13964096656205668
KC그린홀딩스,0.24847263737457562
KC코트렐,0.39867562320913585
KEC,0.3626828633061516
KG케미칼,0.277917180579355
KISCO홀딩스,0.17989001019827958
KPX케미칼,0.07380083994038199
KPX홀딩스,0.152955807282388
KR모터스,0.2678156623903002
KSS해운,0.09736381971935884
KTcs,0.34158324673392676
KTis,0.22217698981148323
LF,0.12539949016824758
LG,0.12471655966455047
LG디스플레이,0.17481158988338893
LG생활건강,0.151506717206169
SK,0.12985233709580174
SKC,0.25742813593087527
SK가스,0.1211470199841754
SK네트웍스,0.17048767356236352
SK디스커버리,0.4043231041510712
SK디앤디,0.23888138342578388
SK이노베이션,0.16987525202082127
SK증권,0.11184732909920134
SK케미칼,0.8561469294648152
SK텔레콤,0.21723715728501874
SK하이닉스,0.17941580678793298
SPC삼립,0.1421873992415277
STX,0.9689831134078293
STX엔진,0.36964453285944066
TCC스틸,0.49783491666465235
WISCOM,0.14219830049096432
YG PLUS,0.4549376108362003
가온전선,0.314599101808452
강남제비스코,0.12848584445528113
강원랜드,0.12492113994865943
갤럭시아에스엠,0.2219771168855039
경농,0.1608866762562721
경동나비엔,0.1548249778618663
경동도시가스,0.14611249576258756
경동인베스트,0.562574463638681
경방,0.16368015512231052
경보제약,0.17608897906640486
경인양행,0.08973863865056252
경인전자,0.12592533246867216
계양전기,0.11796093670292271
고려산업,0.34683205391378547
고려아연,0.3760529220712495
고려제강,0.20570348159694699
광동제약,0.1357948934918467
광명전기,0.20138734760932536
광전자,0.12920225461373525
광주신세계,0.2083213363996675
교보증권,0.09769132604795552
국도화학,0.16867910027957508
국보,2.5378532050022713
국제약품,0.2824965915720808
그린케미칼,0.3256124909543482
극동유화,0.1913848729022348
금강공업,0.19193959996410673
금비,0.2022066062119922
금양,0.6350269656789731
금호에이치티,0.11701265595352374
금호전기,0.20473680102267522
금호타이어,0.20834200389325486
기신정기,0.1365649807138505
기업은행,0.11415562988419728
까뮤이앤씨,0.24957836941604816
깨끗한나라,0.2241823993826556
남광토건,0.16374940298296314
남선알미늄,0.21859203579995526
남성,0.22771940243855063
남양유업,0.36254325184167296
남해화학,0.10621969880149788
넥센,0.07644828155852192
넥센타이어,0.14087029158701556
넷마블,0.22795807368680862
노루페인트,0.14849715913952652
노루홀딩스,0.09942987030090986
녹십자,0.27940195419474356
녹십자홀딩스,0.15125824202665017
농심,0.14544942036866126
농심홀딩스,0.0602510730082353
다스코,0.1701862533010622
다우기술,0.11923256958890836
대교,0.11140431239602763
대구백화점,0.26274885482391613
대동전자,0.445998074379404
대림통상,0.11592782800817812
대상,0.12364137221401451
대상홀딩스,0.21157801267808363
대성산업,0.20882063095102724
대성에너지,0.3423146716553643
대성홀딩스,0.32430257024012776
대신증권,0.1267546567432418
대양금속,0.27532542488947914
대영포장,0.2297770251737499
대우건설,0.2239895597193699
대웅,0.35139269019809416
대웅제약,0.15288583716289492
대원강업,0.168304194721985
대원전선,0.4874867932401381
대원제약,0.1730908470640934
대원화성,0.2296400734281134
대유에이텍,0.61016913398248
대유플러스,1.6805263445876342
대창,0.19073183691958928
대창단조,0.33015918208126277
대한방직,0.2453130623117424
대한유화,0.36441497737568873
대한전선,2.0292284494025363
대한제강,0.3008437902056365
대한제당,0.2834830762025094
대한제분,0.11620309039348833
대한항공,0.1360347747232724
대한해운,0.22914127551123503
대한화섬,0.11935935100742909
대현,0.14283069438707807
대호에이엘,0.3282880506531991
더블유게임즈,0.17384811263370525
더존비즈온,0.2267514904106524
덕성,0.6866961145181154
덕양산업,0.6984993193064574
덴티움,0.2594003467171587
도화엔지니어링,0.13269863716374908
동남합성,0.14511928389581225
동방,0.8472376383892706
동방아그로,0.06718464408058235
동부건설,0.12807461391784117
동서,0.2008539787271865
동성제약,0.08746238778018894
동아쏘시오홀딩스,0.11665927984178394
동아에스티,0.1334164532424113
동아지질,0.13866334141133543
동양,0.11986558558899613
동양고속,0.09748720807900825
동양생명,0.17491162826654763
동양철관,0.1509994522121922
동양피스톤,0.15296236895785556
동원F&B,0.21466076022024813
동원금속,0.2765111117293371
동원산업,0.22456968041616743
동원수산,0.10583644306961953
동원시스템즈,0.20579604142981578
동일고무벨트,0.2460639117389608
동일산업,0.22706344354621597
동일제강,0.22292567702012783
동화약품,0.3156761613310116
두산,0.36610016570666404
두산밥캣,0.19883881626670888
두올,0.24769550511273486
디씨엠,0.2164285810022407
디아이,0.3686401052620816
디아이씨,0.37290282995249335
디와이,0.16469671732218194
디와이파워,0.14582894793515963
락앤락,0.14960515777695946
롯데관광개발,0.21829437395357673
롯데손해보험,0.14193463744756166
롯데쇼핑,0.13069300481563687
롯데정밀화학,0.140856689093703
롯데지주,0.14829576238744524
롯데케미칼,0.18318809812287462
롯데하이마트,0.14466872885671972
마니커,0.47817527908074836
만호제강,0.17486636914068224
메리츠금융지주,0.2184788965335792
메타랩스,1.042146237175689
명문제약,0.18531774067942283
모나리자,0.17523230808170384
모나미,0.22230630055057146
모토닉,0.162524106010679
무림P&P,0.17667955206694733
무림페이퍼,0.10110198217338053
무학,0.16110486943590305
문배철강,0.19684323706134715
미래산업,8.60460440871367
미래아이앤지,0.7302124941520383
미래에셋생명,0.15047178884532225
미원상사,0.1691289227520081
미원에스씨,0.1495150505087105
