종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,7150,180,2.58,7000,7700,6870,2505375,18649803910,334779409250,46822295
AK홀딩스,KOSPI,,20900,-300,-1.42,21200,21400,20900,20797,439901150,276874024900,13247561
BGF,KOSPI,,5170,10,0.19,5160,5230,5150,128318,666818110,494855809470,95716791
BGF리테일,KOSPI,,183500,0,0.0,181500,183500,181000,22608,4124337500,3171596751000,17283906
BNK금융지주,KOSPI,,7770,-120,-1.52,7830,7850,7770,704528,5494102910,2532516861420,325935246
BYC,KOSPI,,435000,-2000,-0.46,437000,440000,433500,310,135583000,271707525000,624615
CJ,KOSPI,,83600,-1800,-2.11,83600,85300,83400,41030,3438383200,2439197032800,29176998
CJ CGV,KOSPI,,27000,-650,-2.35,26650,27100,26250,875239,23394347450,1102854609000,40846467
CJ대한통운,KOSPI,,125500,-4000,-3.09,128000,128000,125000,37414,4726925500,2862949172000,22812344
CJ씨푸드,KOSPI,,3905,-10,-0.26,3880,3930,3880,63218,247060735,140309668565,35930773
CJ제일제당,KOSPI,,397500,4000,1.02,404500,404500,392000,42394,16834952500,5984038935000,15054186
CS홀딩스,KOSPI,,64700,-100,-0.15,65000,65000,64000,241,15566600,74694985400,1154482
DB,KOSPI,,945,-7,-0.74,952,952,940,402687,380623139,190109366685,201173933
DB금융투자,KOSPI,,5850,-20,-0.34,5890,5900,5830,19846,116252850,248311375650,42446389
DB손해보험,KOSPI,,65000,0,0.0,64100,65200,63600,175242,11317169200,4602000000000,70800000
DB하이텍,KOSPI,,68600,-100,-0.15,68700,69000,67500,386691,26385557600,3045743136800,44398588
DGB금융지주,KOSPI,,8680,0,0.0,8700,8720,8640,330764,2868805240,1468185830440,169145833
DL,KOSPI,,68000,-2200,-3.13,69500,69700,67500,138799,9449706500,1425000112000,20955884
DL건설,KOSPI,,23850,700,3.02,23150,24000,22800,51496,1213647800,525970823400,22053284
DRB동일,KOSPI,,5680,60,1.07,5620,5700,5560,11274,63296860,113202400000,19930000
DSR,KOSPI,,6760,-90,-1.31,6870,6910,6740,118901,811167920,108160000000,16000000
DSR제강,KOSPI,,6060,-120,-1.94,6130,6160,6040,72023,438597490,87264000000,14400000
E1,KOSPI,,50400,100,0.2,50500,50800,49850,15316,770460200,345744000000,6860000
GKL,KOSPI,,15350,350,2.33,14900,15400,14850,220922,3346765900,949484534500,61855670
