종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4055,-35,-0.86,4175,4215,3990,131327,532500885,189864406225,46822295
AK홀딩스,KOSPI,,24300,250,1.04,24200,25000,23650,30211,725872100,321915732300,13247561
BGF,KOSPI,,4520,5,0.11,4470,4595,4470,186043,842421015,432639895320,95716791
BGF리테일,KOSPI,,150000,-1500,-0.99,153000,154000,146500,35744,5380450500,2592585900000,17283906
BNK금융지주,KOSPI,,6100,-70,-1.13,6170,6240,6060,987651,6032655030,1988205000600,325935246
BYC,KOSPI,,207000,0,0.0,209000,209000,201000,748,153088000,129295305000,624615
CJ,KOSPI,,79400,-1100,-1.37,81700,82500,79100,123964,9961801900,2316653641200,29176998
CJ CGV,KOSPI,,24150,550,2.33,23700,24750,23400,217837,5219926450,511045708950,21161313
CJ대한통운,KOSPI,,132000,-1500,-1.12,134500,135500,130000,46323,6153402000,3011229408000,22812344
CJ씨푸드,KOSPI,,3970,135,3.52,3920,4335,3900,23108756,95578758315,142645168810,35930773
CJ제일제당,KOSPI,,247000,3000,1.23,245500,250000,239500,56974,14060942000,3718383942000,15054186
CS홀딩스,KOSPI,,52800,-500,-0.94,51200,53100,51200,228,11891100,60956649600,1154482
DB,KOSPI,,724,9,1.26,715,743,715,343187,248666725,145649927492,201173933
DB금융투자,KOSPI,,3505,-35,-0.99,3480,3550,3470,41936,146559510,148774593445,42446389
DB손해보험,KOSPI,,41600,-1700,-3.93,43400,43900,41600,338382,14198013550,2945280000000,70800000
DB하이텍,KOSPI,,25650,1850,7.77,24200,25650,23900,1068640,26658982650,1138823782200,44398588
DGB금융지주,KOSPI,,5410,-200,-3.57,5620,5650,5360,2090708,11439710660,915078956530,169145833
DRB동일,KOSPI,,4475,75,1.7,4325,4570,4310,6864,30283475,89186750000,19930000
DSR,KOSPI,,3785,65,1.75,3710,3785,3570,67189,250923990,60560000000,16000000
DSR제강,KOSPI,,3795,70,1.88,3720,3820,3705,48629,182964885,54648000000,14400000
E1,KOSPI,,40650,-50,-0.12,40700,40700,40100,4625,186316300,278859000000,6860000
GKL,KOSPI,,16850,50,0.3,16800,17250,16650,237274,4014731600,1042268039500,61855670
GS,KOSPI,,40800,-450,-1.09,41100,41500,40400,187080,7647903700,3790947422400,92915378
GS건설,KOSPI,,26000,-250,-0.95,26100,26650,25650,500613,13057969250,2082542904000,80097804
GS글로벌,KOSPI,,1735,25,1.46,1705,1765,1680,344504,595077410,143196080540,82533764
GS리테일,KOSPI,,35200,-150,-0.42,35500,35950,34900,130516,4610037850,2710400000000,77000000
HDC,KOSPI,,9210,100,1.1,9150,9330,9070,456970,4197009540,550221250410,59741721
HDC현대EP,KOSPI,,3615,65,1.83,3480,3650,3475,69289,247194515,115318500000,31900000
HDC현대산업개발,KOSPI,,17150,-900,-4.99,17850,17900,17100,1030649,17939849700,753540473000,43938220
JB금융지주,KOSPI,,4925,-85,-1.7,4950,5010,4920,432123,2137402880,970140752950,196982894
JW생명과학,KOSPI,,17300,-300,-1.7,17550,17750,16850,97904,1700720050,273937784200,15834554
JW중외제약,KOSPI,,24700,400,1.65,24200,24850,23950,71614,1752531200,516725333800,20920054
JW홀딩스,KOSPI,,5080,70,1.4,5020,5150,4980,264455,1340467600,337576947400,66452155
KB금융,KOSPI,,38400,-500,-1.29,38500,39250,38000,1696505,65218910150,15967024128000,415807920
KC그린홀딩스,KOSPI,,4125,5,0.12,4145,4165,4050,60002,246933520,92544292500,22434980
KC코트렐,KOSPI,,5390,120,2.28,5250,5480,5210,112395,601858560,70070000000,13000000
KEC,KOSPI,,889,36,4.22,847,889,838,985063,854293223,103752469660,116706940
KG케미칼,KOSPI,,12000,250,2.13,11850,12150,11550,260108,3102723350,156158784000,13013232
KISCO홀딩스,KOSPI,,10900,250,2.35,10650,10900,10600,4648,49657250,201392542000,18476380
KPX케미칼,KOSPI,,49350,-350,-0.7,49200,50100,49000,1893,93698850,238854000000,4840000
KPX홀딩스,KOSPI,,47450,0,0.0,47450,47500,46700,131,6180350,200459452700,4224646
KR모터스,KOSPI,,660,24,3.77,630,675,620,655980,423630114,31258271880,47361018
KSS해운,KOSPI,,7690,60,0.79,7560,7740,7470,41490,316703940,178299417200,23185880
KTcs,KOSPI,,1870,35,1.91,1840,1870,1820,91143,168157265,79820950000,42685000
KTis,KOSPI,,1945,0,0.0,1945,1970,1930,66106,128590390,67689890000,34802000
LF,KOSPI,,12300,-250,-1.99,12600,12750,12200,184313,2286533100,359652000000,29240000
LG,KOSPI,,67800,300,0.44,68600,68700,67100,317622,21619196663,11699373481800,172557131
LG디스플레이,KOSPI,,13500,-100,-0.74,13750,13850,13400,2508960,34174923900,4830511950000,357815700
LG생활건강,KOSPI,,1210000,-11000,-0.9,1235000,1237000,1205000,71043,86545816000,18898018370000,15618197
LG유플러스,KOSPI,,12850,-350,-2.65,13100,13300,12800,2684398,34758836900,5610455988850,436611361
LG이노텍,KOSPI,,137500,7500,5.77,130500,140500,129000,358597,48785095000,3254227212500,23667107
LG전자,KOSPI,,60100,-300,-0.5,60300,61200,59600,711979,42918418760,9835233621400,163647814
LG헬로비전,KOSPI,,4425,80,1.84,4280,4465,4280,210332,926691045,342702377625,77446865
