종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4505,185,4.28,4350,4530,4305,370243,1654213940,203863679295,45252759
AK홀딩스,KOSPI,,17740,-60,-0.34,17800,17970,17400,4225,74447290,235011732140,13247561
BGF,KOSPI,,3720,105,2.9,3690,4050,3640,2656314,10345364930,356066462520,95716791
BGF리테일,KOSPI,,136900,1200,0.88,136600,141400,136600,140282,19422970000,2366166731400,17283906
BNK금융지주,KOSPI,,7160,-10,-0.14,7170,7190,7150,331116,2372838180,2306153216080,322088438
BYC,KOSPI,,406000,-6500,-1.58,402500,424000,402500,162,66500000,253593690000,624615
CJ,KOSPI,,91000,-1000,-1.09,91800,92700,90600,65065,5958107800,2655106818000,29176998
CJ CGV,KOSPI,,5490,-70,-1.26,5560,5640,5460,569041,3140059430,672147891900,122431310
CJ대한통운,KOSPI,,113800,700,0.62,114000,121000,112200,406167,47426282700,2596044747200,22812344
CJ씨푸드,KOSPI,,2870,15,0.53,2830,2905,2795,128916,368260010,103121318510,35930773
CJ제일제당,KOSPI,,311500,2500,0.81,309000,320500,308500,22661,7090861000,4689378939000,15054186
CS홀딩스,KOSPI,,60000,100,0.17,59900,60000,59200,552,32921600,69268920000,1154482
DB,KOSPI,,1770,27,1.55,1751,1780,1711,866104,1514198519,356077861410,201173933
DB금융투자,KOSPI,,3955,0,0.0,3935,3965,3915,19204,75608125,167875468495,42446389
DB손해보험,KOSPI,,82000,-1700,-2.03,82900,83600,82000,60979,5030018900,5805600000000,70800000
DB하이텍,KOSPI,,59600,-2300,-3.72,61400,61500,59500,345231,20768973400,2646155844800,44398588
DGB금융지주,KOSPI,,8480,-20,-0.24,8500,8530,8450,279838,2377128490,1434356663840,169145833
DL,KOSPI,,48200,200,0.42,47800,48450,47300,36948,1777449600,1010073608800,20955884
DL건설,KOSPI,,13470,30,0.22,13500,13500,13340,3914,52487180,297057735480,22053284
DN오토모티브,KOSPI,,68000,500,0.74,67200,68500,67000,13541,920195200,679592340000,9994005
DRB동일,KOSPI,,5590,-110,-1.93,5630,5680,5510,31524,175378650,111408700000,19930000
DSR,KOSPI,,4405,55,1.26,4375,4435,4325,13351,58093275,70480000000,16000000
DSR제강,KOSPI,,4240,-20,-0.47,4250,4250,4205,16177,68288065,61056000000,14400000
E1,KOSPI,,61200,-300,-0.49,61800,61800,60500,8977,548743400,419832000000,6860000
GKL,KOSPI,,13180,60,0.46,13130,13300,13110,131829,1739437240,815257730600,61855670
GS,KOSPI,,40900,-400,-0.97,41250,41300,40900,121439,4989852400,3800238960200,92915378
GS건설,KOSPI,,16170,-40,-0.25,16270,16320,16060,313102,5078935420,1383852693300,85581490
GS글로벌,KOSPI,,2625,50,1.94,2590,2650,2565,760244,1990791280,216651130500,82533764
GS리테일,KOSPI,,23750,-100,-0.42,23850,23950,23650,153709,3653472200,2487050647500,104717922
HDC,KOSPI,,6820,10,0.15,6880,6880,6810,32744,224056720,407438537220,59741721
HDC랩스,KOSPI,,7620,0,0.0,7550,7670,7540,8690,66223340,197796919620,25957601
HDC현대EP,KOSPI,,4760,-35,-0.73,4760,4790,4715,71039,338341560,151844000000,31900000
HDC현대산업개발,KOSPI,,15150,-260,-1.69,15400,15510,15000,348966,5324389610,998496049500,65907330
HD한국조선해양,KOSPI,,111300,-400,-0.36,111600,112200,110000,146446,16311839800,7877047810800,70773116
HD현대,KOSPI,,60800,500,0.83,60400,61000,60100,257594,15591559100,4802779568000,78993085
HD현대건설기계,KOSPI,,48750,100,0.21,48800,49000,48000,140800,6848698750,960413658750,19700793
HD현대인프라코어,KOSPI,,7730,-80,-1.02,7820,7820,7660,1137999,8798839720,1542934691690,199603453
HD현대일렉트릭,KOSPI,,86300,2200,2.62,84500,88400,84400,299385,25905096400,3110867750500,36047135
HJ중공업,KOSPI,,4005,5,0.13,3985,4050,3930,35735,142931490,333513495405,83274281
HL D&I,KOSPI,,2075,0,0.0,2090,2120,2060,38453,80076915,78556597075,37858601
HLB글로벌,KOSPI,,3730,-80,-2.1,3805,3830,3600,45205,169967805,158078418290,42380273
HL만도,KOSPI,,35100,-550,-1.54,35650,35700,35100,160246,5658936200,1648194912000,46957120
HL홀딩스,KOSPI,,32850,-450,-1.35,33150,33250,32850,14577,481600300,334065118500,10169410
HMM,KOSPI,,15870,380,2.45,15550,15980,15550,1418170,22435626900,10935056801520,689039496
HS애드,KOSPI,,6420,10,0.16,6420,6420,6370,6448,41222160,106362765780,16567409
JB금융지주,KOSPI,,10420,30,0.29,10390,10480,10280,343922,3574441890,2052561755480,196982894
JW생명과학,KOSPI,,12570,-90,-0.71,12660,12660,12510,15898,199517370,199040343780,15834554
JW중외제약,KOSPI,,30000,-50,-0.17,30150,30500,29150,216839,6478892950,685051080000,22835036
JW홀딩스,KOSPI,,3385,-140,-3.97,3525,3525,3330,119896,408069980,245440118215,72508159
KB금융,KOSPI,,51900,-500,-0.95,52600,52800,51900,453496,23730798700,20942224636800,403511072
KC그린홀딩스,KOSPI,,3495,-100,-2.78,3575,3575,3450,193045,676199050,78410255100,22434980
KC코트렐,KOSPI,,1564,-26,-1.64,1590,1596,1545,191630,298868064,79663012520,50935430
KEC,KOSPI,,1392,-43,-3.0,1426,1431,1391,1251729,1757637584,279462292272,200763141
KG모빌리티,KOSPI,,7890,-240,-2.95,8130,8130,7880,382503,3056118970,1475083029360,186956024
KG스틸,KOSPI,,8600,-150,-1.71,8700,8860,8530,760157,6623431620,860076514200,100008897
KG케미칼,KOSPI,,6690,-190,-2.76,6900,6930,6690,442364,3003995970,458057877600,68469040
KH 필룩스,KOSPI,,1326,0,0.0,0,0,0,0,0,113141334540,85325290
KIB플러그에너지,KOSPI,,803,-1,-0.12,814,814,801,1065900,857314411,190256029832,236931544
KISCO홀딩스,KOSPI,,22000,100,0.46,21700,22100,21700,11295,248452300,355880360000,16176380
KPX케미칼,KOSPI,,44100,0,0.0,44100,44200,43850,3986,175494400,213444000000,4840000
KPX홀딩스,KOSPI,,52000,0,0.0,52300,52300,51600,414,21443300,219681592000,4224646
KR모터스,KOSPI,,507,-1,-0.2,508,508,500,231141,116373808,48742201755,96138465
KSS해운,KOSPI,,8950,20,0.22,8840,9100,8780,174287,1561767110,206618626000,23085880
KTcs,KOSPI,,3680,170,4.84,3590,3855,3570,14421264,53610355710,157080800000,42685000
KTis,KOSPI,,3050,20,0.66,3035,3105,3025,1000386,3065000700,106146100000,34802000
LF,KOSPI,,13550,-290,-2.1,13840,13960,13520,68336,931869150,396202000000,29240000
LG,KOSPI,,82000,-2100,-2.5,83100,83400,81700,574474,47241973256,12898681426000,157300993
LG디스플레이,KOSPI,,12370,-150,-1.2,12530,12530,12340,967639,11997308480,4426180209000,357815700
LG생활건강,KOSPI,,328000,-5500,-1.65,334500,334500,325000,58947,19330462500,5122768616000,15618197
LG유플러스,KOSPI,,10360,-140,-1.33,10440,10480,10360,476942,4960667780,4523293699960,436611361
LG이노텍,KOSPI,,234000,-4000,-1.68,238000,238500,234000,85972,20217857000,5538103038000,23667107
LG전자,KOSPI,,102400,-300,-0.29,103200,103800,102300,465918,47913532300,16757536153600,163647814
LG헬로비전,KOSPI,,3335,-30,-0.89,3370,3375,3330,104049,347481270,258285294775,77446865
LG화학,KOSPI,,486500,-14500,-2.89,499500,501000,485500,299762,146734513500,34343174869500,70592343
LIG넥스원,KOSPI,,100100,2600,2.67,98000,102300,97500,291735,29374579900,2202200000000,22000000
LS,KOSPI,,84000,-700,-0.83,85300,85500,83400,102362,8633192600,2704800000000,32200000
LS네트웍스,KOSPI,,4720,-290,-5.79,4900,5160,4700,2452473,12123287395,371950235520,78803016
LX세미콘,KOSPI,,85000,-1000,-1.16,85900,86500,84600,79022,6730238400,1382465500000,16264300
LX인터내셔널,KOSPI,,29600,-150,-0.5,29850,30150,29550,182180,5429701900,1147296000000,38760000
LX하우시스,KOSPI,,44750,-250,-0.56,44750,45350,44500,20163,907374800,401303232500,8967670
MH에탄올,KOSPI,,6860,150,2.24,6710,6900,6640,12098,81731480,50616688360,7378526
NAVER,KOSPI,,206000,-2000,-0.96,208000,210000,204000,542598,112346102000,33456170364000,162408594
NH투자증권,KOSPI,,10250,-10,-0.1,10270,10340,10240,194268,1996607660,3399575690250,331665921
NICE,KOSPI,,13220,-70,-0.53,13240,13280,13020,10136,133116310,500804006000,37882300
NICE평가정보,KOSPI,,9230,240,2.67,9010,9290,9010,189587,1746213320,560397788600,60714820
NI스틸,KOSPI,,5990,-100,-1.64,6100,6100,5980,77281,464746550,171314700830,28600117
OCI홀딩스,KOSPI,,96100,-2700,-2.73,98300,99700,95700,81154,7842826700,1904001911500,19812715
PI첨단소재,KOSPI,,30850,-100,-0.32,31200,31200,30600,50102,1545520500,905951033700,29366322
POSCO홀딩스,KOSPI,,474000,-9000,-1.86,483000,483000,469500,524432,249436790500,40086763020000,84571230
S-Oil,KOSPI,,68700,500,0.73,68400,68900,68100,154747,10606528600,7734437810400,112582792
SBS,KOSPI,,25600,-250,-0.97,25850,25950,25500,19987,512387950,467266099200,18252582
SGC에너지,KOSPI,,29050,200,0.69,29000,29450,28850,58166,1701282900,418591123650,14409333
SG글로벌,KOSPI,,1511,-40,-2.58,1523,1549,1497,837067,1270391857,67940820073,44964143
SG세계물산,KOSPI,,532,0,0.0,520,533,510,15614886,8186397566,107690078720,202424960
SHD,KOSPI,,20850,150,0.72,20700,20900,20500,2096,43516050,25330206300,1214878
SH에너지화학,KOSPI,,667,-12,-1.77,679,680,667,749533,504627440,74126197910,111133730
SIMPAC,KOSPI,,3525,-85,-2.35,3610,3610,3525,50127,178073355,230639043900,65429516
