종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,5480,130,2.43,5410,5490,5370,33942,184593780,256586176600,46822295
AK홀딩스,KOSPI,,20750,-400,-1.89,20700,20800,20250,47523,977290250,274886890750,13247561
BGF,KOSPI,,5050,10,0.2,5040,5060,4995,88537,445797890,483369794550,95716791
BGF리테일,KOSPI,,163000,-6500,-3.83,166000,166500,159000,89785,14650751500,2817276678000,17283906
BNK금융지주,KOSPI,,7600,-280,-3.55,7780,7780,7560,2149943,16426528840,2477107869600,325935246
BYC,KOSPI,,459000,4500,0.99,454500,459500,454500,189,86410000,286698285000,624615
CJ,KOSPI,,84100,0,0.0,84000,84900,83300,32212,2712009300,2453785531800,29176998
CJ CGV,KOSPI,,26200,350,1.35,25800,26300,25400,343867,8944775150,1069206699200,40809416
CJ대한통운,KOSPI,,131000,7000,5.65,124500,133000,124000,136465,17688488500,2988417064000,22812344
CJ씨푸드,KOSPI,,4090,425,11.6,3685,4165,3685,7492894,30083828760,146956861570,35930773
CJ제일제당,KOSPI,,374500,-4000,-1.06,378000,379500,373500,21915,8235987000,5637792657000,15054186
CS홀딩스,KOSPI,,69500,200,0.29,68600,69600,67500,3818,262356200,80236499000,1154482
DB,KOSPI,,863,6,0.7,850,865,850,224138,192901967,173613104179,201173933
DB금융투자,KOSPI,,6230,-20,-0.32,6170,6260,6150,23029,143321810,264441003470,42446389
DB손해보험,KOSPI,,58700,-3100,-5.02,62600,62700,58200,363251,21595346000,4155960000000,70800000
DB하이텍,KOSPI,,69900,500,0.72,69000,70200,68500,603907,41897061700,3103461301200,44398588
DGB금융지주,KOSPI,,9070,-410,-4.32,9210,9220,9020,1084498,9838408620,1534152705310,169145833
DL,KOSPI,,59900,-500,-0.83,60400,60400,59700,38540,2311120700,1255257451600,20955884
DL건설,KOSPI,,27400,300,1.11,27100,27600,27050,20212,553196750,604259981600,22053284
DRB동일,KOSPI,,5050,75,1.51,4975,5090,4955,4744,23753870,100646500000,19930000
DSR,KOSPI,,5710,210,3.82,5560,5730,5480,117152,658739500,91360000000,16000000
DSR제강,KOSPI,,4640,95,2.09,4565,4650,4525,68066,313300385,66816000000,14400000
E1,KOSPI,,47100,400,0.86,47250,47950,46800,19779,934847900,323106000000,6860000
GKL,KOSPI,,14700,100,0.68,14600,14750,14450,175966,2570967000,909278349000,61855670
GS,KOSPI,,41350,1350,3.38,40450,41750,40400,352161,14533612850,3842050880300,92915378
GS건설,KOSPI,,43050,200,0.47,43000,43400,42700,359602,15477479900,3684283144500,85581490
GS글로벌,KOSPI,,2365,20,0.85,2390,2430,2360,947383,2265857790,195192351860,82533764
GS리테일,KOSPI,,26950,400,1.51,26450,27000,26450,261017,6978763500,2822147997900,104717922
HDC,KOSPI,,7700,60,0.79,7630,7720,7590,105982,813561640,460011251700,59741721
HDC랩스,KOSPI,,10650,200,1.91,10450,10700,10350,22598,238225850,276448450650,25957601
HDC현대EP,KOSPI,,4900,45,0.93,4850,4900,4825,36357,177129400,156310000000,31900000
HDC현대산업개발,KOSPI,,16650,600,3.74,16100,16800,16000,855945,14087868300,1097357044500,65907330
HJ중공업,KOSPI,,7470,140,1.91,7790,7790,7330,24239,182333940,622058879070,83274281
HMM,KOSPI,,29100,250,0.87,28800,29850,28650,5277280,154468083600,14231049333600,489039496
JB금융지주,KOSPI,,8070,-150,-1.82,8180,8180,8030,432854,3494982680,1589651954580,196982894
JW생명과학,KOSPI,,15350,-150,-0.97,15450,15600,15250,63341,974154050,243060403900,15834554
JW중외제약,KOSPI,,24600,-550,-2.19,25150,25200,24550,207741,5147249900,545580792600,22178081
JW홀딩스,KOSPI,,3925,20,0.51,3905,3940,3895,97040,379884180,276495471050,70444706
KB금융,KOSPI,,57300,-2400,-4.02,58600,58700,57000,2133467,122671452400,23825793816000,415807920
KC그린홀딩스,KOSPI,,4145,80,1.97,4030,4155,4030,38372,158213200,92992992100,22434980
KC코트렐,KOSPI,,5920,190,3.32,5730,5930,5650,65020,379724280,104192000000,17600000
KEC,KOSPI,,3000,40,1.35,2935,3000,2935,1491638,4434720510,434244423000,144748141
KG케미칼,KOSPI,,30050,2150,7.71,27900,31300,27900,515453,15543250750,416676184800,13866096
KH 필룩스,KOSPI,,2050,30,1.49,2020,2055,2015,276280,563830465,289652747150,141294023
KISCO홀딩스,KOSPI,,16300,400,2.52,15900,16350,15800,13832,223505300,301164994000,18476380
KPX케미칼,KOSPI,,52900,0,0.0,52400,53100,52400,1589,83678800,256036000000,4840000
KPX홀딩스,KOSPI,,60700,200,0.33,60700,60800,60200,1212,73435500,256436012200,4224646
KR모터스,KOSPI,,806,22,2.81,790,820,777,399689,319691766,77486718608,96137368
KSS해운,KOSPI,,12100,-150,-1.22,12300,12500,12050,263982,3227947700,280549148000,23185880
KTcs,KOSPI,,2245,60,2.75,2185,2245,2185,97148,215261285,95827825000,42685000
KTis,KOSPI,,2320,70,3.11,2250,2325,2250,92178,211623175,80740640000,34802000
LF,KOSPI,,17700,-200,-1.12,17900,17950,17600,30806,546767200,517548000000,29240000
LG,KOSPI,,74000,-1200,-1.6,74900,75300,74000,210499,15664157700,11640273482000,157300993
LG디스플레이,KOSPI,,18700,0,0.0,18700,18850,18550,1344277,25117774700,6691153590000,357815700
LG생활건강,KOSPI,,940000,-10000,-1.05,950000,963000,938000,63021,59449735200,14681105180000,15618197
SK,KOSPI,,233500,6000,2.64,228000,237000,226500,251015,58787619500,17313868321500,74149329
SKC,KOSPI,,139000,1500,1.09,138000,141500,137000,157180,21877394000,5263693422000,37868298
SK가스,KOSPI,,119000,0,0.0,123000,125500,119000,73310,8885316500,1098399036000,9230244
SK네트웍스,KOSPI,,4520,110,2.49,4420,4535,4410,375420,1684546590,1121808164440,248187647
SK디스커버리,KOSPI,,40650,100,0.25,40800,41300,40450,19654,804338200,773888805750,19037855
SK디앤디,KOSPI,,30800,950,3.18,29950,30800,29700,32749,995534000,683457051200,22190164
SK렌터카,KOSPI,,10600,100,0.95,10500,10600,10350,49033,515130250,501229904000,47285840
SK이노베이션,KOSPI,,207500,7000,3.49,203500,209000,202500,444106,91797787000,19186604530000,92465564
SK증권,KOSPI,,890,-2,-0.22,888,893,884,954598,848861417,420605252190,472590171
SK케미칼,KOSPI,,125000,0,0.0,124500,127000,124000,55694,6982269500,2202597500000,17620780
SK텔레콤,KOSPI,,54500,-100,-0.18,54300,55200,54000,694441,38050245992,11926406348000,218833144
SK하이닉스,KOSPI,,125000,1500,1.21,124500,126500,123000,2903340,361484132000,91000295625000,728002365
SNT모티브,KOSPI,,42500,-600,-1.39,43100,43300,42250,44375,1889247100,621483280000,14623136
SNT에너지,KOSPI,,18850,-150,-0.79,19000,19000,18550,21351,400554900,141501502350,7506711
SNT홀딩스,KOSPI,,16200,150,0.93,16050,16250,16000,6151,99083700,264122953200,16303886
SPC삼립,KOSPI,,90200,6100,7.25,87400,91800,85700,150619,13499996300,778336611800,8629009
STX,KOSPI,,4200,130,3.19,4070,4380,4010,485662,2056494795,120210106800,28621454
STX엔진,KOSPI,,15650,1300,9.06,14600,17500,14450,6895417,111468068550,360089347600,23008904
SUN&L,KOSPI,,4800,-15,-0.31,4815,4875,4765,4195,20116705,60518347200,12607989
TCC스틸,KOSPI,,10250,690,7.22,9580,10300,9570,1141973,11439871790,240875000000,23500000
TYM,KOSPI,,1610,30,1.9,1580,1620,1575,806635,1290891520,244110046670,151621147
WISCOM,KOSPI,,3115,15,0.48,3115,3120,3080,54086,167829775,47741854370,15326438
YG PLUS,KOSPI,,7220,40,0.56,7170,7260,7060,720041,5168819320,457960340200,63429410
가온전선,KOSPI,,23400,150,0.65,23450,23500,23150,6114,142589550,97352119800,4160347
강남제비스코,KOSPI,,24350,-350,-1.42,24850,24850,24200,10501,256574950,158275000000,6500000
강원랜드,KOSPI,,26900,400,1.51,26450,27000,26350,929289,24873555700,5754999450000,213940500
갤럭시아에스엠,KOSPI,,2395,50,2.13,2340,2410,2330,211896,503896940,65981397380,27549644
경농,KOSPI,,12850,450,3.63,12700,13000,12600,209206,2687640950,250865088750,19522575
경동나비엔,KOSPI,,43600,-700,-1.58,44300,44300,43000,81883,3553913600,635190611200,14568592
경동도시가스,KOSPI,,28400,250,0.89,30950,31500,27500,958365,27916844850,167429530400,5895406
경동인베스트,KOSPI,,34600,50,0.14,34950,34950,34300,3294,113746100,81829795800,2365023
경방,KOSPI,,14700,50,0.34,14700,14900,14600,6381,94168050,403004469000,27415270
경보제약,KOSPI,,9000,130,1.47,8900,9030,8820,25358,227470300,215161740000,23906860
경인양행,KOSPI,,6280,20,0.32,6180,6360,6180,51739,325347290,261099572200,41576365
경인전자,KOSPI,,31600,-100,-0.32,31700,31950,31450,5926,187735650,49637185200,1570797
계양전기,KOSPI,,3585,0,0.0,0,0,0,0,0,116871000000,32600000
고려산업,KOSPI,,3330,105,3.26,3275,3400,3275,578500,1927126385,83048285250,24939425
고려아연,KOSPI,,569000,19000,3.45,553000,578000,551000,78952,44828088000,10737030000000,18870000
고려제강,KOSPI,,21600,450,2.13,21150,21750,21050,31016,667207600,496800000000,23000000
광동제약,KOSPI,,7370,80,1.1,7300,7400,7290,107145,787610950,386341671870,52420851
광명전기,KOSPI,,2480,15,0.61,2440,2535,2430,950352,2371965300,107477285200,43337615
광전자,KOSPI,,2860,30,1.06,2805,2880,2805,68793,196225210,165719162180,57943763
광주신세계,KOSPI,,186000,-1000,-0.53,187000,188500,183000,2342,433964500,297600000000,1600000
교보증권,KOSPI,,7590,30,0.4,7560,7590,7490,27696,208850090,490718516640,64653296
국도화학,KOSPI,,55100,2300,4.36,52800,56600,52700,92380,5108872900,496484941600,9010616
국동,KOSPI,,2275,5,0.22,2270,2290,2250,212295,482781935,125600038200,55208808
국보,KOSPI,,1465,65,4.64,1370,1675,1355,9482199,14434305180,97483842480,66541872
국제약품,KOSPI,,5330,110,2.11,5240,5350,5180,78710,416362440,102741559700,19276090
그린케미칼,KOSPI,,9850,190,1.97,9550,9910,9500,191421,1873194920,236400000000,24000000
극동유화,KOSPI,,4315,150,3.6,4490,4540,4250,4189398,18477965910,150461547300,34869420
금강공업,KOSPI,,8170,10,0.12,8160,8210,8080,43406,352878020,239620846690,29329357
금비,KOSPI,,64700,300,0.47,64400,65400,63800,584,37733600,64700000000,1000000
금양,KOSPI,,4600,115,2.56,4570,4605,4515,162504,743826805,228668714000,49710590
금호건설,KOSPI,,10900,150,1.4,10700,10950,10600,107575,1161398150,399309771600,36633924
금호에이치티,KOSPI,,1700,0,0.0,1700,1730,1700,449140,767473585,334163383200,196566696
금호전기,KOSPI,,2115,5,0.24,2110,2135,2085,90515,190879975,44121055185,20861019
금호타이어,KOSPI,,3975,-5,-0.13,3995,4020,3945,225857,901054530,1141859640825,287260287
기신정기,KOSPI,,4595,60,1.32,4530,4595,4505,53002,241583490,134174000000,29200000
기아,KOSPI,,72100,-1700,-2.3,72800,73200,72000,2278836,165010237400,29226697318700,405363347
기업은행,KOSPI,,10500,-250,-2.33,10600,10650,10450,2622811,27563724050,7815156163500,744300587
까뮤이앤씨,KOSPI,,2120,-5,-0.24,2130,2155,2110,527812,1124307755,95722833600,45152280
깨끗한나라,KOSPI,,4165,55,1.34,4165,4185,4055,99691,411631215,155107486345,37240693
남광토건,KOSPI,,11750,350,3.07,11250,11900,11250,39358,458662100,115490914500,9829014
남선알미늄,KOSPI,,2490,150,6.41,2370,2490,2360,3138813,7632421440,274345934100,110179090
남성,KOSPI,,3035,75,2.53,2935,3060,2935,178941,538868370,109903905600,36212160
남양유업,KOSPI,,394500,500,0.13,398500,399500,393000,807,318190000,284040000000,720000
남해화학,KOSPI,,10250,590,6.11,10000,10250,9910,1108561,11213924620,509208140750,49678843
넥센,KOSPI,,4270,45,1.07,4235,4290,4225,7825,33189140,228632781790,53543977
넥센타이어,KOSPI,,6200,-90,-1.43,6280,6300,6170,135946,847197180,605540837400,97667877
넷마블,KOSPI,,103000,500,0.49,102500,104500,101500,138902,14317816000,8853210706000,85953502
노루페인트,KOSPI,,10650,100,0.95,10500,10750,10500,157923,1682074300,213000000000,20000000
노루홀딩스,KOSPI,,11600,200,1.75,11550,11600,11350,8337,95967550,154177351600,13291151
녹십자,KOSPI,,177000,-5000,-2.75,180000,181500,177000,107328,19111998500,2068517226000,11686538
녹십자홀딩스,KOSPI,,22300,0,0.0,22250,22600,22150,85895,1922896300,1048729083000,47028210
농심,KOSPI,,308000,1000,0.33,306500,310000,304000,30997,9527588000,1873453736000,6082642
농심홀딩스,KOSPI,,73900,200,0.27,73600,74000,72900,3070,225138000,342732681000,4637790
다스코,KOSPI,,4870,5,0.1,4870,4905,4850,38800,189085490,82188852070,16876561
다우기술,KOSPI,,21800,300,1.4,21200,21850,21200,53527,1158755100,978092250600,44866617
다이나믹디자인,KOSPI,,209,1,0.48,211,225,205,9498651,2027365996,33082452414,158289246
대교,KOSPI,,3620,40,1.12,3580,3620,3545,19868,71247905,306624317000,84702850
대구백화점,KOSPI,,9900,40,0.41,9950,9950,9750,1674,16424090,107133948900,10821611
대덕,KOSPI,,7330,50,0.69,7280,7350,7240,67099,489903460,248414799500,33890150
대동,KOSPI,,11850,-250,-2.07,12100,12100,11700,479930,5706182650,281179288500,23728210
대동전자,KOSPI,,11950,1350,12.74,10600,12750,10500,690364,8246535700,125360841650,10490447
대림통상,KOSPI,,3815,35,0.93,3745,3820,3740,11975,45463570,58083375000,15225000
대상,KOSPI,,22150,-100,-0.45,22150,22350,22000,93952,2078529950,767453753750,34648025
대상홀딩스,KOSPI,,9230,30,0.33,9140,9230,9120,33811,309926060,334241725740,36212538
대성산업,KOSPI,,4875,170,3.61,5050,5080,4785,2163726,10620558565,220522955250,45235478
대성에너지,KOSPI,,17600,700,4.14,19100,19100,16900,8001305,144129971400,484000000000,27500000
대성홀딩스,KOSPI,,51000,100,0.2,50700,51000,50300,64440,3264310700,820562409000,16089459
대신증권,KOSPI,,17750,800,4.72,17450,17850,17350,177049,3108774500,901227850000,50773400
대양금속,KOSPI,,4185,90,2.2,4095,4220,4090,166754,696474620,134623766340,32168164
대영포장,KOSPI,,2365,65,2.83,2320,2450,2285,2459704,5860366180,256353108385,108394549
대우건설,KOSPI,,6380,110,1.75,6300,6400,6250,2345400,14882020900,2651672430440,415622638
대우부품,KOSPI,,2160,35,1.65,2125,2165,2100,101659,217157505,102916170000,47646375
대웅,KOSPI,,30250,100,0.33,30000,30600,29850,66630,2023597450,1758794895000,58141980
대웅제약,KOSPI,,166000,0,0.0,165500,167500,163000,38624,6399498000,1923371450000,11586575
대원강업,KOSPI,,3065,-10,-0.33,3055,3090,3055,68526,209746860,190030000000,62000000
대원전선,KOSPI,,2035,45,2.26,1990,2105,1990,5275285,10868845955,144519527845,71016967
대원제약,KOSPI,,19650,950,5.08,18800,20050,18700,2187167,42487270950,417067771950,21224823
대원화성,KOSPI,,3230,65,2.05,3165,3245,3150,171300,550065410,133234760960,41249152
