종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,3690,-55,-1.47,3800,3800,3610,103221,377445980,172774268550,46822295
AK홀딩스,KOSPI,,22000,300,1.38,21700,22000,21300,37801,820447150,291446342000,13247561
BGF,KOSPI,,4590,105,2.34,4505,4600,4455,82122,374493070,439340070690,95716791
BGF리테일,KOSPI,,162000,-5000,-2.99,162000,164000,160500,41530,6726443500,2799992772000,17283906
BNK금융지주,KOSPI,,5170,90,1.77,5090,5200,5060,1683211,8644352460,1685085221820,325935246
BYC,KOSPI,,209000,2000,0.97,207000,210000,206000,401,83422000,130544535000,624615
CJ,KOSPI,,92000,100,0.11,90300,92000,89600,71829,6532188000,2684283816000,29176998
CJ CGV,KOSPI,,23950,800,3.46,23650,24000,23500,298212,7098556500,506813446350,21161313
CJ대한통운,KOSPI,,163500,2500,1.55,159000,163500,158500,51806,8399968500,3729818244000,22812344
CJ씨푸드,KOSPI,,3955,20,0.51,3945,3990,3940,932898,3693856545,142106207215,35930773
CJ제일제당,KOSPI,,299000,2000,0.67,295000,302000,295000,42750,12806660500,4501201614000,15054186
CS홀딩스,KOSPI,,49900,200,0.4,49700,50000,49500,542,26942600,57608651800,1154482
DB,KOSPI,,750,1,0.13,749,762,746,598929,450112181,150880449750,201173933
DB금융투자,KOSPI,,3435,40,1.18,3410,3450,3385,129060,442577025,145803346215,42446389
DB손해보험,KOSPI,,44100,700,1.61,43700,44650,43600,477272,21036337950,3122280000000,70800000
DB하이텍,KOSPI,,30700,2100,7.34,29050,30700,29000,1688404,50934889500,1363036651600,44398588
DGB금융지주,KOSPI,,5420,160,3.04,5310,5420,5290,1185328,6377541990,916770414860,169145833
DRB동일,KOSPI,,7580,430,6.01,7200,7970,7150,1133909,8599816250,151069400000,19930000
DSR,KOSPI,,3985,30,0.76,3955,4000,3935,48046,190588710,63760000000,16000000
DSR제강,KOSPI,,3965,-5,-0.13,3950,4030,3950,91859,366470660,57096000000,14400000
E1,KOSPI,,36700,1050,2.95,36150,37100,36150,16193,594057250,251762000000,6860000
GKL,KOSPI,,15000,100,0.67,14850,15050,14800,306406,4568472100,927835050000,61855670
GS,KOSPI,,38650,950,2.52,38050,38850,38050,267626,10309845050,3591179359700,92915378
GS건설,KOSPI,,28700,150,0.53,28500,28850,28150,522907,14938555950,2298806974800,80097804
GS글로벌,KOSPI,,1740,30,1.75,1705,1755,1705,365996,632991840,143608749360,82533764
GS리테일,KOSPI,,42750,150,0.35,43000,43300,42500,229895,9865335750,3291750000000,77000000
HDC,KOSPI,,9510,10,0.11,9660,9810,9450,641713,6135803900,568143766710,59741721
HDC현대EP,KOSPI,,4360,40,0.93,4320,4380,4285,282427,1224375205,139084000000,31900000
HDC현대산업개발,KOSPI,,20150,200,1.0,20400,20850,19900,1701607,34455334700,1328032699500,65907330
HMM,KOSPI,,4845,120,2.54,4885,4970,4785,3702570,18035553910,1533695384775,316552195
JB금융지주,KOSPI,,4870,120,2.53,4770,4885,4750,269412,1297650450,959306693780,196982894
JW생명과학,KOSPI,,18450,850,4.83,17800,18500,17500,181688,3293975850,292147521300,15834554
JW중외제약,KOSPI,,35700,1050,3.03,35000,36350,34600,776404,27553311950,746845927800,20920054
JW홀딩스,KOSPI,,5480,180,3.4,5310,5480,5310,309400,1669529260,364157809400,66452155
KB금융,KOSPI,,34600,600,1.76,34200,34900,34050,2643715,91289436600,14386954032000,415807920
KC그린홀딩스,KOSPI,,4085,50,1.24,4005,4255,3935,558318,2280074050,91646893300,22434980
KC코트렐,KOSPI,,6600,0,0.0,6510,7190,6350,6554315,44314252590,85800000000,13000000
KEC,KOSPI,,817,15,1.87,802,890,802,3676571,3099176478,95349569980,116706940
KG케미칼,KOSPI,,14350,150,1.06,14500,14650,14200,149124,2146390450,186739879200,13013232
KISCO홀딩스,KOSPI,,11850,400,3.49,11500,11850,11200,8847,102245900,218945103000,18476380
KPX케미칼,KOSPI,,49900,-100,-0.2,50200,50200,49300,4233,210527050,241516000000,4840000
KPX홀딩스,KOSPI,,43900,0,0.0,43900,44550,43750,1564,68878600,185461959400,4224646
