종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4460,-70,-1.55,4560,4560,4445,208335,934171210,208827435700,46822295
AK홀딩스,KOSPI,,21900,950,4.53,21050,22250,20950,95026,2061227650,290121585900,13247561
BGF,KOSPI,,4635,-45,-0.96,4640,4705,4595,178849,830587025,443647326285,95716791
BGF리테일,KOSPI,,126000,500,0.4,126500,126500,125000,24477,3081328500,2177772156000,17283906
BNK금융지주,KOSPI,,5720,90,1.6,5690,5750,5660,4614160,26361995300,1864349607120,325935246
BYC,KOSPI,,294500,1000,0.34,293500,298000,288000,1405,409560500,183949117500,624615
CJ,KOSPI,,79600,500,0.63,79900,79900,79100,71806,5697434700,2322489040800,29176998
CJ CGV,KOSPI,,22950,50,0.22,22900,23200,22700,381589,8759596350,805545000000,35100000
CJ대한통운,KOSPI,,164500,-1500,-0.9,166000,166000,164000,49589,8163733000,3752630588000,22812344
CJ씨푸드,KOSPI,,5250,-20,-0.38,5320,5420,5220,2304291,12242106780,188636558250,35930773
CJ제일제당,KOSPI,,362500,1000,0.28,365000,365000,361000,46676,16894175500,5457142425000,15054186
CS홀딩스,KOSPI,,56500,700,1.25,55900,56600,55300,1611,90277600,65228233000,1154482
DB,KOSPI,,723,-12,-1.63,735,740,718,915149,663836512,145448753559,201173933
DB금융투자,KOSPI,,4730,90,1.94,4640,4740,4625,166181,781371710,200771419970,42446389
DB손해보험,KOSPI,,44150,150,0.34,44450,44650,44000,205166,9073005450,3125820000000,70800000
DB하이텍,KOSPI,,35800,350,0.99,35750,36350,35600,507254,18211220350,1589469450400,44398588
DGB금융지주,KOSPI,,7420,120,1.64,7370,7480,7340,584815,4329246250,1255062080860,169145833
DRB동일,KOSPI,,6860,20,0.29,6870,6910,6800,26551,181987380,136719800000,19930000
DSR,KOSPI,,5640,80,1.44,5570,5660,5470,90326,501784470,90240000000,16000000
DSR제강,KOSPI,,4780,140,3.02,4605,4840,4595,197034,938332245,68832000000,14400000
E1,KOSPI,,45900,50,0.11,45700,46150,45500,8584,392841850,314874000000,6860000
GKL,KOSPI,,15950,750,4.93,15250,16000,15200,699198,10983945650,986597936500,61855670
GS,KOSPI,,36700,1650,4.71,35500,36900,35450,520788,18959118800,3409994372600,92915378
GS건설,KOSPI,,31800,100,0.32,31750,32050,31200,399045,12607820650,2547110167200,80097804
GS글로벌,KOSPI,,1925,15,0.79,1920,1945,1920,311239,600894330,158877495700,82533764
GS리테일,KOSPI,,33900,150,0.44,33950,34050,33800,233164,7900307300,2610300000000,77000000
HDC,KOSPI,,10450,-50,-0.48,10500,10600,10400,221130,2318862900,624300984450,59741721
HDC현대EP,KOSPI,,6400,100,1.59,6310,6490,6220,157800,1004423770,204160000000,31900000
HDC현대산업개발,KOSPI,,20100,50,0.25,20150,20350,19950,758802,15296829950,1324737333000,65907330
HMM,KOSPI,,13400,50,0.37,13300,13550,13050,4802583,64144888050,4378132728200,326726323
JB금융지주,KOSPI,,5630,160,2.93,5520,5680,5520,516278,2881718880,1109013693220,196982894
JW생명과학,KOSPI,,19350,200,1.04,19300,19400,19100,70449,1356607200,306398619900,15834554
JW중외제약,KOSPI,,33450,-400,-1.18,33550,33750,33150,77712,2599607650,699775806300,20920054
JW홀딩스,KOSPI,,5790,80,1.4,5770,5820,5710,299749,1729938220,384757977450,66452155
KB금융,KOSPI,,45900,550,1.21,45750,46700,45650,2394959,110094719700,19085583528000,415807920
KC그린홀딩스,KOSPI,,5020,0,0.0,5020,5050,4980,111068,557333835,112623599600,22434980
KC코트렐,KOSPI,,10700,-100,-0.93,10700,10950,10600,503254,5395158400,139100000000,13000000
KEC,KOSPI,,2790,40,1.45,2720,2810,2665,14001053,38290782585,325612362600,116706940
KG케미칼,KOSPI,,20850,800,3.99,20000,21000,19850,444106,9135713100,271325887200,13013232
KISCO홀딩스,KOSPI,,14000,0,0.0,14000,14200,13900,15011,209838600,258669320000,18476380
KPX케미칼,KOSPI,,53500,500,0.94,53300,53700,52700,17774,945672500,258940000000,4840000
KPX홀딩스,KOSPI,,63500,-300,-0.47,64400,64600,63000,26865,1706978600,268265021000,4224646
KR모터스,KOSPI,,1310,-70,-5.07,1355,1375,1300,4014400,5346167770,120075933580,91661018
KSS해운,KOSPI,,10450,50,0.48,10450,10450,10300,115514,1201081150,242292446000,23185880
KTcs,KOSPI,,2325,80,3.56,2245,2325,2240,1334723,3049585425,99242625000,42685000
KTis,KOSPI,,2585,15,0.58,2575,2585,2545,99584,255628875,89963170000,34802000
LF,KOSPI,,14850,150,1.02,14650,15100,14650,150900,2248809650,434214000000,29240000
