종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,5780,-140,-2.36,5860,5940,5750,63836,371440050,270632865100,46822295
AK홀딩스,KOSPI,,34400,-1000,-2.82,35500,35600,34150,103691,3580613850,455716098400,13247561
BGF,KOSPI,,7050,30,0.43,7020,7150,7000,345706,2438078760,674803376550,95716791
BGF리테일,KOSPI,,184000,2500,1.38,182500,188500,181500,39293,7234372000,3180238704000,17283906
BNK금융지주,KOSPI,,7990,40,0.5,7940,8000,7890,1299625,10347296750,2604222615540,325935246
BYC,KOSPI,,448000,14500,3.34,434500,498500,434500,4533,2088211000,279827520000,624615
CJ,KOSPI,,114500,0,0.0,115000,118000,114500,221664,25727803500,3340766271000,29176998
CJ CGV,KOSPI,,33100,-350,-1.05,33550,34000,32700,950431,31454040150,1161810000000,35100000
CJ대한통운,KOSPI,,169500,-500,-0.29,170000,170500,168500,46783,7916875000,3866692308000,22812344
CJ씨푸드,KOSPI,,4820,105,2.23,4750,4880,4715,1188132,5716242365,173186325860,35930773
CJ제일제당,KOSPI,,485500,-3000,-0.61,489500,491000,476000,57895,27917892500,7308807303000,15054186
CS홀딩스,KOSPI,,75600,1000,1.34,74900,76000,74800,3064,231093400,87278839200,1154482
DB,KOSPI,,1055,45,4.46,1045,1080,1015,5723415,5982360260,212238499315,201173933
DB금융투자,KOSPI,,7220,50,0.7,7170,7300,7120,180173,1301875710,306462928580,42446389
DB손해보험,KOSPI,,51300,600,1.18,50900,51400,50100,96454,4928111600,3632040000000,70800000
DB하이텍,KOSPI,,52100,500,0.97,51900,52500,51400,468216,24361980200,2313166434800,44398588
DGB금융지주,KOSPI,,9390,-70,-0.74,9420,9490,9380,309690,2920704960,1588279371870,169145833
DL,KOSPI,,82800,700,0.85,82100,83800,81800,175462,14533461900,1278536493600,15441262
DL건설,KOSPI,,36650,350,0.96,36300,36850,36200,105426,3855593700,808252858600,22053284
DRB동일,KOSPI,,7880,700,9.75,7190,7880,7160,1019939,7796488200,157048400000,19930000
DSR,KOSPI,,6950,-30,-0.43,7040,7060,6860,131616,917173190,111200000000,16000000
DSR제강,KOSPI,,6340,10,0.16,6290,6390,6250,92015,581996260,91296000000,14400000
E1,KOSPI,,55800,600,1.09,55700,56400,54700,26884,1492755800,382788000000,6860000
GKL,KOSPI,,18550,-400,-2.11,19100,19150,18350,634622,11811502450,1147422678500,61855670
GS,KOSPI,,48050,1950,4.23,46250,48550,46250,595903,28470822200,4464583912900,92915378
GS건설,KOSPI,,44850,100,0.22,44900,45100,44350,615245,27545983350,3834265429800,85490868
GS글로벌,KOSPI,,2890,65,2.3,2815,2920,2815,1355849,3916815710,238522577960,82533764
GS리테일,KOSPI,,39200,-50,-0.13,39350,39800,38950,773328,30398650350,3018400000000,77000000
HDC,KOSPI,,14400,250,1.77,14250,14500,14200,582214,8362488750,860280782400,59741721
HDC현대EP,KOSPI,,6060,30,0.5,6050,6120,6040,218457,1327071780,193314000000,31900000
HDC현대산업개발,KOSPI,,29550,-50,-0.17,29700,29750,29300,487228,14361471300,1947561601500,65907330
HMM,KOSPI,,47650,-250,-0.52,47100,47900,46050,10632345,499716358800,16457952005550,345392487
JB금융지주,KOSPI,,7700,10,0.13,7730,7730,7680,345608,2658872400,1516768283800,196982894
JW생명과학,KOSPI,,18600,50,0.27,18600,18650,18500,40276,748190750,294522704400,15834554
JW중외제약,KOSPI,,29300,300,1.03,29100,29300,28950,49535,1443731200,631119831800,21539926
JW홀딩스,KOSPI,,4700,10,0.21,4695,4715,4675,68583,321785670,321673555400,68441182
KB금융,KOSPI,,58800,0,0.0,58800,59000,58000,921289,53967953600,24449505696000,415807920
KC그린홀딩스,KOSPI,,5150,60,1.18,5170,5190,5080,320093,1642084290,115540147000,22434980
KC코트렐,KOSPI,,7790,-30,-0.38,7760,7850,7660,167275,1300905720,101270000000,13000000
KEC,KOSPI,,2330,170,7.87,2175,2340,2140,4962868,11204248705,271927170200,116706940
KG케미칼,KOSPI,,30450,500,1.67,29950,30950,29600,175087,5322543750,422222623200,13866096
KH 필룩스,KOSPI,,3285,45,1.39,3240,3315,3230,997426,3269273440,436017813480,132729928
KISCO홀딩스,KOSPI,,19000,-100,-0.52,19100,19200,18750,39601,751829100,351051220000,18476380
KPX케미칼,KOSPI,,65700,200,0.31,65600,66000,65200,9098,595744500,317988000000,4840000
KPX홀딩스,KOSPI,,73500,1300,1.8,71700,74200,71700,16545,1208337400,310511481000,4224646
KR모터스,KOSPI,,1175,5,0.43,1180,1190,1155,480096,563380340,112961407400,96137368
KSS해운,KOSPI,,12400,100,0.81,12300,12400,12150,161345,1986064500,287504912000,23185880
KTcs,KOSPI,,3225,-40,-1.23,3270,3275,3185,1080375,3483595930,137659125000,42685000
KTis,KOSPI,,3260,-50,-1.51,3310,3340,3185,688736,2230419690,113454520000,34802000
LF,KOSPI,,20950,-50,-0.24,21150,21200,20550,113584,2363184050,612578000000,29240000
LG,KOSPI,,101000,0,0.0,101000,103000,99700,537456,54378704000,15887400293000,157300993
