종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,5380,30,0.56,5300,5380,5170,72085,381774050,251903947100,46822295
AK홀딩스,KOSPI,,19050,100,0.53,18950,19300,18550,57400,1080361050,252366037050,13247561
BGF,KOSPI,,4940,30,0.61,4870,4975,4820,256977,1261033325,472840947540,95716791
BGF리테일,KOSPI,,143500,-2500,-1.71,146000,146500,141000,51220,7350061000,2480240511000,17283906
BNK금융지주,KOSPI,,8140,140,1.75,8050,8160,7900,1106685,8928466920,2653112902440,325935246
BYC,KOSPI,,418500,-500,-0.12,443500,443500,413500,384,160718500,261401377500,624615
CJ,KOSPI,,80300,300,0.38,79500,80900,79400,91120,7301103774,2342912939400,29176998
CJ CGV,KOSPI,,22850,450,2.01,22400,22900,21700,438707,9824026450,867085636750,37946855
CJ대한통운,KOSPI,,125000,1000,0.81,124000,126000,123000,60420,7537105000,2851543000000,22812344
CJ씨푸드,KOSPI,,3370,60,1.81,3240,3410,3240,152657,507010215,121086705010,35930773
CJ제일제당,KOSPI,,350500,-3500,-0.99,356000,356000,344000,62052,21735434500,5276492193000,15054186
CS홀딩스,KOSPI,,60000,2500,4.35,56700,61000,55900,4220,246370200,69268920000,1154482
DB,KOSPI,,952,31,3.37,911,957,904,724032,673549075,191517584216,201173933
DB금융투자,KOSPI,,6630,110,1.69,6500,6630,6410,116719,763557710,281419559070,42446389
DB손해보험,KOSPI,,53600,-200,-0.37,53800,54400,53200,147277,7921471400,3794880000000,70800000
DB하이텍,KOSPI,,68100,1100,1.64,67900,69000,66300,1579832,107029755200,3023543842800,44398588
DGB금융지주,KOSPI,,9060,110,1.23,8960,9080,8800,506204,4539991620,1532461246980,169145833
DL,KOSPI,,59000,3000,5.36,56000,59800,55700,148059,8612813000,1236397156000,20955884
DL건설,KOSPI,,25450,700,2.83,24500,25550,24350,22546,563352350,561256077800,22053284
DRB동일,KOSPI,,4845,60,1.25,4605,4850,4605,35880,169036975,96560850000,19930000
DSR,KOSPI,,5160,150,2.99,4895,5200,4895,115751,584179570,82560000000,16000000
DSR제강,KOSPI,,4400,100,2.33,4235,4450,4105,99923,431532475,63360000000,14400000
E1,KOSPI,,45900,1250,2.8,44650,46050,44400,14756,670788100,314874000000,6860000
GKL,KOSPI,,11950,250,2.14,11550,12100,11550,430178,5109682400,739175256500,61855670
GS,KOSPI,,37900,400,1.07,37450,38100,37150,297533,11213212450,3521492826200,92915378
GS건설,KOSPI,,37600,900,2.45,36500,38150,36400,466610,17443233750,3217864024000,85581490
GS글로벌,KOSPI,,2175,75,3.57,2070,2175,2040,651635,1387785875,179510936700,82533764
GS리테일,KOSPI,,28500,250,0.88,28250,28950,28200,435686,12431576750,2984460777000,104717922
HDC,KOSPI,,9800,110,1.14,9640,9860,9620,159005,1551566420,585468865800,59741721
HDC현대EP,KOSPI,,5340,0,0.0,5360,5410,5090,199231,1049867360,170346000000,31900000
HDC현대산업개발,KOSPI,,21350,550,2.64,20700,21700,20450,408737,8666062600,1407121495500,65907330
HMM,KOSPI,,24850,1250,5.3,23700,25300,23400,5974541,147077287550,12152631475600,489039496
JB금융지주,KOSPI,,8040,10,0.12,7960,8090,7900,301285,2414709060,1583742467760,196982894
JW생명과학,KOSPI,,14000,50,0.36,13950,14050,13600,40793,564097000,221683756000,15834554
JW중외제약,KOSPI,,21350,150,0.71,21250,21450,20850,50107,1063230300,459877420100,21539926
JW홀딩스,KOSPI,,3230,15,0.47,3250,3250,3160,65127,208282085,221065017860,68441182
KB금융,KOSPI,,53900,1100,2.08,53300,54200,52400,1403246,75126542700,22412046888000,415807920
KC그린홀딩스,KOSPI,,4210,80,1.94,4085,4215,4020,63023,260760985,94451265800,22434980
KC코트렐,KOSPI,,5730,30,0.53,5660,5800,5500,99386,564304860,100848000000,17600000
KEC,KOSPI,,3705,305,8.97,3430,3765,3310,32358090,117638156250,494668110300,133513660
KG케미칼,KOSPI,,29900,850,2.93,28900,30250,28500,140630,4144755100,414596270400,13866096
KH 필룩스,KOSPI,,2480,-55,-2.17,2500,2565,2430,1349834,3350475310,339091054720,136730264
KISCO홀딩스,KOSPI,,14450,350,2.48,14250,14600,13950,25397,364778100,266983691000,18476380
KPX케미칼,KOSPI,,53100,1100,2.12,52200,53400,52000,2294,121105700,257004000000,4840000
KPX홀딩스,KOSPI,,63500,1000,1.6,62200,63800,61600,6558,409180100,268265021000,4224646
KR모터스,KOSPI,,861,31,3.73,822,880,821,291852,247508373,82774273848,96137368
KSS해운,KOSPI,,11400,200,1.79,11200,11450,11000,46821,527400250,264319032000,23185880
KTcs,KOSPI,,2400,75,3.23,2305,2405,2280,181303,425694875,102444000000,42685000
