종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,3135,5,0.16,3180,3180,3110,53909,168451015,146787894825,46822295
AK홀딩스,KOSPI,,17050,550,3.33,16650,17100,16600,23294,391867850,225870915050,13247561
BGF,KOSPI,,4120,20,0.49,4155,4190,4085,166275,683608120,394353178920,95716791
BGF리테일,KOSPI,,125000,-2500,-1.96,126000,127000,123500,42326,5297225500,2160488250000,17283906
BNK금융지주,KOSPI,,5140,60,1.18,5080,5160,5070,1186841,6086492090,1675307164440,325935246
BYC,KOSPI,,242500,-1500,-0.61,244000,244000,239000,325,78723000,151469137500,624615
CJ,KOSPI,,82200,1200,1.48,81100,82300,81100,65991,5400030600,2398349235600,29176998
CJ CGV,KOSPI,,23050,1050,4.77,22800,23200,22300,982877,22480670750,809055000000,35100000
CJ대한통운,KOSPI,,156500,5000,3.3,154000,162000,153500,154707,24463724000,3570131836000,22812344
CJ씨푸드,KOSPI,,5440,-460,-7.8,5950,6080,5360,10285784,57783148570,195463405120,35930773
CJ제일제당,KOSPI,,403500,-3500,-0.86,403500,409500,398500,59447,23943913000,6074364051000,15054186
CS홀딩스,KOSPI,,56600,800,1.43,55800,56900,55800,2865,161235300,65343681200,1154482
DB,KOSPI,,703,-6,-0.85,711,711,699,178030,125270514,141425274899,201173933
DB금융투자,KOSPI,,3670,20,0.55,3670,3695,3640,121734,445698840,155778247630,42446389
DB손해보험,KOSPI,,45100,1450,3.32,43700,45100,43700,170612,7629179750,3193080000000,70800000
DB하이텍,KOSPI,,34850,-700,-1.97,35650,35700,34400,933166,32556350950,1547290791800,44398588
DGB금융지주,KOSPI,,5390,100,1.89,5260,5390,5260,655231,3511086700,911696039870,169145833
DRB동일,KOSPI,,8650,120,1.41,8500,9800,8400,1218965,11019356820,172394500000,19930000
DSR,KOSPI,,3950,70,1.8,3905,3950,3880,22265,87304425,63200000000,16000000
DSR제강,KOSPI,,4155,55,1.34,4100,4200,4100,39604,164675915,59832000000,14400000
E1,KOSPI,,48200,150,0.31,47550,50100,47000,53773,2616322550,330652000000,6860000
GKL,KOSPI,,12100,250,2.11,11800,12150,11800,300898,3605295450,748453607000,61855670
GS,KOSPI,,32650,150,0.46,32550,32800,32400,213176,6949909350,3033687091700,92915378
GS건설,KOSPI,,25750,1050,4.25,24700,25850,24700,520847,13226552450,2062518453000,80097804
GS글로벌,KOSPI,,1655,30,1.85,1630,1655,1605,167488,274830055,136593379420,82533764
GS리테일,KOSPI,,33650,700,2.12,33900,34100,33050,479440,16087791300,2591050000000,77000000
HDC,KOSPI,,11900,650,5.78,11350,12000,11250,1316658,15385968950,710926479900,59741721
HDC현대EP,KOSPI,,5080,115,2.32,5090,5160,4990,397649,2014160670,162052000000,31900000
HDC현대산업개발,KOSPI,,25550,2550,11.09,23450,26250,23150,3992617,98230180050,1683932281500,65907330
HMM,KOSPI,,5870,110,1.91,5760,5920,5760,2129529,12439691980,1917883516010,326726323
JB금융지주,KOSPI,,4310,20,0.47,4300,4330,4285,290726,1249965245,848996273140,196982894
JW생명과학,KOSPI,,19350,550,2.93,18950,21000,18850,1181256,23557118750,306398619900,15834554
JW중외제약,KOSPI,,38700,550,1.44,38200,41000,37650,1311250,51672569700,809606089800,20920054
JW홀딩스,KOSPI,,5280,130,2.52,5180,6430,5130,7888930,46471074840,350867378400,66452155
KB금융,KOSPI,,37400,550,1.49,36650,37600,36550,1747651,65165233200,15551216208000,415807920
KC그린홀딩스,KOSPI,,3600,65,1.84,3510,3620,3510,48421,172907610,80765928000,22434980
KC코트렐,KOSPI,,5480,50,0.92,5480,5550,5370,129756,710235980,71240000000,13000000
KEC,KOSPI,,1355,310,29.67,1355,1355,1355,1769329,2397440795,158137903700,116706940
KG케미칼,KOSPI,,22200,950,4.47,21550,22750,21200,382086,8393943300,288893750400,13013232
KISCO홀딩스,KOSPI,,11600,100,0.87,11500,11600,11300,6902,79186750,214326008000,18476380
KPX케미칼,KOSPI,,46600,-200,-0.43,46800,46800,46250,2614,121275000,225544000000,4840000
KPX홀딩스,KOSPI,,41350,200,0.49,41050,41350,41000,14854,611117650,174689112100,4224646
KR모터스,KOSPI,,735,30,4.26,715,745,705,2228588,1619272332,67370848230,91661018
KSS해운,KOSPI,,8170,0,0.0,8260,8260,8120,20521,167409900,189428639600,23185880
KTcs,KOSPI,,2040,0,0.0,2040,2055,2030,390126,795941275,87077400000,42685000
KTis,KOSPI,,2460,-25,-1.01,2480,2520,2460,340944,844535445,85612920000,34802000
LF,KOSPI,,12800,0,0.0,12800,13050,12700,218787,2799370950,374272000000,29240000
LG,KOSPI,,82700,0,0.0,82300,84300,82100,341958,28397317300,14270474733700,172557131
LG디스플레이,KOSPI,,14900,300,2.05,14600,14950,14550,2362025,34858929950,5331453930000,357815700
LG생활건강,KOSPI,,1513000,40000,2.72,1495000,1514000,1488000,29672,44702179000,23630332061000,15618197
SK,KOSPI,,214500,500,0.23,213500,215500,210500,200276,42853592500,15092283706500,70360297
SKC,KOSPI,,92700,200,0.22,91800,93300,90100,324424,29783335100,3479453248500,37534555
SK가스,KOSPI,,93700,-500,-0.53,95400,95400,92600,14748,1379268300,864873862800,9230244
SK네트웍스,KOSPI,,5110,-80,-1.54,5230,5250,5090,804915,4138017090,1268238876170,248187647
SK디스커버리,KOSPI,,76700,-700,-0.9,78600,80000,74400,860874,66391432500,1460203478500,19037855
SK디앤디,KOSPI,,40550,-800,-1.93,41350,41700,39700,193164,7800273650,770051150200,18990164
SK렌터카,KOSPI,,8440,40,0.48,8400,8450,8380,43418,364942090,301857781600,35765140
SK이노베이션,KOSPI,,148500,3500,2.41,145500,149500,144500,924267,136497756000,13731136254000,92465564
SK증권,KOSPI,,751,-3,-0.4,753,761,749,4110793,3098850303,354915218421,472590171
SK케미칼,KOSPI,,415000,21500,5.46,400000,430000,392500,817082,338269191000,4872679340000,11741396
SK텔레콤,KOSPI,,242000,-6000,-2.42,246000,246500,241500,528401,128747004500,19540462062000,80745711
SK하이닉스,KOSPI,,75200,100,0.13,75200,76500,75200,2538676,191845520800,54745777848000,728002365
SPC삼립,KOSPI,,61100,-600,-0.97,60600,61700,60600,9141,557834800,527232449900,8629009
STX,KOSPI,,5630,420,8.06,5160,6760,5160,2040874,12435551650,111062458260,19726902
STX엔진,KOSPI,,5690,320,5.96,5370,6860,5320,1228850,7693961820,130920663760,23008904
TCC스틸,KOSPI,,3115,-40,-1.27,3145,3245,3080,346345,1091443245,71645000000,23000000
WISCOM,KOSPI,,2320,35,1.53,2285,2365,2270,187010,429665150,35557336160,15326438
YG PLUS,KOSPI,,4985,-105,-2.06,5140,5200,4950,5197209,26272595095,294708608815,59119079
가온전선,KOSPI,,19750,1500,8.22,18250,19800,17900,55223,1053451700,82166853250,4160347
강남제비스코,KOSPI,,15150,100,0.66,15100,15250,15000,12355,186741800,98475000000,6500000
강원랜드,KOSPI,,21000,350,1.69,20600,21150,20600,517974,10830118050,4492750500000,213940500
갤럭시아에스엠,KOSPI,,1415,40,2.91,1380,1425,1365,127180,178350640,38982746260,27549644
경농,KOSPI,,16100,-50,-0.31,16100,16500,15550,416060,6657157950,349237175000,21691750
경동나비엔,KOSPI,,50800,-1000,-1.93,51900,51900,50200,69104,3504153400,647167108000,12739510
