종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,6100,-10,-0.16,6140,6190,6040,79874,487901320,285615999500,46822295
AK홀딩스,KOSPI,,15600,450,2.97,15250,15650,15250,11855,183171550,206661951600,13247561
BGF,KOSPI,,4425,60,1.37,4415,4550,4340,2141918,9473741345,423546800175,95716791
BGF리테일,KOSPI,,196500,-9000,-4.38,202500,203500,195500,40334,7999162000,3396287529000,17283906
BNK금융지주,KOSPI,,7440,50,0.68,7440,7460,7390,1448328,10750492670,2424958230240,325935246
BYC,KOSPI,,374500,2500,0.67,375000,375000,369500,88,32950500,233918317500,624615
CJ,KOSPI,,77600,900,1.17,76900,78100,76800,40724,3165001004,2264135044800,29176998
CJ CGV,KOSPI,,17550,0,0.0,18000,18000,17450,178540,3146326850,837356919750,47712645
CJ대한통운,KOSPI,,89900,1500,1.7,89500,92700,89500,172695,15660715600,2050829725600,22812344
CJ씨푸드,KOSPI,,2765,10,0.36,2770,2785,2755,44816,124074675,99348587345,35930773
CJ제일제당,KOSPI,,390000,-5000,-1.27,395500,396500,390000,30081,11789217000,5871132540000,15054186
CS홀딩스,KOSPI,,63000,200,0.32,63400,63400,62100,1356,84791300,72732366000,1154482
DB,KOSPI,,833,-1,-0.12,835,842,830,185930,155329035,167577886189,201173933
DB금융투자,KOSPI,,4650,85,1.86,4595,4665,4565,146056,675973205,197375708850,42446389
DB손해보험,KOSPI,,62300,200,0.32,61700,62500,61200,79535,4937044600,4410840000000,70800000
DB하이텍,KOSPI,,46050,1450,3.25,45800,46250,45500,649362,29806410050,2044554977400,44398588
DGB금융지주,KOSPI,,7990,70,0.88,7920,7990,7870,763402,6062270170,1351475205670,169145833
DL,KOSPI,,69300,500,0.73,69500,70000,68800,56111,3892566700,1452242761200,20955884
DL건설,KOSPI,,16800,1050,6.67,16350,18800,16150,431977,7604126600,370495171200,22053284
DN오토모티브,KOSPI,,73800,-2400,-3.15,75600,76300,73400,56314,4194952900,737557569000,9994005
DRB동일,KOSPI,,4500,115,2.62,4400,4500,4360,8814,38753790,89685000000,19930000
DSR,KOSPI,,6420,50,0.78,6400,6440,6310,75307,480921470,102720000000,16000000
DSR제강,KOSPI,,5750,-20,-0.35,5770,5870,5720,174394,1007987660,82800000000,14400000
E1,KOSPI,,49350,0,0.0,49600,50400,48900,17011,839483950,338541000000,6860000
GKL,KOSPI,,17000,100,0.59,17000,17150,16800,260094,4418260300,1051546390000,61855670
GS,KOSPI,,47850,-750,-1.54,48600,49100,47750,165882,8011035700,4446000837300,92915378
GS건설,KOSPI,,24900,1500,6.41,24000,25850,23950,3529724,88517411650,2130979101000,85581490
GS글로벌,KOSPI,,2710,0,0.0,2735,2760,2710,418783,1142563310,223666500440,82533764
GS리테일,KOSPI,,29500,-300,-1.01,29850,30100,29400,105897,3148232000,3089178699000,104717922
HDC,KOSPI,,5950,210,3.66,5840,6000,5840,137903,818789570,355463239950,59741721
HDC랩스,KOSPI,,7930,100,1.28,7830,7950,7830,6555,51786840,205843775930,25957601
HDC현대EP,KOSPI,,4175,0,0.0,4235,4250,4165,19258,80824725,133182500000,31900000
HDC현대산업개발,KOSPI,,11550,500,4.52,11200,11750,11200,403645,4659095600,761229661500,65907330
HD현대,KOSPI,,65000,500,0.78,64600,65000,64400,108867,7059004000,5134550525000,78993085
HJ중공업,KOSPI,,4470,40,0.9,4495,4590,4405,113160,509054920,372236036070,83274281
HL D&I,KOSPI,,3260,255,8.49,3020,3270,3020,416244,1323901265,123419039260,37858601
HLB글로벌,KOSPI,,6850,220,3.32,6700,6920,6700,204527,1394981670,290214237700,42367042
HL만도,KOSPI,,48500,500,1.04,48800,49250,48150,243614,11857667050,2277420320000,46957120
HL홀딩스,KOSPI,,34400,1050,3.15,33700,34550,33700,30064,1029786000,360239208000,10472070
HMM,KOSPI,,21700,-600,-2.69,22550,22650,21600,2193584,48165384250,10612157063200,489039496
JB금융지주,KOSPI,,8430,10,0.12,8460,8490,8370,358821,3025709550,1660565796420,196982894
JW생명과학,KOSPI,,12500,150,1.21,12450,12550,12350,17299,215280650,197931925000,15834554
JW중외제약,KOSPI,,19850,200,1.02,19850,20100,19650,59340,1178915650,440234907850,22178081
JW홀딩스,KOSPI,,3060,0,0.0,3065,3095,3050,23947,73424530,215560800360,70444706
KB금융,KOSPI,,53500,1000,1.9,52700,53500,52500,1365255,72643378250,21875993138000,408897068
KC그린홀딩스,KOSPI,,3255,20,0.62,3260,3585,3220,919227,3109635615,73025859900,22434980
KC코트렐,KOSPI,,2585,35,1.37,2545,2660,2500,376928,973754440,45497178760,17600456
KEC,KOSPI,,2465,45,1.86,2460,2490,2430,2341784,5758864395,356841142565,144763141
KG스틸,KOSPI,,9140,70,0.77,9180,9290,9080,346992,3180604100,914081318580,100008897
KG케미칼,KOSPI,,24700,550,2.28,24550,24850,24150,90857,2227639800,342492571200,13866096
KH 필룩스,KOSPI,,1040,80,8.33,964,1060,961,3257809,3306742602,163030800400,156760385
KISCO홀딩스,KOSPI,,17000,-350,-2.02,17300,17750,16950,37164,643907650,274998460000,16176380
KPX케미칼,KOSPI,,50600,-100,-0.2,51000,51000,50100,1134,57217700,244904000000,4840000
KPX홀딩스,KOSPI,,55300,200,0.36,55200,55300,54900,481,26470100,233622923800,4224646
KR모터스,KOSPI,,588,-4,-0.68,595,596,586,256864,151178662,56529417420,96138465
KSS해운,KOSPI,,9740,150,1.56,9640,9930,9590,63638,621590350,224856471200,23085880
KTcs,KOSPI,,2330,10,0.43,2340,2340,2310,73923,171708410,99456050000,42685000
KTis,KOSPI,,2640,20,0.76,2620,2640,2600,56287,147313920,91877280000,34802000
LF,KOSPI,,16250,200,1.25,16300,16600,16150,55559,915987850,475150000000,29240000
LG,KOSPI,,84600,500,0.59,84600,85500,84400,137506,11659230500,13307664007800,157300993
LG디스플레이,KOSPI,,14800,350,2.42,14750,15150,14700,1816107,27125948300,5295672360000,357815700
LG생활건강,KOSPI,,646000,-10000,-1.52,673000,679000,639000,86869,56657683000,10089355262000,15618197
LG유플러스,KOSPI,,12050,-50,-0.41,12200,12250,12000,678871,8210217550,5261166900050,436611361
LG이노텍,KOSPI,,313500,3000,0.97,318500,324500,313000,287790,91324449000,7419638044500,23667107
LG전자,KOSPI,,96200,-1400,-1.43,98900,99000,96100,656245,63891192400,15742919706800,163647814
