종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4635,-80,-1.7,4685,4690,4565,91792,422842980,209746537965,45252759
AK홀딩스,KOSPI,,10970,-30,-0.27,11050,11260,10930,3692,40748930,145325744170,13247561
BGF,KOSPI,,3555,-20,-0.56,3575,3575,3545,51459,183183190,340273192005,95716791
BGF리테일,KOSPI,,106800,-1400,-1.29,108900,108900,106100,24089,2573176900,1845921160800,17283906
BNK금융지주,KOSPI,,10920,360,3.41,10600,10970,10520,1669408,17919011215,3499169058840,320436727
BYC,KOSPI,,29900,-300,-0.99,30650,30650,29900,383,11489100,186759885000,6246150
CJ,KOSPI,,94900,-1100,-1.15,97100,97300,94500,45305,4315656200,2768897110200,29176998
CJ CGV,KOSPI,,5520,-50,-0.9,5620,5650,5500,195935,1087816880,914002008480,165580074
CJ대한통운,KOSPI,,82000,100,0.12,82700,83500,81800,41669,3439014400,1870612208000,22812344
CJ씨푸드,KOSPI,,2835,-70,-2.41,2915,2930,2830,132694,379993660,101863741455,35930773
CJ제일제당,KOSPI,,263500,0,0.0,265500,266000,261000,34442,9092465000,3966778011000,15054186
CS홀딩스,KOSPI,,69400,-400,-0.57,69700,69800,66000,1074,73770700,80121050800,1154482
DB,KOSPI,,1400,-35,-2.44,1434,1449,1395,267369,378669504,281643506200,201173933
DB금융투자,KOSPI,,5230,70,1.36,5160,5240,5140,37305,193917820,221994614470,42446389
DB손해보험,KOSPI,,109300,100,0.09,110600,111000,108500,145148,15912683300,7738440000000,70800000
DB하이텍,KOSPI,,30250,-1150,-3.66,31350,31700,30150,218442,6695096400,1343057287000,44398588
DGB금융지주,KOSPI,,8970,100,1.13,8950,9030,8810,813266,7281537010,1517238122010,169145833
DL,KOSPI,,34500,-100,-0.29,34950,35200,34400,42957,1490416650,722977998000,20955884
DN오토모티브,KOSPI,,18320,-160,-0.87,18480,18690,18180,65057,1198219390,1082086646800,59065865
DRB동일,KOSPI,,4205,-170,-3.89,4335,4360,4205,47921,205235735,83805650000,19930000
DSR,KOSPI,,3895,-20,-0.51,3880,3915,3850,7054,27419305,62320000000,16000000
DSR제강,KOSPI,,3330,-55,-1.62,3380,3380,3320,9423,31429965,47952000000,14400000
E1,KOSPI,,73400,-400,-0.54,74200,74200,72500,4974,363351900,503524000000,6860000
GKL,KOSPI,,11840,120,1.02,11790,11900,11570,136782,1610939380,732371132800,61855670
GS,KOSPI,,41950,150,0.36,41950,42150,41550,107272,4486927000,3897800107100,92915378
GS건설,KOSPI,,19280,-200,-1.03,19480,19630,19000,279157,5376625710,1650011127200,85581490
GS글로벌,KOSPI,,2835,-130,-4.38,2900,2990,2810,1645278,4709662175,233983220940,82533764
GS리테일,KOSPI,,23150,0,0.0,0,0,0,0,0,2424219894300,104717922
HDC,KOSPI,,11680,-350,-2.91,11960,12010,11460,136961,1601963380,697783301280,59741721
HDC랩스,KOSPI,,8350,60,0.72,8290,8380,8150,18945,157385650,216745968350,25957601
HDC현대EP,KOSPI,,3580,-60,-1.65,3640,3680,3575,35793,128956330,114202000000,31900000
HDC현대산업개발,KOSPI,,20200,-450,-2.18,20400,20900,19870,268209,5394847880,1331328066000,65907330
HD한국조선해양,KOSPI,,195500,-9000,-4.4,207500,207500,191600,351044,69085897300,13836144178000,70773116
HD현대,KOSPI,,77000,-800,-1.03,78900,78900,76700,89452,6927154100,6082467545000,78993085
HD현대건설기계,KOSPI,,61600,-100,-0.16,62500,63000,61500,106084,6588255400,1127624097600,18305586
HD현대마린엔진,KOSPI,,18840,-890,-4.51,19830,19900,18820,538296,10270226100,639080965800,33921495
HD현대미포,KOSPI,,119700,-5900,-4.7,127600,127700,118000,309679,37445969700,4781075235300,39942149
HD현대인프라코어,KOSPI,,7400,-180,-2.37,7650,7650,7400,861574,6422829940,1425653415800,192655867
HD현대일렉트릭,KOSPI,,335000,-14500,-4.15,351500,354000,334000,228017,77383157500,12075790225000,36047135
HJ중공업,KOSPI,,4500,-55,-1.21,4570,4660,4450,553397,2529151435,374734264500,83274281
HL D&I,KOSPI,,2320,-25,-1.07,2360,2380,2270,57024,131972885,87831954320,37858601
HLB글로벌,KOSPI,,3990,0,0.0,3990,4045,3945,107750,429410335,191650261530,48032647
HL만도,KOSPI,,38650,50,0.13,39150,40300,38350,205809,8063511450,1814892688000,46957120
HL홀딩스,KOSPI,,34600,100,0.29,34500,34700,34250,6537,226067050,351861586000,10169410
HMM,KOSPI,,17650,-310,-1.73,18110,18150,17650,829475,14788987430,15550347104400,881039496
HS애드,KOSPI,,6430,20,0.31,6460,6460,6390,6127,39306160,106528439870,16567409
HS화성,KOSPI,,9090,-70,-0.76,9220,9230,9080,3493,31886210,92263500000,10150000
HS효성첨단소재,KOSPI,,170400,1600,0.95,169100,173400,169000,18934,3245296700,763383139200,4479948
JB금융지주,KOSPI,,19440,-240,-1.22,19820,19850,19290,337195,6578233360,3792417369120,195083198
JW생명과학,KOSPI,,11440,-20,-0.17,11460,11600,11370,41338,474082890,181147297760,15834554
JW중외제약,KOSPI,,23250,-300,-1.27,23700,23750,23100,57944,1351322850,541397872500,23285930
JW홀딩스,KOSPI,,2870,0,0.0,2900,2930,2855,23010,66049150,212164583540,73924942
KB금융,KOSPI,,96400,200,0.21,96800,97200,95900,719699,69443717500,37936139977200,393528423
KC그린홀딩스,KOSPI,,1075,63,6.23,1012,1113,1012,304274,322052885,24117603500,22434980
KC코트렐,KOSPI,,526,13,2.53,513,550,500,311043,162588793,33776737054,64214329
KEC,KOSPI,,774,-9,-1.15,788,807,774,542619,425114180,155390671134,200763141
KG스틸,KOSPI,,6570,-50,-0.76,6620,6680,6490,172865,1136474070,657058453290,100008897
KG케미칼,KOSPI,,3860,-85,-2.15,3950,4000,3750,168154,649765760,264290494400,68469040
KH 필룩스,KOSPI,,6630,0,0.0,0,0,0,0,0,125330728770,18903579
KIB플러그에너지,KOSPI,,515,0,0.0,0,0,0,0,0,122045495160,236981544
KISCO홀딩스,KOSPI,,20900,-300,-1.42,21050,21400,20850,5430,113882100,338086342000,16176380
KPX케미칼,KOSPI,,44900,-50,-0.11,45150,45150,44300,6900,307166750,217316000000,4840000
KPX홀딩스,KOSPI,,54600,-1000,-1.8,55600,55600,54600,1286,70684000,230665671600,4224646
KR모터스,KOSPI,,437,-8,-1.8,447,449,434,172423,75827048,26278063316,60132868
KSS해운,KOSPI,,8640,-80,-0.92,8780,8780,8610,25131,217373480,199462003200,23085880
KTcs,KOSPI,,2880,-5,-0.17,3005,3005,2850,749648,2180607290,122932800000,42685000
KTis,KOSPI,,2695,10,0.37,2715,2750,2690,275796,747066435,93791390000,34802000
LF,KOSPI,,15550,-160,-1.02,15750,15850,15200,34003,527682260,454682000000,29240000
LG,KOSPI,,75300,400,0.53,76300,76400,74900,135001,10188855000,11844764772900,157300993
LG디스플레이,KOSPI,,9560,80,0.84,9570,9600,9460,767350,7317029370,4780000000000,500000000
LG생활건강,KOSPI,,316000,5500,1.77,315500,320000,313500,30496,9668093500,4935350252000,15618197
SJG세종,KOSPI,,4060,-90,-2.17,4125,4145,4015,44977,183225445,112953101660,27820961
SK,KOSPI,,136000,-600,-0.44,138600,139200,135900,75034,10268545500,9860367608000,72502703
SKC,KOSPI,,98300,-600,-0.61,99900,101900,97400,201647,19994765800,3722453693400,37868298
SK가스,KOSPI,,211500,-5500,-2.53,217000,219500,209500,7790,1655861000,1952196606000,9230244
SK네트웍스,KOSPI,,4300,-45,-1.04,4345,4350,4240,496838,2127768015,951494978600,221277902
SK디스커버리,KOSPI,,37600,800,2.17,36750,37800,36750,26286,984961050,706348148000,18785855
SK디앤디,KOSPI,,7540,30,0.4,7600,7600,7460,45297,339372740,140375060280,18617382
SK이노베이션,KOSPI,,113500,-1100,-0.96,116700,117200,112900,185130,21239809200,17142447076000,151034776
SK증권,KOSPI,,493,-3,-0.6,500,501,493,824722,408349653,232986954303,472590171
SK케미칼,KOSPI,,42300,250,0.59,42200,42550,41600,19932,840303800,729835020900,17253783
SK텔레콤,KOSPI,,60900,-500,-0.81,61800,61800,60400,827485,50398057012,13080714227700,214790053
SK하이닉스,KOSPI,,158800,-1100,-0.69,162200,162700,158600,3558868,570038249000,115606775562000,728002365
SNT다이내믹스,KOSPI,,19040,-600,-3.05,19640,19660,19010,103589,1986197640,633131350880,33252697
SNT모티브,KOSPI,,41350,0,0.0,41550,42150,41100,5134,213144200,604666673600,14623136
SNT에너지,KOSPI,,18070,1170,6.92,16770,18380,16710,550068,9848425430,373701748810,20680783
SNT홀딩스,KOSPI,,22600,-250,-1.09,22600,22800,22450,6009,135665350,368467823600,16303886
SPC삼립,KOSPI,,46600,-500,-1.06,47150,47300,46250,4092,190826450,402111819400,8629009
STX,KOSPI,,4630,-130,-2.73,4880,4990,4620,188011,889313880,143613002010,31017927
STX엔진,KOSPI,,18750,-400,-2.09,19160,19400,18110,304686,5670510310,431416950000,23008904
SUN&L,KOSPI,,2490,-145,-5.5,2635,2640,2450,25608,64475640,31393892610,12607989
TCC스틸,KOSPI,,34000,-750,-2.16,34800,36150,33750,160234,5574924300,891265698000,26213697
