종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4270,130,3.14,4220,4455,4220,750043,3259404390,199931199650,46822295
AK홀딩스,KOSPI,,19150,-180,-0.93,19400,19400,19030,17374,332819650,253690793150,13247561
BGF,KOSPI,,3655,30,0.83,3625,3655,3620,31046,113174235,349844871105,95716791
BGF리테일,KOSPI,,156300,-100,-0.06,156200,158500,156200,24291,3822469800,2701474507800,17283906
BNK금융지주,KOSPI,,6770,-50,-0.73,6790,6820,6760,556071,3776490560,2180538725260,322088438
BYC,KOSPI,,419000,3500,0.84,419500,419500,412000,30,12519500,261713685000,624615
CJ,KOSPI,,73200,2900,4.13,70600,76500,70300,440899,32807292000,2135756253600,29176998
CJ CGV,KOSPI,,7410,-450,-5.73,7790,7790,7400,310159,2340173480,353678395980,47729878
CJ대한통운,KOSPI,,82300,3400,4.31,78200,82900,78100,125807,10307310100,1877455911200,22812344
CJ씨푸드,KOSPI,,3325,-70,-2.06,3370,3400,3310,301526,1007197330,119469820225,35930773
CJ제일제당,KOSPI,,299500,500,0.17,297500,300500,295000,30178,9005687000,4508728707000,15054186
CS홀딩스,KOSPI,,57100,-700,-1.21,57700,57700,57000,732,41953600,65920922200,1154482
DB,KOSPI,,1790,5,0.28,1785,1813,1770,632377,1134624059,360101340070,201173933
DB금융투자,KOSPI,,4095,25,0.61,4095,4095,4060,16793,68523215,173817962955,42446389
DB손해보험,KOSPI,,82400,700,0.86,81700,83300,81700,112588,9299345704,5833920000000,70800000
DB하이텍,KOSPI,,54700,1200,2.24,53500,55200,53100,462071,25204657700,2428602763600,44398588
DGB금융지주,KOSPI,,7440,-60,-0.8,7460,7500,7430,162308,1210256360,1258444997520,169145833
DL,KOSPI,,37800,-400,-1.05,38000,38700,37750,33291,1270306100,792132415200,20955884
DL건설,KOSPI,,12070,140,1.17,11930,12170,11920,9782,118087730,266183137880,22053284
DN오토모티브,KOSPI,,88300,-500,-0.56,89100,89100,86700,32325,2836343200,882470641500,9994005
DRB동일,KOSPI,,5220,-60,-1.14,5280,5280,5150,12462,65117940,104034600000,19930000
DSR,KOSPI,,4650,20,0.43,4630,4665,4610,8658,40281180,74400000000,16000000
DSR제강,KOSPI,,4595,-5,-0.11,4600,4675,4555,21983,101700705,66168000000,14400000
E1,KOSPI,,56300,-1100,-1.92,57600,58000,56300,13034,742646700,386218000000,6860000
GKL,KOSPI,,16270,100,0.62,16070,16450,16030,357602,5818628900,1006391750900,61855670
GS,KOSPI,,38000,450,1.2,37700,38450,37700,146203,5574332525,3530784364000,92915378
GS건설,KOSPI,,14420,-110,-0.76,14540,14790,14420,613348,8939853930,1234085085800,85581490
GS글로벌,KOSPI,,2575,10,0.39,2565,2600,2550,401365,1035040890,212524442300,82533764
GS리테일,KOSPI,,23500,-150,-0.63,23400,23700,23300,147634,3478108350,2460871167000,104717922
HDC,KOSPI,,6150,-70,-1.13,6270,6270,6150,32480,201119540,367411584150,59741721
HDC랩스,KOSPI,,7960,-20,-0.25,8000,8030,7910,10689,85174280,206622503960,25957601
HDC현대EP,KOSPI,,4130,-30,-0.72,4160,4165,4085,17947,73922410,131747000000,31900000
HDC현대산업개발,KOSPI,,10250,-70,-0.68,10320,10440,10250,150742,1554726770,675550132500,65907330
HD한국조선해양,KOSPI,,120800,-2900,-2.34,123000,124500,120600,225595,27465274300,8549392412800,70773116
HD현대,KOSPI,,58500,-600,-1.02,58800,59400,58500,148212,8709257900,4621095472500,78993085
HD현대건설기계,KOSPI,,70100,-1100,-1.54,71800,71900,69700,83102,5850206300,1381025589300,19700793
HD현대인프라코어,KOSPI,,10140,-390,-3.7,10530,10690,10070,1883214,19517240940,2023979013420,199603453
HD현대일렉트릭,KOSPI,,63100,-7300,-10.37,70000,70000,61400,1027895,66067763000,2274574218500,36047135
HJ중공업,KOSPI,,3750,-65,-1.7,3820,3860,3710,49834,187828465,312278553750,83274281
HL D&I,KOSPI,,2345,10,0.43,2320,2375,2320,12385,29110520,88778419345,37858601
HLB글로벌,KOSPI,,3810,-90,-2.31,3900,3935,3800,75826,290812790,161442878790,42373459
HL만도,KOSPI,,42050,150,0.36,41600,42150,41600,183787,7705488350,1974546896000,46957120
HL홀딩스,KOSPI,,35550,-350,-0.97,36200,36200,35350,11266,400889050,361522525500,10169410
HMM,KOSPI,,16600,-60,-0.36,16660,16760,16420,1306852,21689780220,8118055633600,489039496
HS애드,KOSPI,,5980,0,0.0,5960,5990,5940,4608,27452410,99073105820,16567409
JB금융지주,KOSPI,,9550,-160,-1.65,9610,9720,9450,451794,4320665020,1881186637700,196982894
JW생명과학,KOSPI,,14530,300,2.11,14230,14630,14230,48051,697279310,230076069620,15834554
JW중외제약,KOSPI,,43650,-2400,-5.21,46950,47450,43500,605739,27258682250,996749321400,22835036
