종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,연도,분기
BGF,KOSPI,,5050,10,0.2,5040,5060,4995,88537,445797890,483369794550,95716791,2022,Q1
BGF,KOSPI,,5170,10,0.19,5160,5230,5150,128318,666818110,494855809470,95716791,2022,Q2
BGF,KOSPI,,3990,-55,-1.36,4040,4045,3985,115957,464933670,381909996090,95716791,2022,Q3
BGF,KOSPI,,4425,60,1.37,4415,4550,4340,2141918,9473741345,423546800175,95716791,2022,Q4
BGF,KOSPI,,4645,25,0.54,4620,4800,4620,97517,453724645,444604494195,95716791,2023,Q1
BGF,KOSPI,,4080,-25,-0.61,4105,4125,4075,76244,311826660,390524507280,95716791,2023,Q2
BGF,KOSPI,,3655,30,0.83,3625,3655,3620,31046,113174235,349844871105,95716791,2023,Q3
BGF,KOSPI,,3720,105,2.9,3690,4050,3640,2656314,10345364930,356066462520,95716791,2023,Q4
BGF,KOSPI,,3925,5,0.13,3900,3975,3900,78711,310077230,375688404675,95716791,2024,Q1
BGF,KOSPI,,3680,110,3.08,3575,3690,3575,123946,451156720,352237790880,95716791,2024,Q2
BGF,KOSPI,,3505,0,0.0,3505,3515,3460,45771,159328500,335487352455,95716791,2024,Q3
BGF,KOSPI,,3555,-20,-0.56,3575,3575,3545,51459,183183190,340273192005,95716791,2024,Q4
BGF리테일,KOSPI,,150000,-1500,-0.99,153000,154000,146500,35744,5380450500,2592585900000,17283906,2020,Q1
BGF리테일,KOSPI,,162000,-5000,-2.99,162000,164000,160500,41530,6726443500,2799992772000,17283906,2020,Q2
BGF리테일,KOSPI,,125000,-2500,-1.96,126000,127000,123500,42326,5297225500,2160488250000,17283906,2020,Q3
BGF리테일,KOSPI,,126000,500,0.4,126500,126500,125000,24477,3081328500,2177772156000,17283906,2020,Q4
BGF리테일,KOSPI,,159000,0,0.0,159500,163000,155500,33430,5322580500,2748141054000,17283906,2021,Q1
BGF리테일,KOSPI,,184000,2500,1.38,182500,188500,181500,39293,7234372000,3180238704000,17283906,2021,Q2
BGF리테일,KOSPI,,180500,2000,1.12,176000,181000,176000,19851,3550042000,3119745033000,17283906,2021,Q3
BGF리테일,KOSPI,,143500,-2500,-1.71,146000,146500,141000,51220,7350061000,2480240511000,17283906,2021,Q4
BGF리테일,KOSPI,,163000,-6500,-3.83,166000,166500,159000,89785,14650751500,2817276678000,17283906,2022,Q1
BGF리테일,KOSPI,,183500,0,0.0,181500,183500,181000,22608,4124337500,3171596751000,17283906,2022,Q2
BGF리테일,KOSPI,,157500,-3000,-1.87,159000,161000,155500,64367,10132832000,2722215195000,17283906,2022,Q3
BGF리테일,KOSPI,,196500,-9000,-4.38,202500,203500,195500,40334,7999162000,3396287529000,17283906,2022,Q4
BGF리테일,KOSPI,,182000,1300,0.72,179100,183400,179000,27383,4974991700,3145670892000,17283906,2023,Q1
BGF리테일,KOSPI,,184400,-6000,-3.15,190400,190400,184200,32207,5980098400,3187152266400,17283906,2023,Q2
BGF리테일,KOSPI,,156300,-100,-0.06,156200,158500,156200,24291,3822469800,2701474507800,17283906,2023,Q3
BGF리테일,KOSPI,,136900,1200,0.88,136600,141400,136600,140282,19422970000,2366166731400,17283906,2023,Q4
BGF리테일,KOSPI,,131000,-1100,-0.83,132600,133400,131000,51161,6759658000,2264191686000,17283906,2024,Q1
BGF리테일,KOSPI,,118700,2200,1.89,117700,119300,116800,40602,4807997090,2051599642200,17283906,2024,Q2
BGF리테일,KOSPI,,119300,1300,1.1,118000,119700,117000,43534,5185795900,2061969985800,17283906,2024,Q3
BGF리테일,KOSPI,,106800,-1400,-1.29,108900,108900,106100,24089,2573176900,1845921160800,17283906,2024,Q4
BNK금융지주,KOSPI,,6100,-70,-1.13,6170,6240,6060,987651,6032655030,1988205000600,325935246,2020,Q1
BNK금융지주,KOSPI,,5170,90,1.77,5090,5200,5060,1683211,8644352460,1685085221820,325935246,2020,Q2
BNK금융지주,KOSPI,,5140,60,1.18,5080,5160,5070,1186841,6086492090,1675307164440,325935246,2020,Q3
BNK금융지주,KOSPI,,5720,90,1.6,5690,5750,5660,4614160,26361995300,1864349607120,325935246,2020,Q4
BNK금융지주,KOSPI,,5940,40,0.68,5940,5990,5900,1485084,8838016860,1936055361240,325935246,2021,Q1
BNK금융지주,KOSPI,,7990,40,0.5,7940,8000,7890,1299625,10347296750,2604222615540,325935246,2021,Q2
BNK금융지주,KOSPI,,7880,120,1.55,7740,7890,7730,794183,6218424790,2568369738480,325935246,2021,Q3
BNK금융지주,KOSPI,,8140,140,1.75,8050,8160,7900,1106685,8928466920,2653112902440,325935246,2021,Q4
BNK금융지주,KOSPI,,7600,-280,-3.55,7780,7780,7560,2149943,16426528840,2477107869600,325935246,2022,Q1
BNK금융지주,KOSPI,,7770,-120,-1.52,7830,7850,7770,704528,5494102910,2532516861420,325935246,2022,Q2
BNK금융지주,KOSPI,,6600,-110,-1.64,6670,6680,6590,1637919,10855465270,2151172623600,325935246,2022,Q3
BNK금융지주,KOSPI,,7440,50,0.68,7440,7460,7390,1448328,10750492670,2424958230240,325935246,2022,Q4
BNK금융지주,KOSPI,,6690,-10,-0.15,6680,6740,6640,840148,5614292720,2180506795740,325935246,2023,Q1
BNK금융지주,KOSPI,,6720,10,0.15,6710,6750,6700,536419,3608629390,2190284853120,325935246,2023,Q2
BNK금융지주,KOSPI,,6770,-50,-0.73,6790,6820,6760,556071,3776490560,2180538725260,322088438,2023,Q3
BNK금융지주,KOSPI,,7160,-10,-0.14,7170,7190,7150,331116,2372838180,2306153216080,322088438,2023,Q4
BNK금융지주,KOSPI,,7650,150,2.0,7540,7660,7460,1832983,13926609020,2463976550700,322088438,2024,Q1
BNK금융지주,KOSPI,,8430,-20,-0.24,8480,8510,8400,327126,2761520830,2715205532340,322088438,2024,Q2
BNK금융지주,KOSPI,,9930,-230,-2.26,10140,10140,9900,736236,7331307850,3198338189340,322088438,2024,Q3
BNK금융지주,KOSPI,,10920,360,3.41,10600,10970,10520,1669408,17919011215,3499169058840,320436727,2024,Q4
BYC,KOSPI,,207000,0,0.0,209000,209000,201000,748,153088000,129295305000,624615,2020,Q1
BYC,KOSPI,,209000,2000,0.97,207000,210000,206000,401,83422000,130544535000,624615,2020,Q2
BYC,KOSPI,,242500,-1500,-0.61,244000,244000,239000,325,78723000,151469137500,624615,2020,Q3
BYC,KOSPI,,294500,1000,0.34,293500,298000,288000,1405,409560500,183949117500,624615,2020,Q4
BYC,KOSPI,,358500,-11000,-2.98,369500,369500,357000,1187,427351500,223924477500,624615,2021,Q1
BYC,KOSPI,,448000,14500,3.34,434500,498500,434500,4533,2088211000,279827520000,624615,2021,Q2
BYC,KOSPI,,410000,-2000,-0.49,405000,423500,405000,406,168184500,256092150000,624615,2021,Q3
BYC,KOSPI,,418500,-500,-0.12,443500,443500,413500,384,160718500,261401377500,624615,2021,Q4
BYC,KOSPI,,459000,4500,0.99,454500,459500,454500,189,86410000,286698285000,624615,2022,Q1
BYC,KOSPI,,435000,-2000,-0.46,437000,440000,433500,310,135583000,271707525000,624615,2022,Q2
BYC,KOSPI,,399500,4000,1.01,396000,402500,395500,34,13566000,249533692500,624615,2022,Q3
BYC,KOSPI,,374500,2500,0.67,375000,375000,369500,88,32950500,233918317500,624615,2022,Q4
BYC,KOSPI,,542000,43500,8.73,500000,548000,500000,3403,1796935000,338541330000,624615,2023,Q1
BYC,KOSPI,,420000,500,0.12,419500,421500,416500,40,16731000,262338300000,624615,2023,Q2
BYC,KOSPI,,419000,3500,0.84,419500,419500,412000,30,12519500,261713685000,624615,2023,Q3
BYC,KOSPI,,406000,-6500,-1.58,402500,424000,402500,162,66500000,253593690000,624615,2023,Q4
BYC,KOSPI,,441000,11500,2.68,432000,445000,432000,441,195902000,275455215000,624615,2024,Q1
BYC,KOSPI,,35550,-500,-1.39,36050,36500,35550,3272,117388400,222050632500,6246150,2024,Q2
BYC,KOSPI,,34500,200,0.58,34600,34950,34300,1590,54965100,215492175000,6246150,2024,Q3
BYC,KOSPI,,29900,-300,-0.99,30650,30650,29900,383,11489100,186759885000,6246150,2024,Q4
CJ,KOSPI,,79400,-1100,-1.37,81700,82500,79100,123964,9961801900,2316653641200,29176998,2020,Q1
CJ,KOSPI,,92000,100,0.11,90300,92000,89600,71829,6532188000,2684283816000,29176998,2020,Q2
CJ,KOSPI,,82200,1200,1.48,81100,82300,81100,65991,5400030600,2398349235600,29176998,2020,Q3
CJ,KOSPI,,79600,500,0.63,79900,79900,79100,71806,5697434700,2322489040800,29176998,2020,Q4
CJ,KOSPI,,91400,-1300,-1.4,93600,94200,90900,116297,10729741100,2666777617200,29176998,2021,Q1
CJ,KOSPI,,114500,0,0.0,115000,118000,114500,221664,25727803500,3340766271000,29176998,2021,Q2
CJ,KOSPI,,101500,0,0.0,102000,102500,100500,54037,5502077500,2961465297000,29176998,2021,Q3
CJ,KOSPI,,80300,300,0.38,79500,80900,79400,91120,7301103774,2342912939400,29176998,2021,Q4
CJ,KOSPI,,84100,0,0.0,84000,84900,83300,32212,2712009300,2453785531800,29176998,2022,Q1
CJ,KOSPI,,83600,-1800,-2.11,83600,85300,83400,41030,3438383200,2439197032800,29176998,2022,Q2
CJ,KOSPI,,76800,-1400,-1.79,77700,78200,76800,35990,2784287600,2240793446400,29176998,2022,Q3
CJ,KOSPI,,77600,900,1.17,76900,78100,76800,40724,3165001004,2264135044800,29176998,2022,Q4
CJ,KOSPI,,86800,-100,-0.12,86900,87500,86100,92154,8004123800,2532563426400,29176998,2023,Q1
CJ,KOSPI,,86300,-2300,-2.6,88600,89400,86100,93771,8158127500,2517974927400,29176998,2023,Q2
CJ,KOSPI,,73200,2900,4.13,70600,76500,70300,440899,32807292000,2135756253600,29176998,2023,Q3
CJ,KOSPI,,91000,-1000,-1.09,91800,92700,90600,65065,5958107800,2655106818000,29176998,2023,Q4
CJ,KOSPI,,96200,-700,-0.72,97900,98800,96000,102878,9991505680,2806827207600,29176998,2024,Q1
CJ,KOSPI,,133900,-4000,-2.9,138100,138100,132100,135065,18081018300,3906800032200,29176998,2024,Q2
CJ,KOSPI,,111900,0,0.0,112900,114200,110000,80876,9055838000,3264906076200,29176998,2024,Q3
CJ,KOSPI,,94900,-1100,-1.15,97100,97300,94500,45305,4315656200,2768897110200,29176998,2024,Q4
CJ CGV,KOSPI,,24150,550,2.33,23700,24750,23400,217837,5219926450,511045708950,21161313,2020,Q1
CJ CGV,KOSPI,,23950,800,3.46,23650,24000,23500,298212,7098556500,506813446350,21161313,2020,Q2
CJ CGV,KOSPI,,23050,1050,4.77,22800,23200,22300,982877,22480670750,809055000000,35100000,2020,Q3
CJ CGV,KOSPI,,22950,50,0.22,22900,23200,22700,381589,8759596350,805545000000,35100000,2020,Q4
CJ CGV,KOSPI,,27300,-700,-2.5,28500,28600,27300,498375,13833662650,958230000000,35100000,2021,Q1
CJ CGV,KOSPI,,33100,-350,-1.05,33550,34000,32700,950431,31454040150,1161810000000,35100000,2021,Q2
CJ CGV,KOSPI,,31150,850,2.81,30350,31500,30150,882043,27467291600,1155177128700,37084338,2021,Q3
CJ CGV,KOSPI,,22850,450,2.01,22400,22900,21700,438707,9824026450,867085636750,37946855,2021,Q4
CJ CGV,KOSPI,,26200,350,1.35,25800,26300,25400,343867,8944775150,1069206699200,40809416,2022,Q1
CJ CGV,KOSPI,,27000,-650,-2.35,26650,27100,26250,875239,23394347450,1102854609000,40846467,2022,Q2
CJ CGV,KOSPI,,20050,-500,-2.43,20300,20500,20000,152683,3082770850,956177061450,47689629,2022,Q3
CJ CGV,KOSPI,,17550,0,0.0,18000,18000,17450,178540,3146326850,837356919750,47712645,2022,Q4
CJ CGV,KOSPI,,17080,140,0.83,17280,17500,17020,74731,1280327700,815138883720,47724759,2023,Q1
CJ CGV,KOSPI,,16150,550,3.53,15750,16180,15630,261657,4195098390,770802128900,47727686,2023,Q2
CJ CGV,KOSPI,,7410,-450,-5.73,7790,7790,7400,310159,2340173480,353678395980,47729878,2023,Q3
CJ CGV,KOSPI,,5490,-70,-1.26,5560,5640,5460,569041,3140059430,672147891900,122431310,2023,Q4
CJ CGV,KOSPI,,5930,-250,-4.05,6240,6300,5890,2228419,13524073620,726020722250,122431825,2024,Q1
CJ CGV,KOSPI,,5640,-30,-0.53,5650,5700,5590,308385,1744970660,690518482200,122432355,2024,Q2
CJ CGV,KOSPI,,6950,-220,-3.07,7210,7290,6900,1477323,10413490250,1150779179100,165579738,2024,Q3
CJ CGV,KOSPI,,5520,-50,-0.9,5620,5650,5500,195935,1087816880,914002008480,165580074,2024,Q4
CJ대한통운,KOSPI,,132000,-1500,-1.12,134500,135500,130000,46323,6153402000,3011229408000,22812344,2020,Q1
CJ대한통운,KOSPI,,163500,2500,1.55,159000,163500,158500,51806,8399968500,3729818244000,22812344,2020,Q2
CJ대한통운,KOSPI,,156500,5000,3.3,154000,162000,153500,154707,24463724000,3570131836000,22812344,2020,Q3
CJ대한통운,KOSPI,,164500,-1500,-0.9,166000,166000,164000,49589,8163733000,3752630588000,22812344,2020,Q4
CJ대한통운,KOSPI,,163000,-1000,-0.61,166000,166500,162000,57658,9457133500,3718412072000,22812344,2021,Q1
