종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,5200,-130,-2.44,5340,5360,5150,458634,2391102900,243475934000,46822295
AK홀딩스,KOSPI,,18130,-190,-1.04,18320,18700,18130,19022,349004830,240178280930,13247561
BGF,KOSPI,,4645,25,0.54,4620,4800,4620,97517,453724645,444604494195,95716791
BGF리테일,KOSPI,,182000,1300,0.72,179100,183400,179000,27383,4974991700,3145670892000,17283906
BNK금융지주,KOSPI,,6690,-10,-0.15,6680,6740,6640,840148,5614292720,2180506795740,325935246
BYC,KOSPI,,542000,43500,8.73,500000,548000,500000,3403,1796935000,338541330000,624615
CJ,KOSPI,,86800,-100,-0.12,86900,87500,86100,92154,8004123800,2532563426400,29176998
CJ CGV,KOSPI,,17080,140,0.83,17280,17500,17020,74731,1280327700,815138883720,47724759
CJ대한통운,KOSPI,,83600,1900,2.33,82000,84600,81800,57904,4834464500,1907111958400,22812344
CJ씨푸드,KOSPI,,3400,-5,-0.15,3385,3440,3350,114308,387471240,122164628200,35930773
CJ제일제당,KOSPI,,319500,-1500,-0.47,318500,321000,315500,54605,17371467500,4809812427000,15054186
CS홀딩스,KOSPI,,64800,700,1.09,64100,64900,64100,2071,133833100,74810433600,1154482
DB,KOSPI,,1587,43,2.78,1593,1593,1526,2719394,4263630416,319263031671,201173933
DB금융투자,KOSPI,,4175,-10,-0.24,4195,4230,4170,28404,118938885,177213674075,42446389
DB손해보험,KOSPI,,77800,800,1.04,77000,78900,77000,242343,18897715500,5508240000000,70800000
DB하이텍,KOSPI,,44750,-550,-1.21,45400,45700,44200,480992,21627616800,1986836813000,44398588
DGB금융지주,KOSPI,,7790,-110,-1.39,7900,7920,7780,379189,2965105700,1317646039070,169145833
DL,KOSPI,,58500,-400,-0.68,59000,59800,58100,51470,3027055900,1225919214000,20955884
DL건설,KOSPI,,14710,-60,-0.41,14800,14950,14670,17726,262362650,324403807640,22053284
DN오토모티브,KOSPI,,73000,2500,3.55,73300,74200,71800,73372,5375566300,729562365000,9994005
DRB동일,KOSPI,,4530,-5,-0.11,4505,4590,4490,7198,32529195,90282900000,19930000
DSR,KOSPI,,6000,240,4.17,5760,6010,5720,49167,288791280,96000000000,16000000
DSR제강,KOSPI,,5870,160,2.8,5710,5890,5710,144953,843749880,84528000000,14400000
E1,KOSPI,,49050,250,0.51,48700,49100,48450,11402,557050450,336483000000,6860000
GKL,KOSPI,,20650,50,0.24,20700,21100,20350,493805,10212726800,1277319585500,61855670
GS,KOSPI,,41350,700,1.72,40650,41550,40650,160687,6636692350,3842050880300,92915378
GS건설,KOSPI,,22850,600,2.7,22250,23150,22200,712086,16282671100,1955537046500,85581490
GS글로벌,KOSPI,,2450,-20,-0.81,2470,2500,2450,499603,1234542400,202207721800,82533764
GS리테일,KOSPI,,28750,-100,-0.35,29050,29100,28450,313338,8995735400,3010640257500,104717922
HDC,KOSPI,,6140,30,0.49,6120,6290,6010,117558,715308230,366814166940,59741721
HDC랩스,KOSPI,,7940,-30,-0.38,7960,8060,7940,4529,36114050,206103351940,25957601
HDC현대EP,KOSPI,,4125,0,0.0,4100,4165,4100,14131,58289845,131587500000,31900000
HDC현대산업개발,KOSPI,,10440,80,0.77,10380,10600,10360,190674,1999501050,688072525200,65907330
HD현대,KOSPI,,59500,100,0.17,59000,60100,58800,176399,10493066400,4700088557500,78993085
HJ중공업,KOSPI,,3925,35,0.9,3910,3945,3875,30853,120481765,326851552925,83274281
HL D&I,KOSPI,,2710,-5,-0.18,2765,2765,2700,54687,148258125,102596808710,37858601
HLB글로벌,KOSPI,,5760,-10,-0.17,5830,5830,5650,170426,980901630,244034161920,42367042
HL만도,KOSPI,,49100,1650,3.48,47850,49800,47650,545527,26614788350,2305594592000,46957120
HL홀딩스,KOSPI,,33500,-950,-2.76,34600,34650,33450,62926,2130517950,350814345000,10472070
HMM,KOSPI,,22450,-100,-0.44,22550,22950,22300,1494238,33773382050,10978936685200,489039496
JB금융지주,KOSPI,,9320,70,0.76,9320,9390,9180,1066220,9900063600,1835880572080,196982894
JW생명과학,KOSPI,,12230,30,0.25,12200,12290,12170,6874,83913970,193656595420,15834554
JW중외제약,KOSPI,,20850,50,0.24,20800,21450,20700,95127,2000465850,462412988850,22178081
JW홀딩스,KOSPI,,3160,40,1.28,3105,3165,3100,28819,90194975,222605270960,70444706
KB금융,KOSPI,,50600,-700,-1.36,51900,52000,50200,1628359,83076889800,20690191640800,408897068
KC그린홀딩스,KOSPI,,3160,-20,-0.63,3220,3225,3120,49981,157895230,70894536800,22434980
KC코트렐,KOSPI,,1798,-33,-1.8,1867,1867,1773,286436,517941139,62211619888,34600456
KEC,KOSPI,,2655,45,1.72,2850,2900,2650,23246565,64375849365,384346139355,144763141
KG스틸,KOSPI,,9040,370,4.27,8690,9140,8690,2776067,24968569220,904080428880,100008897
KG케미칼,KOSPI,,24400,150,0.62,24250,24850,24250,99633,2445860150,338332742400,13866096
KH 필룩스,KOSPI,,523,-14,-2.61,537,538,516,2725517,1431781886,99742720134,190712658
KISCO홀딩스,KOSPI,,20950,-650,-3.01,21600,21850,20750,26505,563912350,338895161000,16176380
KPX케미칼,KOSPI,,49000,-100,-0.2,49000,49000,48600,1326,64687100,237160000000,4840000
KPX홀딩스,KOSPI,,54800,400,0.74,54300,55000,54300,1765,96502200,231510600800,4224646
KR모터스,KOSPI,,506,-6,-1.17,516,516,503,114884,58355455,48646063290,96138465
KSS해운,KOSPI,,9150,320,3.62,8920,9180,8840,31792,285550500,211235802000,23085880
KTcs,KOSPI,,5460,0,0.0,5620,5850,5260,12969800,71910817180,233060100000,42685000
KTis,KOSPI,,4735,125,2.71,5030,5230,4700,11464101,56860901830,164787470000,34802000
LF,KOSPI,,17410,60,0.35,17300,17520,17200,50709,879292020,509068400000,29240000
LG,KOSPI,,83200,900,1.09,80700,83400,80500,308145,25333996400,13087442617600,157300993
LG디스플레이,KOSPI,,15050,-240,-1.57,15230,15630,15020,1493368,22719654870,5385126285000,357815700
LG생활건강,KOSPI,,678000,10000,1.5,669000,688000,669000,83893,57167486000,10589137566000,15618197
LG유플러스,KOSPI,,11060,-10,-0.09,11110,11110,10980,1290303,14270056750,4828921652660,436611361
LG이노텍,KOSPI,,271500,-5500,-1.99,277000,278000,271000,275812,75424602300,6425619550500,23667107
LG전자,KOSPI,,111400,200,0.18,110600,112400,110600,484235,54038051900,18230366479600,163647814
LG헬로비전,KOSPI,,4510,40,0.89,4470,4550,4445,302087,1364106015,349285361150,77446865
