종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4300,45,1.06,4300,4320,4255,97141,416502485,201335868500,46822295
AK홀딩스,KOSPI,,18670,-160,-0.85,18800,19000,18660,7379,138843640,247331963870,13247561
BGF,KOSPI,,4080,-25,-0.61,4105,4125,4075,76244,311826660,390524507280,95716791
BGF리테일,KOSPI,,184400,-6000,-3.15,190400,190400,184200,32207,5980098400,3187152266400,17283906
BNK금융지주,KOSPI,,6720,10,0.15,6710,6750,6700,536419,3608629390,2190284853120,325935246
BYC,KOSPI,,420000,500,0.12,419500,421500,416500,40,16731000,262338300000,624615
CJ,KOSPI,,86300,-2300,-2.6,88600,89400,86100,93771,8158127500,2517974927400,29176998
CJ CGV,KOSPI,,16150,550,3.53,15750,16180,15630,261657,4195098390,770802128900,47727686
CJ대한통운,KOSPI,,81400,-100,-0.12,81500,82400,81000,35143,2869779500,1856924801600,22812344
CJ씨푸드,KOSPI,,3360,20,0.6,3345,3405,3295,237163,789956745,120727397280,35930773
CJ제일제당,KOSPI,,315500,5500,1.77,311000,316000,311000,25643,8061197000,4749595683000,15054186
CS홀딩스,KOSPI,,61400,-300,-0.49,61300,61500,60700,778,47569200,70885194800,1154482
DB,KOSPI,,1748,-10,-0.57,1738,1758,1726,1812229,3252769210,351652034884,201173933
DB금융투자,KOSPI,,4170,-10,-0.24,4180,4200,4165,6885,28818595,177001442130,42446389
DB손해보험,KOSPI,,75600,1600,2.16,75500,77300,74300,172552,13091587300,5352480000000,70800000
DB하이텍,KOSPI,,60700,300,0.5,60000,60800,59200,606015,36795435100,2694994291600,44398588
DGB금융지주,KOSPI,,7010,0,0.0,7050,7050,6970,271244,1899502090,1185712289330,169145833
DL,KOSPI,,45950,200,0.44,45750,46100,45600,53930,2470228250,962922869800,20955884
DL건설,KOSPI,,13920,260,1.9,13670,13960,13560,10403,142789470,306981713280,22053284
DN오토모티브,KOSPI,,80900,600,0.75,80700,81900,80300,27096,2191730900,808515004500,9994005
DRB동일,KOSPI,,4980,10,0.2,4980,5090,4970,5711,28591280,99251400000,19930000
DSR,KOSPI,,5040,40,0.8,4990,5040,4975,21390,107001305,80640000000,16000000
DSR제강,KOSPI,,5030,145,2.97,4885,5030,4820,104912,511526160,72432000000,14400000
E1,KOSPI,,50500,-100,-0.2,50600,51500,49950,8817,444474450,346430000000,6860000
GKL,KOSPI,,19330,-200,-1.02,19530,19700,19150,152868,2961825130,1195670101100,61855670
GS,KOSPI,,38200,-300,-0.78,38700,38850,38150,200232,7676572400,3549367439600,92915378
GS건설,KOSPI,,20750,0,0.0,20800,20900,20650,326185,6773335050,1775815917500,85581490
GS글로벌,KOSPI,,3000,10,0.33,2990,3015,2940,778172,2319192160,247601292000,82533764
GS리테일,KOSPI,,24700,-150,-0.6,24950,25150,24600,262865,6511411645,2586532673400,104717922
HDC,KOSPI,,6660,-160,-2.35,6820,6860,6630,62725,421345860,397879861860,59741721
HDC랩스,KOSPI,,8560,-60,-0.7,8710,8710,8520,8793,75538780,222197064560,25957601
HDC현대EP,KOSPI,,5040,115,2.34,4925,5110,4885,138934,694420080,160776000000,31900000
HDC현대산업개발,KOSPI,,12450,-90,-0.72,12540,12600,12340,263706,3274978600,820546258500,65907330
HD한국조선해양,KOSPI,,97000,800,0.83,97100,98600,96300,192210,18655678700,6864992252000,70773116
HD현대,KOSPI,,57400,300,0.53,57500,58000,57200,137821,7933855800,4534203079000,78993085
HD현대건설기계,KOSPI,,59500,-300,-0.5,60100,60700,59200,47260,2821947200,1172197183500,19700793
HD현대인프라코어,KOSPI,,9500,-30,-0.31,9590,9750,9480,993533,9488145100,1896232803500,199603453
HD현대일렉트릭,KOSPI,,47800,-1100,-2.25,48400,49150,47300,192797,9211881500,1723053053000,36047135
HJ중공업,KOSPI,,3685,-10,-0.27,3705,3740,3675,17798,65630815,306865725485,83274281
HL D&I,KOSPI,,2860,50,1.78,2795,2885,2785,253481,718920345,108275598860,37858601
HLB글로벌,KOSPI,,5910,130,2.25,5840,5910,5800,113178,664789550,250389218220,42367042
