종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,3970,85,2.19,3885,3995,3885,48112,190114630,185884511150,46822295
AK홀딩스,KOSPI,,30200,-1050,-3.36,31800,32000,30150,122934,3799624350,400076342200,13247561
BGF,KOSPI,,5590,90,1.64,5610,5650,5500,342168,1903110700,535056861690,95716791
BGF리테일,KOSPI,,159000,0,0.0,159500,163000,155500,33430,5322580500,2748141054000,17283906
BNK금융지주,KOSPI,,5940,40,0.68,5940,5990,5900,1485084,8838016860,1936055361240,325935246
BYC,KOSPI,,358500,-11000,-2.98,369500,369500,357000,1187,427351500,223924477500,624615
CJ,KOSPI,,91400,-1300,-1.4,93600,94200,90900,116297,10729741100,2666777617200,29176998
CJ CGV,KOSPI,,27300,-700,-2.5,28500,28600,27300,498375,13833662650,958230000000,35100000
CJ대한통운,KOSPI,,163000,-1000,-0.61,166000,166500,162000,57658,9457133500,3718412072000,22812344
CJ씨푸드,KOSPI,,4350,25,0.58,4360,4440,4335,219433,961995515,156298862550,35930773
CJ제일제당,KOSPI,,400000,-6500,-1.6,408000,411500,398000,77574,31249524500,6021674400000,15054186
CS홀딩스,KOSPI,,58500,500,0.86,58000,59200,58000,7913,463638000,67537197000,1154482
DB,KOSPI,,873,3,0.34,886,886,869,860105,751973041,175624843509,201173933
DB금융투자,KOSPI,,5730,0,0.0,5840,5860,5650,243318,1392563980,243217808970,42446389
DB손해보험,KOSPI,,42050,650,1.57,41400,42200,41200,346730,14503935050,2977140000000,70800000
DB하이텍,KOSPI,,56400,0,0.0,58100,58500,55900,721747,41254780700,2504080363200,44398588
DGB금융지주,KOSPI,,7100,30,0.42,7110,7180,7100,749799,5337814770,1200935414300,169145833
DL,KOSPI,,82700,-3800,-4.39,87500,88000,81500,473172,39887143300,1276992367400,15441262
DRB동일,KOSPI,,6930,-30,-0.43,6960,7040,6890,17303,120168840,138114900000,19930000
DSR,KOSPI,,5410,0,0.0,5460,5540,5330,93105,507108990,86560000000,16000000
DSR제강,KOSPI,,5100,-110,-2.11,5320,5340,5060,186271,965490540,73440000000,14400000
E1,KOSPI,,40150,350,0.88,39900,40400,39900,7709,309769700,275429000000,6860000
GKL,KOSPI,,16000,50,0.31,16100,16150,15850,415067,6634261750,989690720000,61855670
GS,KOSPI,,38500,-500,-1.28,39800,39850,38300,573951,22275497900,3577242053000,92915378
GS건설,KOSPI,,37000,650,1.79,37000,37200,36350,718560,26404061800,3155376243000,85280439
GS글로벌,KOSPI,,2195,0,0.0,2225,2260,2175,602466,1335348675,181161611980,82533764
GS리테일,KOSPI,,35900,-300,-0.83,36550,36600,35550,305725,11031107150,2764300000000,77000000
HDC,KOSPI,,11000,50,0.46,11050,11150,10900,274702,3021114100,657158931000,59741721
HDC현대EP,KOSPI,,6250,-70,-1.11,6310,6400,6250,195693,1237006650,199375000000,31900000
HDC현대산업개발,KOSPI,,26800,0,0.0,27100,27300,26500,486470,13102663200,1766316444000,65907330
HMM,KOSPI,,18800,-200,-1.05,19750,19800,18650,11059044,211365085200,6167550372000,328061190
JB금융지주,KOSPI,,5840,10,0.17,5860,5880,5830,325399,1906147320,1150380100960,196982894
JW생명과학,KOSPI,,20800,100,0.48,20950,20950,20550,66286,1377374000,329358723200,15834554
JW중외제약,KOSPI,,29300,150,0.51,29300,29700,29000,53979,1586548200,631119831800,21539926
JW홀딩스,KOSPI,,4855,5,0.1,4900,4940,4855,83910,410655800,332281938610,68441182
KB금융,KOSPI,,44500,700,1.6,44250,45250,44100,2682710,119609154150,18503452440000,415807920
KC그린홀딩스,KOSPI,,4430,130,3.02,4370,4475,4330,70621,311347225,99386961400,22434980
KC코트렐,KOSPI,,8390,-10,-0.12,8400,8640,8290,273997,2317689070,109070000000,13000000
KEC,KOSPI,,2480,-20,-0.8,2565,2600,2480,2776193,7015309290,289433211200,116706940
KG케미칼,KOSPI,,27250,-1200,-4.22,28750,28800,26650,464227,12837682300,377851116000,13866096
KISCO홀딩스,KOSPI,,14700,-100,-0.68,14750,14800,14650,18091,266446700,271602786000,18476380
KPX케미칼,KOSPI,,62800,900,1.45,62900,62900,61900,6049,377640000,303952000000,4840000
KPX홀딩스,KOSPI,,57500,0,0.0,57800,58000,57300,2980,171628800,242917145000,4224646
KR모터스,KOSPI,,1245,10,0.81,1230,1295,1225,3241906,4071894315,119691023160,96137368
