종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4635,-75,-1.59,4710,4800,4615,90067,419750735,209746537965,45252759
AK홀딩스,KOSPI,,16180,-100,-0.61,16490,16490,16030,8335,134382750,214345536980,13247561
BGF,KOSPI,,3925,5,0.13,3900,3975,3900,78711,310077230,375688404675,95716791
BGF리테일,KOSPI,,131000,-1100,-0.83,132600,133400,131000,51161,6759658000,2264191686000,17283906
BNK금융지주,KOSPI,,7650,150,2.0,7540,7660,7460,1832983,13926609020,2463976550700,322088438
BYC,KOSPI,,441000,11500,2.68,432000,445000,432000,441,195902000,275455215000,624615
CJ,KOSPI,,96200,-700,-0.72,97900,98800,96000,102878,9991505680,2806827207600,29176998
CJ CGV,KOSPI,,5930,-250,-4.05,6240,6300,5890,2228419,13524073620,726020722250,122431825
CJ대한통운,KOSPI,,124000,-400,-0.32,125900,126500,123200,105514,13130354300,2828730656000,22812344
CJ씨푸드,KOSPI,,2745,-15,-0.54,2760,2770,2735,96975,267092080,98629971885,35930773
CJ제일제당,KOSPI,,293500,-6000,-2.0,300000,302000,293500,23089,6837485500,4418403591000,15054186
CS홀딩스,KOSPI,,65600,200,0.31,65400,65800,65100,846,55492600,75734019200,1154482
DB,KOSPI,,1563,-5,-0.32,1568,1580,1563,222244,348475782,314434857279,201173933
DB금융투자,KOSPI,,4475,15,0.34,4460,4540,4430,40236,179785665,189947590775,42446389
DB손해보험,KOSPI,,99100,300,0.3,98600,100700,98100,159187,15746728300,7016280000000,70800000
DB하이텍,KOSPI,,47950,1550,3.34,46850,48250,46750,412891,19600432550,2128912294600,44398588
DGB금융지주,KOSPI,,8950,90,1.02,8940,8970,8800,857146,7644918190,1513855205350,169145833
DL,KOSPI,,47400,-200,-0.42,48050,48900,47250,61340,2938741750,993308901600,20955884
DN오토모티브,KOSPI,,80900,-1800,-2.18,83300,83800,80700,27226,2228378200,808515004500,9994005
DRB동일,KOSPI,,6320,-230,-3.51,6490,6620,6320,496006,3195409980,125957600000,19930000
DSR,KOSPI,,4350,-50,-1.14,4400,4400,4330,31889,139397225,69600000000,16000000
DSR제강,KOSPI,,4190,10,0.24,4180,4195,4165,25403,106073970,60336000000,14400000
E1,KOSPI,,65600,-300,-0.46,65900,65900,65000,17748,1159395600,450016000000,6860000
GKL,KOSPI,,12320,-210,-1.68,12530,12640,12260,288588,3574597750,762061854400,61855670
GS,KOSPI,,49050,1000,2.08,49000,50300,48450,206333,10224462750,4557499290900,92915378
GS건설,KOSPI,,15740,-210,-1.32,15960,16050,15680,501887,7947452360,1347052652600,85581490
GS글로벌,KOSPI,,2910,-15,-0.51,2875,3015,2850,7206673,21050885875,240173253240,82533764
GS리테일,KOSPI,,22150,-150,-0.67,22550,22550,22150,111384,2482471250,2319501972300,104717922
HDC,KOSPI,,8000,-90,-1.11,8100,8170,7930,122489,983324160,477933768000,59741721
HDC랩스,KOSPI,,8140,90,1.12,8130,8150,8000,12375,100344400,211294872140,25957601
HDC현대EP,KOSPI,,5150,730,16.52,4560,5500,4550,2084916,10547950365,164285000000,31900000
HDC현대산업개발,KOSPI,,19690,-180,-0.91,19700,19950,19320,320025,6259307630,1297715327700,65907330
HD한국조선해양,KOSPI,,107800,-4100,-3.66,112800,113300,107300,360550,39374003900,7629341904800,70773116
HD현대,KOSPI,,69500,-1200,-1.7,71200,71200,69500,161526,11305645700,5490019407500,78993085
HD현대건설기계,KOSPI,,54800,1000,1.86,54500,55400,53900,203001,11160387300,1079603456400,19700793
HD현대인프라코어,KOSPI,,7990,-60,-0.75,8130,8150,7970,1471999,11830844820,1594831589470,199603453
HD현대일렉트릭,KOSPI,,131600,7200,5.79,125100,136700,125100,375308,49417242900,4743802966000,36047135
HJ중공업,KOSPI,,3505,-15,-0.43,3530,3535,3500,27055,95113855,291876354905,83274281
HL D&I,KOSPI,,2065,-10,-0.48,2075,2095,2030,34385,70537275,78178011065,37858601
HLB글로벌,KOSPI,,6300,0,0.0,6700,6700,6250,581299,3732977940,273017436300,43336101
HL만도,KOSPI,,33100,-50,-0.15,33450,33800,33050,189532,6301417900,1554280672000,46957120
HL홀딩스,KOSPI,,34750,100,0.29,34650,35000,34450,17362,603379250,353386997500,10169410
HMM,KOSPI,,17890,-380,-2.08,18450,18460,17890,1488235,26869296390,12326916583440,689039496
HS애드,KOSPI,,6280,10,0.16,6250,6310,6250,8697,54621830,104043328520,16567409
JB금융지주,KOSPI,,13640,480,3.65,13180,13700,13060,641278,8633098700,2660934820720,195083198
JW생명과학,KOSPI,,12620,-230,-1.79,12890,12890,12550,29031,367611770,199832071480,15834554
JW중외제약,KOSPI,,33000,100,0.3,32850,33700,32700,109149,3607947450,768435690000,23285930
JW홀딩스,KOSPI,,3320,-75,-2.21,3395,3415,3320,57290,192169000,245430807440,73924942
KB금융,KOSPI,,69000,5500,8.66,65700,69500,64000,4010440,270061619900,27842263968000,403511072
KC그린홀딩스,KOSPI,,2950,-170,-5.45,3095,3160,2950,114951,338483945,66183191000,22434980
KC코트렐,KOSPI,,1420,14,1.0,1406,1422,1390,219890,308639673,72328310600,50935430
KEC,KOSPI,,1490,25,1.71,1465,1502,1465,851963,1268675144,299137080090,200763141
KG모빌리티,KOSPI,,8110,-130,-1.58,8270,8280,8110,381447,3113898690,1516213354640,186956024
KG스틸,KOSPI,,7400,-80,-1.07,7510,7540,7400,244151,1819483980,740065837800,100008897
KG케미칼,KOSPI,,6200,-160,-2.52,6360,6360,6200,401594,2513124470,424508048000,68469040
KH 필룩스,KOSPI,,6630,0,0.0,0,0,0,0,0,120578742570,18186839
KIB플러그에너지,KOSPI,,404,-8,-1.94,413,421,402,5777844,2372463604,95740543776,236981544
KISCO홀딩스,KOSPI,,26500,400,1.53,26500,26650,25900,23104,604225250,428674070000,16176380
KPX케미칼,KOSPI,,45600,-200,-0.44,45800,46150,45550,15328,702146500,220704000000,4840000
KPX홀딩스,KOSPI,,57200,200,0.35,57500,57600,57100,801,46005800,241649751200,4224646
KR모터스,KOSPI,,465,0,0.0,0,0,0,0,0,44704386225,96138465
KSS해운,KOSPI,,8930,40,0.45,8900,9030,8900,40486,361849500,206156908400,23085880
KTcs,KOSPI,,3860,-60,-1.53,3905,4015,3845,1379502,5383057685,164764100000,42685000
KTis,KOSPI,,3090,5,0.16,3080,3105,3070,190651,588002170,107538180000,34802000
LF,KOSPI,,13110,30,0.23,13170,13170,13060,38994,511076280,383336400000,29240000
LG,KOSPI,,95000,1300,1.39,93500,96400,92700,282387,26845115500,14943594335000,157300993
LG디스플레이,KOSPI,,11100,-280,-2.46,11290,11350,11100,1376774,15427080880,3971754270000,357815700
LG생활건강,KOSPI,,321500,2500,0.78,321500,328000,318500,74349,24093516500,5021250335500,15618197
LG유플러스,KOSPI,,10160,-160,-1.55,10300,10310,10160,1294855,13228072070,4435971427760,436611361
LG이노텍,KOSPI,,205000,3000,1.49,204500,205500,201500,100807,20561478500,4851756935000,23667107
LG전자,KOSPI,,93900,-1000,-1.05,95100,95600,93800,627925,59291753800,15366529734600,163647814
