종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4565,-60,-1.3,4630,4630,4550,51042,233869235,206578844835,45252759
AK홀딩스,KOSPI,,13460,-40,-0.3,13490,13500,13320,1220,16389410,178312171060,13247561
BGF,KOSPI,,3505,0,0.0,3505,3515,3460,45771,159328500,335487352455,95716791
BGF리테일,KOSPI,,119300,1300,1.1,118000,119700,117000,43534,5185795900,2061969985800,17283906
BNK금융지주,KOSPI,,9930,-230,-2.26,10140,10140,9900,736236,7331307850,3198338189340,322088438
BYC,KOSPI,,34500,200,0.58,34600,34950,34300,1590,54965100,215492175000,6246150
CJ,KOSPI,,111900,0,0.0,112900,114200,110000,80876,9055838000,3264906076200,29176998
CJ CGV,KOSPI,,6950,-220,-3.07,7210,7290,6900,1477323,10413490250,1150779179100,165579738
CJ대한통운,KOSPI,,94100,-200,-0.21,95100,95700,93600,48478,4571654086,2146641570400,22812344
CJ씨푸드,KOSPI,,3525,135,3.98,3440,3950,3385,3715953,13675258785,126655974825,35930773
CJ제일제당,KOSPI,,322000,0,0.0,324000,325500,319000,20112,6474102500,4847447892000,15054186
CS홀딩스,KOSPI,,67400,-100,-0.15,67500,67500,66700,633,42482800,77812086800,1154482
DB,KOSPI,,1284,19,1.5,1265,1294,1257,650738,832064398,258307329972,201173933
DB금융투자,KOSPI,,4935,210,4.44,4780,4935,4725,92765,448623320,209472929715,42446389
DB손해보험,KOSPI,,117900,1900,1.64,115500,118900,115500,90321,10621662600,8347320000000,70800000
DB하이텍,KOSPI,,40500,-250,-0.61,41200,41200,40400,195939,7964201350,1798142814000,44398588
DGB금융지주,KOSPI,,8390,10,0.12,8410,8410,8230,338373,2818327280,1419133538870,169145833
DL,KOSPI,,46150,50,0.11,46100,46500,45600,16669,767384200,967114046600,20955884
DN오토모티브,KOSPI,,88200,-900,-1.01,88800,89000,87400,7907,696306600,881471241000,9994005
DRB동일,KOSPI,,4825,-40,-0.82,4865,4865,4790,20550,98972060,96162250000,19930000
DSR,KOSPI,,4010,-5,-0.12,4030,4055,3980,10367,41406195,64160000000,16000000
DSR제강,KOSPI,,3980,-20,-0.5,3995,4065,3930,35763,141907635,57312000000,14400000
E1,KOSPI,,75400,500,0.67,75100,75800,74400,6353,477673700,517244000000,6860000
GKL,KOSPI,,11330,150,1.34,11250,11330,11080,168650,1892824180,700824741100,61855670
GS,KOSPI,,45050,-100,-0.22,45150,45500,44350,108796,4885638450,4185837778900,92915378
GS건설,KOSPI,,20400,-100,-0.49,20350,20750,20250,400978,8178063400,1745862396000,85581490
GS글로벌,KOSPI,,3990,0,0.0,3950,4060,3915,5929442,23671174015,329309718360,82533764
GS리테일,KOSPI,,21600,-450,-2.04,21850,21950,21600,99541,2162016850,2261907115200,104717922
HDC,KOSPI,,11140,190,1.74,11200,11200,10850,95754,1059679160,665522771940,59741721
HDC랩스,KOSPI,,8300,-10,-0.12,8320,8340,8190,21677,179150820,215448088300,25957601
HDC현대EP,KOSPI,,4530,-95,-2.05,4625,4625,4505,93081,424126905,144507000000,31900000
HDC현대산업개발,KOSPI,,26500,550,2.12,25950,27200,25650,633136,16854788050,1746544245000,65907330
HD한국조선해양,KOSPI,,180500,-10900,-5.69,191700,192300,179800,387872,70908304800,12774547438000,70773116
HD현대,KOSPI,,78600,-2300,-2.84,80300,80800,77600,180360,14171085000,6208856481000,78993085
HD현대건설기계,KOSPI,,52100,-800,-1.51,52900,53800,52000,134815,7070447700,981933701600,18847096
HD현대마린엔진,KOSPI,,18450,-930,-4.8,19380,19400,18380,677779,12669780900,625774904550,33917339
HD현대미포,KOSPI,,100700,-2400,-2.33,103100,103900,100000,209647,21165509700,4022174404300,39942149
HD현대인프라코어,KOSPI,,6990,-190,-2.65,7200,7200,6990,1266143,8892437490,1346664510330,192655867
HD현대일렉트릭,KOSPI,,292500,-13000,-4.26,307500,308000,292500,254411,75617418000,10543786987500,36047135
HJ중공업,KOSPI,,2930,30,1.03,2900,2935,2870,27150,78734585,243993643330,83274281
HL D&I,KOSPI,,2650,-15,-0.56,2650,2665,2600,69644,183168250,100325292650,37858601
HLB글로벌,KOSPI,,5430,50,0.93,5390,5460,5330,123290,662819770,257868479130,47489591
HL만도,KOSPI,,33800,-150,-0.44,34300,34550,33600,130867,4438776700,1587150656000,46957120
HL홀딩스,KOSPI,,34500,-300,-0.86,34800,35000,34150,7627,262581450,350844645000,10169410
HMM,KOSPI,,16710,-260,-1.53,16970,17030,16660,1273429,21314507950,12516449978160,749039496
HS애드,KOSPI,,6350,0,0.0,6340,6370,6340,17685,112436000,105203047150,16567409
HS화성,KOSPI,,9060,-80,-0.88,9100,9100,9000,4555,41238630,91959000000,10150000
JB금융지주,KOSPI,,14340,180,1.27,14210,14440,14100,235370,3364527440,2797493059320,195083198
JW생명과학,KOSPI,,11460,-140,-1.21,11640,11640,11450,18982,218092790,181463988840,15834554
JW중외제약,KOSPI,,29900,250,0.84,29450,29950,28800,82747,2427817650,696249307000,23285930
JW홀딩스,KOSPI,,3250,-120,-3.56,3370,3370,3245,163764,536217310,240256061500,73924942
KB금융,KOSPI,,87700,1800,2.1,86200,88300,84800,916239,79912956200,35387921014400,403511072
KC그린홀딩스,KOSPI,,843,32,3.95,811,849,809,83109,69055823,18912688140,22434980
KC코트렐,KOSPI,,401,11,2.82,399,407,382,289141,114532896,25531384087,63669287
KEC,KOSPI,,1071,-4,-0.37,1080,1081,1053,268018,284937642,215017324011,200763141
KG스틸,KOSPI,,5730,-20,-0.35,5750,5750,5660,85810,489856810,573050979810,100008897
KG케미칼,KOSPI,,4350,115,2.72,4235,4405,4235,190442,825887755,297840324000,68469040
KH 필룩스,KOSPI,,6630,0,0.0,0,0,0,0,0,125330728770,18903579
KIB플러그에너지,KOSPI,,454,10,2.25,444,459,439,1037227,464719376,107589620976,236981544
KISCO홀딩스,KOSPI,,18610,-10,-0.05,18580,18770,18570,4813,89687600,301042431800,16176380
KPX케미칼,KOSPI,,47900,0,0.0,48100,48150,47600,1793,85696000,231836000000,4840000
