종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
AJ네트웍스,KOSPI,,4835,10,0.21,4830,4860,4795,116202,559744035,218797089765,45252759
AK홀딩스,KOSPI,,15080,-20,-0.13,15100,15130,14600,3236,48415690,199773219880,13247561
BGF,KOSPI,,3680,110,3.08,3575,3690,3575,123946,451156720,352237790880,95716791
BGF리테일,KOSPI,,118700,2200,1.89,117700,119300,116800,40602,4807997090,2051599642200,17283906
BNK금융지주,KOSPI,,8430,-20,-0.24,8480,8510,8400,327126,2761520830,2715205532340,322088438
BYC,KOSPI,,35550,-500,-1.39,36050,36500,35550,3272,117388400,222050632500,6246150
CJ,KOSPI,,133900,-4000,-2.9,138100,138100,132100,135065,18081018300,3906800032200,29176998
CJ CGV,KOSPI,,5640,-30,-0.53,5650,5700,5590,308385,1744970660,690518482200,122432355
CJ대한통운,KOSPI,,103700,0,0.0,104900,105100,102000,87465,9022882900,2365640072800,22812344
CJ씨푸드,KOSPI,,4570,-105,-2.25,4675,4930,4510,4736869,22284948195,164203632610,35930773
CJ제일제당,KOSPI,,351500,2000,0.57,353500,356000,348500,33993,11962062000,5291546379000,15054186
CS홀딩스,KOSPI,,71000,1200,1.72,69900,71300,68600,1284,90331000,81968222000,1154482
DB,KOSPI,,1363,-5,-0.37,1381,1381,1355,429023,583705822,274200070679,201173933
DB금융투자,KOSPI,,4150,20,0.48,4180,4180,4120,33133,137304585,176152514350,42446389
DB손해보험,KOSPI,,105400,1900,1.84,105300,106200,101500,104294,10912784800,7462320000000,70800000
DB하이텍,KOSPI,,41650,1100,2.71,40600,42150,40600,358205,14862907200,1849201190200,44398588
DGB금융지주,KOSPI,,8170,-70,-0.85,8210,8250,8150,335938,2748535410,1381921455610,169145833
DL,KOSPI,,54000,-1400,-2.53,54900,55500,53800,53010,2878426300,1131617736000,20955884
DN오토모티브,KOSPI,,79800,-100,-0.13,79900,80600,79200,7966,635231700,797521599000,9994005
