컬럼_1,컬럼_2,컬럼_3,컬럼_4,컬럼_5,컬럼_6,컬럼_7,컬럼_8,컬럼_9,컬럼_10,컬럼_11,컬럼_12
AJ네트웍스,B+,C,A,B+,-,-,-,-,-,,
AK홀딩스,A,A,A+,B+,-,-,-,-,10,,
BGF,A,A,A+,B+,-,-,-,-,20,,
BGF리테일,A,A,A+,A,A,A,23,-,55,,
BNK금융지주,A,A,A+,A,A,BB,37,-,49,,
BYC,D,D,D,D,-,-,-,-,-,,
CJ,A,A,A+,B+,A,A,47,-,38,,
CJ CGV,A,A,A+,B+,-,-,-,-,38,,
CJ대한통운,A,A,A+,B+,A,BB,39,-,66,,
CJ씨푸드,B+,B+,A,B,-,-,-,-,-,,
CJ제일제당,A,A,A+,A,A,BB,36,AA,78,,
CS홀딩스,C,D,D,B,-,-,-,-,-,,
DB,C,D,B,C,-,-,-,-,-,,
DB금융투자,B,C,B,B+,-,-,-,-,8,,
DB손해보험,B+,B+,A,B+,B+,BB,34,A,33,,
DB하이텍,B+,A,A,B,A,AA,-,-,31,,
DGB금융지주,A,A+,A,A,B+,BB,31,-,64,,
DL,A,A,A,A,B+,B,20,-,32,,
DL건설,A,A,A+,B+,-,-,-,-,-,,
DL이앤씨,A,A,B+,A,A,BB,-,-,67,,
DN오토모티브,C,C,B,D,-,-,-,-,-,,
DRB동일,B+,B,A,B+,-,-,-,-,-,,
DSR,D,C,C,D,-,-,-,-,-,,
DSR제강,C,C,C,B,-,-,-,-,-,,
E1,A,A,A,B+,-,-,-,-,-,,
ESR켄달스퀘어리츠,-,-,-,-,-,-,-,-,7,,
F&F,B+,B+,A+,B,B+,BB,-,-,67,,
F&F 홀딩스,A,B+,A+,B+,-,-,-,-,45,,
GKL,B+,B,A,B+,A,A,-,-,43,,
GS,B,B+,A+,C,B+,A,23,BBB,29,,
GS건설,A,A,B+,A,B+,B,32,-,46,,
GS글로벌,B+,B+,B+,B+,-,-,-,-,24,,
GS리테일,A,A+,A,A,A,AA,10,-,38,,
HDC,B+,B+,A,B,-,-,-,-,10,,
HDC랩스,D,D,D,C,-,-,-,-,-,,
HDC현대EP,B+,B+,B+,B,-,-,-,-,25,,
HDC현대산업개발,B+,B+,A,B,B+,B,19,-,36,,
HD한국조선해양,A,A,A+,A,A,B,30,BB,52,,
HD현대,A,B+,A+,B+,B+,B,17,BBB,34,,
HD현대건설기계,A+,A+,A+,A,-,-,35,-,41,,
HD현대마린엔진,C,C,C,B,-,-,-,-,-,,
HD현대미포,A,A,A+,B+,A,BB,35,-,53,,
HD현대에너지솔루션,A,A,A,B+,-,-,-,-,42,,
HD현대인프라코어,A,A+,A+,B+,A,A,32,-,62,,
HD현대일렉트릭,A,A,A+,A,A,A,-,BBB,42,,
HD현대중공업,A,A,A,B+,A,B,-,BB,50,,
HJ중공업,B+,B,B+,B+,-,-,-,-,-,,
HL D&I,A,A,A+,B+,-,-,-,-,-,,
HLB글로벌,D,D,D,D,-,-,-,-,11,,
HL만도,A,B+,A+,A,A,BB,41,-,65,,
HL홀딩스,A,A,A+,A,-,-,-,-,39,,
HMM,A,A+,A+,B+,B+,A,-,BBB,45,,
HS애드,B,D,C,B+,-,-,-,-,-,,
HS화성,C,C,C,B+,-,-,-,-,22,,
HS효성첨단소재,A,A,A+,A,A,B,-,-,67,,
JB금융지주,A,A+,A,A,B+,BB,-,-,80,,
JW생명과학,B+,B+,A,B,-,-,-,-,25,,
JW중외제약,B+,B,A,B+,-,-,-,-,25,,
JW홀딩스,B+,B,A,B+,-,-,-,-,29,,
KB금융,A+,A+,A+,A+,A,BB,38,AAA,86,,
KC그린홀딩스,C,C,D,C,-,-,-,-,-,,
KC코트렐,C,C,D,C,-,-,-,-,-,,
KEC,D,C,C,D,-,-,-,-,-,,
KG모빌리티,D,C,C,D,B+,D,-,-,6,,
KG스틸,B,B+,A,C,B+,BB,-,-,-,,
KG케미칼,C,C,D,C,-,-,-,-,6,,
KH 필룩스,D,C,C,D,-,-,-,-,-,,
KIB플러그에너지,D,D,D,D,-,-,-,-,-,,
KISCO홀딩스,D,C,D,D,-,-,-,-,-,,
KPX케미칼,C,C,C,C,-,-,-,-,-,,
KPX홀딩스,C,C,C,C,-,-,-,-,-,,
KR모터스,D,D,D,D,-,-,-,-,-,,
KSS해운,B+,B+,A,B+,-,-,-,-,-,,
KTcs,A,A,A,A,-,-,-,-,-,,
KTis,B+,B+,A,B+,-,-,-,-,-,,
LF,B+,B,B,B+,-,-,-,-,19,,
LG,A,A,A+,A,B+,BB,23,BB,49,,
LG디스플레이,B+,A,A+,B,A,BB,48,AA,79,,
LG생활건강,A,A,A+,A,A,A,39,A,79,,
LG에너지솔루션,-,-,-,-,A+,BB,-,BBB,54,,
LG유플러스,A,A,A,A,A,B,41,BBB,60,,
LG이노텍,A,A,A+,A,A+,AA,44,BB,67,,
LG전자,A,A+,A,A,A+,BB,43,A,71,,
LG헬로비전,A,B+,A+,A,-,-,-,-,16,,
LG화학,A,B+,A+,A,A,A,45,A,63,,
LIG넥스원,A,A,A+,A,A,A,-,-,29,,
LS,A,A,A,A,B+,B,13,-,10,,
LS네트웍스,B+,B,A,B+,-,-,-,-,-,,
LS에코에너지,C,D,C,B,-,-,-,-,-,,
LX세미콘,B+,A,A,B+,-,-,-,-,34,,
LX인터내셔널,B+,B+,A+,B,B+,B,-,-,33,,
LX하우시스,A,A,A,B+,-,-,-,-,53,,
LX홀딩스,B+,B+,A,B+,-,-,-,-,24,,
MH에탄올,D,D,D,C,-,-,-,-,-,,
NAVER,A+,A,A+,A+,A,AA,31,AA,44,,
NH투자증권,A,A,A,A,B+,B,33,BBB,27,,
NICE,B+,B,A,B+,-,-,-,-,10,,
NICE평가정보,-,-,-,-,-,-,-,-,30,,
NI스틸,D,D,D,D,-,-,-,-,-,,
OCI,-,-,-,-,-,-,-,-,47,,
OCI홀딩스,A,A,A,A,A,B,42,-,58,,
PI첨단소재,B+,B+,A,B,A,AA,-,-,25,,
POSCO홀딩스,A+,A,A+,A+,A,AA,47,A,61,,
S-Oil,A+,A,A+,A+,A+,A,41,BB,65,,
SBS,B+,B+,A,B+,-,-,-,-,-,,
SGC에너지,B+,A,A,B,-,-,-,-,27,,
SG글로벌,D,C,D,D,-,-,-,-,-,,
SG세계물산,D,D,D,D,-,-,-,-,-,,
SHD,C,D,D,B,-,-,-,-,-,,
SH에너지화학,C,C,D,B,-,-,-,-,-,,
SIMPAC,D,C,C,D,-,-,-,-,-,,
SJG세종,D,C,C,D,-,-,-,-,-,,
SK,A+,A,A+,A+,A,C,34,AAA,83,,
SKC,A+,A+,A+,A,A+,B,37,A,51,,
SK가스,A+,A+,A+,A,-,-,-,-,56,,
SK네트웍스,A,A,A+,A,A,BB,33,-,53,,
SK디스커버리,A,A+,A+,A,-,-,-,-,41,,
SK디앤디,A,A,A+,A,-,-,-,-,39,,
SK렌터카,A,A+,A+,A,-,-,-,-,-,,
SK바이오사이언스,A,B+,A,A,A,BB,-,A,43,,
SK스퀘어,A,A,A+,A,A,AA,-,A,54,,
SK아이이테크놀로지,A,A,A+,B+,A,BB,-,-,59,,
SK이노베이션,A+,A,A+,A+,A,A,39,AA,59,,
SK증권,B+,B,B+,B+,-,-,-,-,32,,
SK케미칼,A+,A+,A+,A,A+,BB,-,-,71,,
SK텔레콤,A,A,A,A,A,BB,48,AA,86,,
SK하이닉스,A,A,A+,A,A,A,39,A,70,,
SNT다이내믹스,C,C,C,C,-,-,-,-,12,,
SNT모티브,C,C,C,C,-,-,-,-,14,,
SNT에너지,D,D,C,D,-,-,-,-,-,,
SNT홀딩스,B,C,C,B+,-,-,-,-,-,,
SPC삼립,D,C,C,D,-,-,-,-,10,,
