종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3490","45","1.31","3445","3530","3410","161173","559249865","161487580370","46271513"
"095570","AJ네트웍스","KOSPI",,"5980","70","1.18","5910","5990","5840","107862","637395400","279997324100","46822295"
"006840","AK홀딩스","KOSPI",,"27500","0","0.00","27500","27950","27250","28064","775667050","364307927500","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","19200","-450","-2.29","19650","19700","19100","66490","1286371200","391569043200","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","28700","-200","-0.69","28950","28950","28500","133041","3815416000","415582514900","14480227"
"211270","AP위성","KOSDAQ","벤처기업부","15750","-50","-0.32","15550","15800","15200","95248","1480368000","237546288000","15082304"
"027410","BGF","KOSPI",,"6390","60","0.95","6360","6390","6280","110182","699707730","611630294490","95716791"
"282330","BGF리테일","KOSPI",,"180500","2000","1.12","176000","181000","176000","19851","3550042000","3119745033000","17283906"
"138930","BNK금융지주","KOSPI",,"7880","120","1.55","7740","7890","7730","794183","6218424790","2568369738480","325935246"
"001460","BYC","KOSPI",,"410000","-2000","-0.49","405000","423500","405000","406","168184500","256092150000","624615"
"001465","BYC우","KOSPI",,"174000","-5000","-2.79","176000","177000","173500","307","53643000","37476990000","215385"
"013720","CBI","KOSDAQ","중견기업부","3480","15","0.43","3465","3500","3345","302645","1039937205","176428257000","50697775"
"001040","CJ","KOSPI",,"101500","0","0.00","102000","102500","100500","54037","5502077500","2961465297000","29176998"
"079160","CJ CGV","KOSPI",,"31150","850","2.81","30350","31500","30150","882043","27467291600","1155177128700","37084338"
"035760","CJ ENM","KOSDAQ","우량기업부","153000","-100","-0.07","153500","154300","152000","60789","9314152200","3355160562000","21929154"
"00104K","CJ4우(전환)","KOSPI",,"84700","200","0.24","84500","85000","84000","1880","158894300","357985566400","4226512"
"000120","CJ대한통운","KOSPI",,"169000","-2000","-1.17","169000","170500","168500","76897","13034187020","3855286136000","22812344"
"011150","CJ씨푸드","KOSPI",,"4270","40","0.95","4230","4270","4205","104005","440373955","153424400710","35930773"
"011155","CJ씨푸드1우","KOSPI",,"39150","400","1.03","39100","39150","38650","134","5203900","7830000000","200000"
"001045","CJ우","KOSPI",,"62700","-100","-0.16","62800","62800","62400","989","61880600","141715982100","2260223"
"097950","CJ제일제당","KOSPI",,"446500","-7000","-1.54","450500","453000","446000","29555","13243567500","6721694049000","15054186"
"097955","CJ제일제당 우","KOSPI",,"204000","2500","1.24","201500","204500","200500","2382","481366500","270796332000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","35950","1150","3.30","35000","36100","34100","160534","5715824700","426783516700","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","4525","25","0.56","4500","4575","4460","1036982","4665053775","628487404100","138892244"
"023460","CNH","KOSDAQ","벤처기업부","3785","10","0.26","3795","3875","3740","317514","1205641500","140802000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","5450","-30","-0.55","5440","5480","5360","359007","1950826010","105790658500","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1590","-5","-0.31","1605","1625","1580","20432","32535465","60315241260","37934114"
"000590","CS홀딩스","KOSPI",,"64500","-100","-0.15","64500","64600","63900","796","51200500","74464089000","1154482"
"012030","DB","KOSPI",,"1060","5","0.47","1045","1070","1045","715389","755336625","213244368980","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2200","10","0.46","2200","2215","2180","60508","132877790","13310000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2180","-5","-0.23","2190","2190","2175","20122","43849115","10551200000","4840000"
"016610","DB금융투자","KOSPI",,"6800","50","0.74","6750","6820","6720","76985","521831190","288635445200","42446389"
"005830","DB손해보험","KOSPI",,"58800","100","0.17","57900","59200","57800","83277","4886401400","4163040000000","70800000"
"000990","DB하이텍","KOSPI",,"60200","400","0.67","59800","60300","59400","430240","25776010800","2672794997600","44398588"
"000995","DB하이텍1우","KOSPI",,"112500","0","0.00","112500","115500","112000","583","65760000","12635550000","112316"
"139130","DGB금융지주","KOSPI",,"9250","150","1.65","9100","9300","9100","334996","3086968340","1564598955250","169145833"
"001530","DI동일","KOSPI",,"353000","-10500","-2.89","361500","366500","350500","36582","13008753000","886261215000","2510655"
"000210","DL","KOSPI",,"72600","300","0.41","71800","73900","71500","73088","5330967800","1521397178400","20955884"
"001880","DL건설","KOSPI",,"32300","0","0.00","32400","32700","32150","24958","809544350","712321073200","22053284"
"000215","DL우","KOSPI",,"43550","-300","-0.68","44050","44100","43500","2313","101070400","73430308250","1686115"
"375500","DL이앤씨","KOSPI",,"139000","-2000","-1.42","141500","142000","139000","114387","16044831000","2690864582000","19358738"
"37550K","DL이앤씨우","KOSPI",,"79000","0","0.00","79900","79900","78600","4617","365180800","166996915000","2113885"
"068790","DMS","KOSDAQ","우량기업부","7840","20","0.26","7790","7850","7710","105093","819094200","192652798240","24573061"
"004840","DRB동일","KOSPI",,"6500","0","0.00","6630","6630","6440","12586","81711780","129545000000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5310","50","0.95","5260","5380","5250","501419","2665126020","147678549930","27811403"
"155660","DSR","KOSPI",,"6980","20","0.29","6970","7070","6900","254311","1771806030","111680000000","16000000"
"069730","DSR제강","KOSPI",,"6860","240","3.63","6750","6910","6740","505679","3454635330","98784000000","14400000"
"017940","E1","KOSPI",,"55700","200","0.36","55800","56300","55200","15150","841800300","382102000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","4040","30","0.75","4040","4045","3985","298110","1196590955","338100740080","83688302"
"037370","EG","KOSDAQ","중견기업부","12500","350","2.88","12250","12600","12150","120345","1491103600","95718700000","7657496"
"278990","EMB","KONEX","일반기업부","7420","0","0.00","0","0","0","0","0","26891727240","3624222"
"079190","EMW","KOSDAQ","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"365550","ESR켄달스퀘어리츠","KOSPI",,"6820","-140","-2.01","6850","6940","6770","333983","2279124020","977026380000","143259000"
"050120","ES큐브","KOSDAQ","중견기업부","5050","50","1.00","5000","5070","4970","26563","133066975","68498634300","13564086"
"383220","F&F","KOSPI",,"717000","-6000","-0.83","720000","731000","700000","33139","23590816000","5493234555000","7661415"
"007700","F&F홀딩스","KOSPI",,"46250","2250","5.11","43600","47200","43500","942458","43333249500","357909556250","7738585"
"130500","GH신소재","KOSDAQ","중견기업부","7300","300","4.29","7030","7310","7020","323224","2324366100","80300000000","11000000"
"114090","GKL","KOSPI",,"15650","50","0.32","15500","15850","15500","316936","4972474100","968041235500","61855670"
"900290","GRT","KOSDAQ","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"078930","GS","KOSPI",,"42200","-300","-0.71","42050","42550","41850","155077","6542523150","3921028951600","92915378"
"083450","GST","KOSDAQ","우량기업부","29600","200","0.68","29400","29750","28900","97710","2871668150","275805252000","9317745"
"006360","GS건설","KOSPI",,"44650","-100","-0.22","44550","44950","44100","543349","24226948450","3821213528500","85581490"
"001250","GS글로벌","KOSPI",,"2815","-20","-0.71","2840","2865","2800","321377","905171610","232332545660","82533764"
"007070","GS리테일","KOSPI",,"34300","0","0.00","34250","34450","33900","248890","8514624850","3591824724600","104717922"
"078935","GS우","KOSPI",,"35900","-100","-0.28","36100","36100","35850","2313","83104600","64075253400","1784826"
"045890","GV","KOSDAQ","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"227100","H&B디자인","KOSDAQ","벤처기업부","16500","950","6.11","15500","16600","15250","95357","1542865150","77565196500","4700921"
"297890","HB솔루션","KOSDAQ","벤처기업부","23250","-400","-1.69","23650","23900","23000","102924","2411804900","382720133250","16461081"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2920","5","0.17","2910","2935","2860","1094132","3169859655","230652043920","78990426"
"012630","HDC","KOSPI",,"11750","0","0.00","11750","11850","11650","126114","1478491400","701965221750","59741721"
"039570","HDC아이콘트롤스","KOSPI",,"12600","250","2.02","12500","12600","12350","13365","166550500","207396000000","16460000"
"089470","HDC현대EP","KOSPI",,"5470","90","1.67","5380","5490","5340","51232","278754260","174493000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"29900","0","0.00","29900","30400","29850","332969","10014792500","1970629167000","65907330"
"195940","HK이노엔","KOSDAQ","중견기업부","61000","400","0.66","61000","61100","59900","340176","20619586400","1763174439000","28904499"
"011200","HMM","KOSPI",,"42000","0","0.00","41850","42700","41400","3699042","155547314050","17026484454000","405392487"
"036640","HRS","KOSDAQ","중견기업부","5640","30","0.53","5630","5640","5540","80623","451245440","92241072000","16354800"
"082740","HSD엔진","KOSPI",,"7570","30","0.40","7540","7660","7500","181008","1373757290","353679832220","46721246"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","2920","245","9.16","2665","3030","2605","1748472","5030841705","9110400000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2480","25","1.02","2470","2500","2425","94214","231789600","12821600000","5170000"
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)","3610","160","4.64","3455","3620","3440","258058","909486860","15631300000","4330000"
"373200","IBKS제15호스팩","KOSDAQ","SPAC(소속부없음)","2350","0","0.00","0","0","0","0","0","8272000000","3520000"
"003560","IHQ","KOSPI",,"1705","40","2.40","1655","1705","1650","872082","1469080270","249331950340","146235748"
"095340","ISC","KOSDAQ","우량기업부","25700","-150","-0.58","25900","26050","25450","149977","3843544750","425194061200","16544516"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"175330","JB금융지주","KOSPI",,"8260","-30","-0.36","8230","8340","8170","240776","1984913170","1627078704440","196982894"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","4610","-55","-1.18","4715","4715","4560","31076","143842195","161375433370","35005517"
"234080","JW생명과학","KOSPI",,"17650","-100","-0.56","17450","17750","17300","24633","430786550","279479878100","15834554"
"067290","JW신약","KOSDAQ","중견기업부","4595","60","1.32","4540","4645","4485","130568","592144365","201889862510","43936858"
"001060","JW중외제약","KOSPI",,"26950","-200","-0.74","27050","27350","26800","132526","3572219000","580501005700","21539926"
"001067","JW중외제약2우B","KOSPI",,"64200","300","0.47","63900","64200","63000","199","12621000","5972397600","93028"
"001065","JW중외제약우","KOSPI",,"39600","200","0.51","39600","39750","39350","565","22340300","7028445600","177486"
"096760","JW홀딩스","KOSPI",,"4120","-10","-0.24","4130","4135","4050","28388","116584975","281977669840","68441182"
"035900","JYP Ent.","KOSDAQ","우량기업부","42350","-300","-0.70","42500","43000","42000","236057","10023547700","1503318786200","35497492"
"024840","KBI메탈","KOSDAQ","우량기업부","2345","45","1.96","2300","2370","2285","263042","612909050","77269738560","32950848"
"105560","KB금융","KOSPI",,"53100","200","0.38","53300","53400","52700","1121570","59399672300","22079400552000","415807920"
"024120","KB오토시스","KOSDAQ","우량기업부","7500","-20","-0.27","7580","7580","7400","275096","1691501100","86250000000","11500000"
"002380","KCC","KOSPI",,"385000","25000","6.94","360000","387000","357500","129989","49158635000","3421291335000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","11650","50","0.43","11550","11800","11400","102455","1190705800","249310000000","21400000"
"344820","KCC글라스","KOSPI",,"76600","2100","2.82","74000","76900","73400","173617","13132126600","1223341219200","15970512"
"036670","KCI","KOSDAQ","우량기업부","9270","50","0.54","9250","9360","9130","16479","152412370","104472900000","11270000"
"009070","KCTC","KOSPI",,"6950","50","0.72","6910","7040","6860","156902","1094773960","208500000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"5860","50","0.86","5850","5890","5790","134232","783351090","131468982800","22434980"
"112190","KC산업","KONEX","일반기업부","6070","50","0.83","6200","6200","6000","43039","260913360","43250285710","7125253"
"119650","KC코트렐","KOSPI",,"8180","80","0.99","8100","8350","8090","212784","1744671390","143968000000","17600000"
"044180","KD","KOSDAQ","중견기업부","2210","-130","-5.56","2315","2560","2195","6643768","15768329110","36521045600","16525360"
"092220","KEC","KOSPI",,"2220","5","0.23","2210","2240","2190","956431","2125284710","259089406800","116706940"
"151860","KG ETS","KOSDAQ","우량기업부","18050","150","0.84","17900","18800","17800","993414","18155019700","649800000000","36000000"
"016380","KG동부제철","KOSPI",,"15350","-50","-0.32","15400","15550","15150","136625","2099518300","1535136568950","100008897"
"016385","KG동부제철우","KOSPI",,"119500","0","0.00","117500","119500","117500","160","19024500","6379507500","53385"
"046440","KG모빌리언스","KOSDAQ","우량기업부","10250","-50","-0.49","10300","10350","10150","193439","1973161200","397962072000","38825568"
"035600","KG이니시스","KOSDAQ","우량기업부","19050","150","0.79","19100","19250","18850","127545","2429771600","531579467700","27904434"
"001390","KG케미칼","KOSPI",,"34100","-100","-0.29","34250","34450","33900","63789","2178979700","472833873600","13866096"
"226360","KH E&T","KOSDAQ","벤처기업부","1990","50","2.58","1930","2010","1930","366659","723575930","112015251290","56289071"
"111870","KH 일렉트론","KOSDAQ","중견기업부","947","4","0.42","943","949","927","317258","296342259","96828326627","102247441"
"033180","KH 필룩스","KOSPI",,"3260","-25","-0.76","3320","3370","3225","2248248","7403464010","434537908620","133293837"
"060720","KH바텍","KOSDAQ","중견기업부","30900","2850","10.16","28200","30950","28150","8059563","241266086150","731523602700","23673903"
"001940","KISCO홀딩스","KOSPI",,"22500","200","0.90","22300","22600","22000","29334","654796300","415718550000","18476380"
"122450","KMH","KOSDAQ","중견기업부","10400","100","0.97","10350","10450","10200","161689","1672198200","471494025600","45335964"
"052900","KMH하이텍","KOSDAQ","중견기업부","1900","20","1.06","1880","1910","1835","1725128","3229826800","89082448100","46885499"
"058400","KNN","KOSDAQ","우량기업부","1785","30","1.71","1765","1835","1760","2364158","4242635115","236387050200","132429720"
"114450","KPX생명과학","KOSDAQ","중견기업부","9320","-10","-0.11","9330","9350","9240","99302","922044520","139800000000","15000000"
"025000","KPX케미칼","KOSPI",,"60900","400","0.66","60800","61200","60300","3850","232997400","294756000000","4840000"
"092230","KPX홀딩스","KOSPI",,"66400","-200","-0.30","66600","66900","66000","1163","77340900","280516494400","4224646"
"000040","KR모터스","KOSPI",,"1130","5","0.44","1125","1135","1115","204474","230928240","108635225840","96137368"
"044450","KSS해운","KOSPI",,"11150","50","0.45","11100","11150","10950","38244","423548250","258522562000","23185880"
"030200","KT","KOSPI",,"33450","650","1.98","32650","33600","32650","990900","33018935200","8734189977600","261111808"
"033780","KT&G","KOSPI",,"81800","200","0.25","81200","82000","81200","309895","25291417200","11230526254600","137292497"
"030210","KTB투자증권","KOSPI",,"7400","40","0.54","7310","7410","7260","369577","2712200860","446324280800","60314092"
